    6   12
        1.1850871101       -0.0017291900       -0.0029530750
        0.0000000000        0.0000000000        0.0020580450
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0017291900        0.3416616300        0.0103992301
        0.0000000000        0.0000000000        0.0449178251
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0029530750        0.0103992301        0.3508291999
        0.0000000000        0.0000000000       -0.0096661299
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.3444749100        0.0000123750        0.0000000000
        0.0180023949       -0.0000001150       -0.0178264949
       -0.0000019349        0.0017619001       -0.0000000350
        0.0000000000        0.0000000000        0.0000000000
        0.0000123750        0.3444749299        0.0000000000
       -0.0000001249        0.0180023851        0.0000008301
        0.0178293600       -0.0000000549       -0.0017620449
        0.0020580450        0.0449178251       -0.0096661299
        0.0000000000        0.0000000000        0.1391522099
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0180023949       -0.0000001249        0.0000000000
        0.1566041800        0.0000014501        0.0033065751
        0.0000011450        0.0174239950        0.0000008400
        0.0000000000        0.0000000000        0.0000000000
       -0.0000001150        0.0180023851        0.0000000000
        0.0000014501        0.1566042098        0.0000011102
       -0.0033046699       -0.0000005649       -0.0174215998
        0.0000000000        0.0000000000        0.0000000000
       -0.0178264949        0.0000008301        0.0000000000
        0.0033065751        0.0000011102        0.1282326599
       -0.0000012649        0.0025668002       -0.0000000250
        0.0000000000        0.0000000000        0.0000000000
       -0.0000019349        0.0178293600        0.0000000000
        0.0000011450       -0.0033046699       -0.0000012649
        0.1282326201       -0.0000007049        0.0025660700
        0.0000000000        0.0000000000        0.0000000000
        0.0017619001       -0.0000000549        0.0000000000
        0.0174239950       -0.0000005649        0.0025668002
       -0.0000007049        0.0550614598        0.0000018650
        0.0000000000        0.0000000000        0.0000000000
       -0.0000000350       -0.0017620449        0.0000000000
        0.0000008400       -0.0174215998       -0.0000000250
        0.0025660700        0.0000018650        0.0550614701
