    7   15
        0.4478728098       -0.0057642799       -0.0004140699
       -0.0000403799        0.0000000151        0.0000000101
        0.0001356451       -0.0000000049        0.0000000301
       -0.0000000699       -0.0000000149       -0.0000000199
       -0.0000000050        0.0000001601        0.0000001601
       -0.0057642799        1.1292496399        0.0006862851
       -0.0018798449       -0.0000000699       -0.0000000249
       -0.0031010149        0.0000000050        0.0000000501
       -0.0000002999       -0.0000003249        0.0000007351
        0.0000008001        0.0000001501        0.0000001300
       -0.0004140699        0.0006862851        0.3764988499
        0.0103127101       -0.0000003700       -0.0000002749
       -0.0458134799       -0.0000004500       -0.0000001899
       -0.0000006450       -0.0000005500        0.0000012251
        0.0000012350       -0.0000002849       -0.0000002900
       -0.0000403799       -0.0018798449        0.0103127101
        0.3747353099        0.0000367100        0.0000248550
        0.0120065251       -0.0000004150       -0.0000002450
        0.0000000900       -0.0000001150        0.0000001050
        0.0000001250        0.0000000400        0.0000000000
        0.0000000151       -0.0000000699       -0.0000003700
        0.0000367100        0.3705581000        0.0000128200
       -0.0000003850       -0.0181790400       -0.0000009400
        0.0160035751       -0.0000001300        0.0012115150
        0.0000000750        0.0007832500        0.0000000000
        0.0000000101       -0.0000000249       -0.0000002749
        0.0000248550        0.0000128200        0.3705581000
       -0.0000003500       -0.0000009950        0.0181781300
       -0.0000001600        0.0160035950        0.0000000301
        0.0012114850        0.0000000099        0.0007832200
        0.0001356451       -0.0031010149       -0.0458134799
        0.0120065251       -0.0000003850       -0.0000003500
        0.1377481699       -0.0000006700        0.0000006050
        0.0000023100        0.0000010100       -0.0000001899
       -0.0000001500       -0.0000000549       -0.0000000850
       -0.0000000049        0.0000000050       -0.0000004500
       -0.0000004150       -0.0181790400       -0.0000009950
       -0.0000006700        0.1321167800        0.0000009250
        0.0003360901        0.0000023450        0.0027197051
        0.0000008500        0.0002661501        0.0000005900
        0.0000000301        0.0000000501       -0.0000001899
       -0.0000002450       -0.0000009400        0.0181781300
        0.0000006050        0.0000009250        0.1321166999
        0.0000023450       -0.0003317350        0.0000008701
       -0.0027185600        0.0000006500       -0.0002649750
       -0.0000000699       -0.0000002999       -0.0000006450
        0.0000000900        0.0160035751       -0.0000001600
        0.0000023100        0.0003360901        0.0000023450
        0.1585162299        0.0000013551        0.0120202051
       -0.0000006150        0.0053134301       -0.0000002750
       -0.0000000149       -0.0000003249       -0.0000005500
       -0.0000001150       -0.0000001300        0.0160035950
        0.0000010100        0.0000023450       -0.0003317350
        0.0000013551        0.1585161699       -0.0000006099
        0.0120202450       -0.0000002300        0.0053134600
       -0.0000000199        0.0000007351        0.0000012251
        0.0000001050        0.0012115150        0.0000000301
       -0.0000001899        0.0027197051        0.0000008701
        0.0120202051       -0.0000006099        0.0457750299
       -0.0000001200       -0.0009634149        0.0000001100
       -0.0000000050        0.0000008001        0.0000012350
        0.0000001250        0.0000000750        0.0012114850
       -0.0000001500        0.0000008500       -0.0027185600
       -0.0000006150        0.0120202450       -0.0000001200
        0.0457749800        0.0000001200       -0.0009634051
        0.0000001601        0.0000001501       -0.0000002849
        0.0000000400        0.0007832500        0.0000000099
       -0.0000000549        0.0002661501        0.0000006500
        0.0053134301       -0.0000002300       -0.0009634149
        0.0000001200        0.0348196500        0.0000005550
        0.0000001601        0.0000001300       -0.0000002900
        0.0000000000        0.0000000000        0.0007832200
       -0.0000000850        0.0000005900       -0.0002649750
       -0.0000002750        0.0053134600        0.0000001100
       -0.0009634051        0.0000005550        0.0348196700
