    6   12
        1.1901504399       -0.0130758798       -0.0003183098
        0.0000000000        0.0000000000       -0.0002602499
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0130758798        0.3271150996        0.0572946806
        0.0000000000        0.0000000000        0.0604069953
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
       -0.0003183098        0.0572946806        0.5473148792
        0.0000000000        0.0000000000       -0.0566798147
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.3934335399        0.0000175950        0.0000000000
        0.0839444152       -0.0000012449       -0.0821487995
       -0.0000047100        0.0069736399       -0.0000000696
        0.0000000000        0.0000000000        0.0000000000
        0.0000175950        0.3934334899        0.0000000000
        0.0000006102        0.0839426002       -0.0000047049
        0.0821525251       -0.0000000799       -0.0069737550
       -0.0002602499        0.0604069953       -0.0566798147
        0.0000000000        0.0000000000        0.4049149396
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0839444152        0.0000006102        0.0000000000
        0.2511453795        0.0000044304       -0.0445053846
        0.0000009652        0.0146610606        0.0000008302
        0.0000000000        0.0000000000        0.0000000000
       -0.0000012449        0.0839426002        0.0000000000
        0.0000044304        0.2511490396       -0.0000008848
        0.0445087150       -0.0000020395       -0.0146592348
        0.0000000000        0.0000000000        0.0000000000
       -0.0821487995       -0.0000047049        0.0000000000
       -0.0445053846       -0.0000008848        0.3522475794
        0.0000125954       -0.0018249494       -0.0000021444
        0.0000000000        0.0000000000        0.0000000000
       -0.0000047100        0.0821525251        0.0000000000
        0.0000009652        0.0445087150        0.0000125954
        0.3522475498       -0.0000026998       -0.0018254150
        0.0000000000        0.0000000000        0.0000000000
        0.0069736399       -0.0000000799        0.0000000000
        0.0146610606       -0.0000020395       -0.0018249494
       -0.0000026998        0.0403637296        0.0000012855
        0.0000000000        0.0000000000        0.0000000000
       -0.0000000696       -0.0069737550        0.0000000000
        0.0000008302       -0.0146592348       -0.0000021444
       -0.0018254150        0.0000012855        0.0403636795
