    8    7
        0.7537172618        0.0000736422        0.0000014477
        0.0000023510        0.3579601925        0.0000009958
        0.0000021438        0.0000736422        1.2040102405
       -0.0000063606       -0.0000047103        0.0000728114
       -0.0000022860       -0.0000028530        0.0000014477
       -0.0000063606        0.0812133260        0.0000040977
        0.0000004621        0.0000029159        0.0000114473
        0.0000023510       -0.0000047103        0.0000040977
        0.0812133231       -0.0000012511        0.0000100673
        0.0000003401        0.3579601925        0.0000728114
        0.0000004621       -0.0000012511        0.8311360011
        0.0000003136        0.0000011612        0.0000009958
       -0.0000022860        0.0000029159        0.0000100673
        0.0000003136        0.0723301503       -0.0000009716
        0.0000021438       -0.0000028530        0.0000114473
        0.0000003401        0.0000011612       -0.0000009716
        0.0723278535
