    8    7
        0.8230532003        0.0000800499        0.0000011546
        0.0000011546       -0.3636353752        0.0000012398
        0.0000012398        0.0000800499        1.2596761599
        0.0000006401        0.0000006401        0.0000775000
        0.0000005350        0.0000005350        0.0000011546
        0.0000006401        0.0736628203       -0.0000012804
        0.0000014948        0.0000013148        0.0000111598
        0.0000011546        0.0000006401       -0.0000012804
        0.0736628203        0.0000014899        0.0000111598
        0.0000013198       -0.3636353752        0.0000775000
        0.0000014948        0.0000014899        0.8831583401
        0.0000003601        0.0000003651        0.0000012398
        0.0000005350        0.0000013148        0.0000111598
        0.0000003601        0.0690599001        0.0000005099
        0.0000012398        0.0000005350        0.0000111598
        0.0000013198        0.0000003651        0.0000005099
        0.0690599001
