    7   15
        0.0120613601        0.0015537100        0.0000002102
        0.0000002198        0.0000003899        0.0000003099
        0.0000004451       -0.0037945699        0.0000000649
        0.0000004350        0.0000003399       -0.0053189501
        0.0000006000       -0.0000007752        0.0000005350
        0.0015537100        0.0192451199       -0.0000000848
        0.0000003901        0.0000001801        0.0000003800
        0.0000007401       -0.0086227999       -0.0000000099
        0.0000007451        0.0000000951       -0.0125052301
        0.0000013151       -0.0000007401        0.0000005001
        0.0000002102       -0.0000000848        0.2897429800
       -0.0349462751       -0.1104365199       -0.0245202050
        0.1547023599       -0.0000003949        0.0644994000
        0.0105324051        0.0876608651       -0.0000002650
        0.0268798999       -0.0364452100       -0.0099959401
        0.0000002198        0.0000003901       -0.0349462751
        0.3676039202        0.0266056050        0.0077420349
       -0.0390782651        0.0000002349        0.0713761749
        0.0619286449       -0.0734375101       -0.0000002503
       -0.0398136201        0.1743423148        0.0598070450
        0.0000003899        0.0000001801       -0.1104365199
        0.0266056050        0.6242427702        0.0271266499
       -0.3273720650        0.0000019399       -0.0816342852
       -0.0568365401        0.0964312800       -0.0000001702
       -0.1713173151        0.0313138598       -0.0025465151
        0.0000003099        0.0000003800       -0.0245202050
        0.0077420349        0.0271266499        0.2803374002
       -0.1503575201        0.0000005700        0.0573536798
       -0.0757084351        0.0106184699       -0.0000001752
       -0.0181868002       -0.0239775302        0.0131387898
        0.0000004451        0.0000007401        0.1547023599
       -0.0390782651       -0.3273720650       -0.1503575201
        0.6760964601        0.0000041949        0.1228020250
       -0.0144583549       -0.0588866750       -0.0000006452
        0.2811006149        0.0092362347       -0.0483759800
       -0.0037945699       -0.0086227999       -0.0000003949
        0.0000002349        0.0000019399        0.0000005700
        0.0000041949        0.0501032201        0.0000000199
        0.0000007151       -0.0000009400        0.0244475899
       -0.0000014751       -0.0000010651        0.0000002998
        0.0000000649       -0.0000000099        0.0644994000
        0.0713761749       -0.0816342852        0.0573536798
        0.1228020250        0.0000000199        0.2629490803
       -0.0162229452        0.0327147299        0.0000011048
        0.1163115499        0.0406706148        0.0465178648
        0.0000004350        0.0000007451        0.0105324051
        0.0619286449       -0.0568365401       -0.0757084351
       -0.0144583549        0.0000007151       -0.0162229452
        0.3089754301        0.0448215050       -0.0000012851
        0.0489615149       -0.0550558902       -0.0147249750
        0.0000003399        0.0000000951        0.0876608651
       -0.0734375101        0.0964312800        0.0106184699
       -0.0588866750       -0.0000009400        0.0327147299
        0.0448215050        0.3007737001       -0.0000004952
       -0.0426288551       -0.1063978002       -0.0224476400
       -0.0053189501       -0.0125052301       -0.0000002650
       -0.0000002503       -0.0000001702       -0.0000001752
       -0.0000006452        0.0244475899        0.0000011048
       -0.0000012851       -0.0000004952        0.0611715404
       -0.0000009751       -0.0000009803        0.0000027548
        0.0000006000        0.0000013151        0.0268798999
       -0.0398136201       -0.1713173151       -0.0181868002
        0.2811006149       -0.0000014751        0.1163115499
        0.0489615149       -0.0426288551       -0.0000009751
        0.4714018402       -0.1226915002       -0.0867353702
       -0.0000007752       -0.0000007401       -0.0364452100
        0.1743423148        0.0313138598       -0.0239775302
        0.0092362347       -0.0000010651        0.0406706148
       -0.0550558902       -0.1063978002       -0.0000009803
       -0.1226915002        0.3386603603        0.0778009849
        0.0000005350        0.0000005001       -0.0099959401
        0.0598070450       -0.0025465151        0.0131387898
       -0.0483759800        0.0000002998        0.0465178648
       -0.0147249750       -0.0224476400        0.0000027548
       -0.0867353702        0.0778009849        0.1569789802
