   10   30
        0.4112252451        0.5796084217        0.0000370699
       -0.2867522625       -0.4526753266        0.0000243112
       -0.1154610513       -0.0952232736       -0.0000247134
        0.0001412381       -0.0025128462       -0.0000226269
        0.0109477230        0.0095586471       -0.0033563074
       -0.0059116210       -0.0085207660        0.0020671487
       -0.0158104242       -0.0305746114        0.0012799847
       -0.0006844228        0.0004826676       -0.0009470996
        0.0014217474       -0.0000497594       -0.0002446230
        0.0008838281       -0.0000931533        0.0011868558
        0.5796084217        1.1142203507        0.0000560823
       -0.4526753266       -0.8357901242        0.0000519028
       -0.0952545432       -0.2309459472       -0.0000407400
       -0.0024755543       -0.0029168795       -0.0000429657
       -0.0143393434       -0.0285703330       -0.0005487210
       -0.0085122349       -0.0162581320        0.0036792542
       -0.0066666267       -0.0017956504       -0.0031458582
       -0.0013355858        0.0017028603       -0.0008709928
        0.0017559605       -0.0004260156       -0.0012534321
       -0.0001051675        0.0007798709        0.0021154707
        0.0000370699        0.0000560823        0.0848624131
       -0.0000243112       -0.0000519028       -0.0318587971
       -0.0000073786       -0.0000062655       -0.0618276705
       -0.0000012337        0.0000049218        0.0015375209
       -0.0101356121       -0.0125815812        0.0004152462
        0.0156380968        0.0277739607        0.0050121711
       -0.0055028723       -0.0151905038        0.0004146554
       -0.0004395995        0.0000264822        0.0007155032
        0.0002497372       -0.0003619079        0.0007158939
        0.0001861036        0.0003307143        0.0000130637
       -0.2867522625       -0.4526753266       -0.0000243112
        0.4112252451        0.5796084217       -0.0000370699
        0.0001412381       -0.0025128462        0.0000226269
       -0.1154610513       -0.0952232736        0.0000247134
       -0.0006844228        0.0004826676        0.0009470996
        0.0008838281       -0.0000931533       -0.0011868558
        0.0014217474       -0.0000497594        0.0002446230
        0.0109477230        0.0095586471        0.0033563074
       -0.0158104242       -0.0305746114       -0.0012799847
       -0.0059116210       -0.0085207660       -0.0020671487
       -0.4526753266       -0.8357901242       -0.0000519028
        0.5796084217        1.1142203507       -0.0000560823
       -0.0024755543       -0.0029168795        0.0000429657
       -0.0952545432       -0.2309459472        0.0000407400
       -0.0013355858        0.0017028603        0.0008709928
       -0.0001051675        0.0007798709       -0.0021154707
        0.0017559605       -0.0004260156        0.0012534321
       -0.0143393434       -0.0285703330        0.0005487210
       -0.0066666267       -0.0017956504        0.0031458582
       -0.0085122349       -0.0162581320       -0.0036792542
        0.0000243112        0.0000519028       -0.0318587971
       -0.0000370699       -0.0000560823        0.0848624131
        0.0000012337       -0.0000049218        0.0015375209
        0.0000073786        0.0000062655       -0.0618276705
        0.0004395995       -0.0000264822        0.0007155032
       -0.0001861036       -0.0003307143        0.0000130637
       -0.0002497372        0.0003619079        0.0007158939
        0.0101356121        0.0125815812        0.0004152462
        0.0055028723        0.0151905038        0.0004146554
       -0.0156380968       -0.0277739607        0.0050121711
       -0.1154610513       -0.0952545432       -0.0000073786
        0.0001412381       -0.0024755543        0.0000012337
        0.5276417644       -0.0077750353        0.0000037805
        0.0057748658       -0.0031441568        0.0000018776
       -0.1200442729        0.0997265061        0.0662222033
       -0.0518764440       -0.0129872883        0.0412401460
       -0.2458375278        0.0218990036       -0.1074609153
       -0.0007372756       -0.0013552440        0.0000871686
        0.0005370801        0.0013490907        0.0000370369
       -0.0001383768        0.0000172214       -0.0001251525
       -0.0952232736       -0.2309459472       -0.0000062655
       -0.0025128462       -0.0029168795       -0.0000049218
       -0.0077750353        0.5182070883        0.0000042523
       -0.0031441568        0.0019608585        0.0000059917
        0.0981854122       -0.1720659852       -0.0855106077
       -0.0129833590       -0.0676267394        0.0732341816
        0.0234417632       -0.0462802524        0.0122788965
        0.0005818938        0.0005260310        0.0001013768
       -0.0005863544       -0.0007399993        0.0001260408
        0.0000159561       -0.0001181749       -0.0002289447
       -0.0000247134       -0.0000407400       -0.0618276705
        0.0000226269        0.0000429657        0.0015375209
        0.0000037805        0.0000042523        0.5320183970
       -0.0000018776       -0.0000059917        0.0075449343
        0.0657878898       -0.0862910382       -0.1021049641
        0.0421081406        0.0747858411       -0.2747177905
       -0.1078969776        0.0115028438       -0.1021043901
       -0.0004612717       -0.0008729692       -0.0001329364
       -0.0005070617       -0.0008473685       -0.0001332210
