    7   15
        0.0271142002        0.0000001398        0.0000003749
        0.0000012999       -0.0306738002        0.0000005749
        0.0000009799        0.0000000099        0.0000009500
       -0.0107007101        0.0000008900        0.0000006349
        0.0000656799        0.0000005198        0.0000015999
        0.0000001398        0.0271142002        0.0000003999
       -0.0306738002        0.0000012999        0.0000005749
        0.0000009749        0.0000000099       -0.0107007000
        0.0000009399        0.0000008949        0.0000006399
        0.0000005498       -0.0000655702        0.0000016099
        0.0000003749        0.0000003999        0.4735832201
        0.0000016049        0.0000015999        0.0000116500
        0.2280311600       -0.0000001100        0.0000015901
        0.0000015900        0.0000019400        0.1303799700
       -0.0000000401       -0.0000000401        0.0000305950
        0.0000012999       -0.0306738002        0.0000016049
        0.2138021202       -0.0000004802        0.0000029349
        0.0000032649        0.0000013100        0.1486700700
        0.0000003799        0.0000074899        0.0000031400
       -0.0000004101       -0.0262108702        0.0000011049
       -0.0306738002        0.0000012999        0.0000015999
       -0.0000004802        0.2138020602        0.0000029199
        0.0000032599        0.0000013049        0.0000003699
        0.1486700199        0.0000074949        0.0000031299
        0.0262108699       -0.0000004302        0.0000010900
        0.0000005749        0.0000005749        0.0000116500
        0.0000029349        0.0000029199        0.3123864201
        0.0000104900        0.0000003200        0.0000041450
        0.0000041550       -0.0974975500        0.0000024550
        0.0000000549        0.0000000449        0.2223420900
        0.0000009799        0.0000009749        0.2280311600
        0.0000032649        0.0000032599        0.0000104900
        0.4527762101        0.0000001300        0.0000043750
        0.0000043650        0.0000044400       -0.0764577050
        0.0000000749        0.0000000499        0.0000191400
        0.0000000099        0.0000000099       -0.0000001100
        0.0000013100        0.0000013049        0.0000003200
        0.0000001300        0.0225647400        0.0000004100
        0.0000004199       -0.0000067000       -0.0000001450
       -0.0000001900       -0.0000002100        0.0000001250
        0.0000009500       -0.0107007000        0.0000015901
        0.1486700700        0.0000003699        0.0000041450
        0.0000043750        0.0000004100        0.2266146200
        0.0000011900        0.0000069250        0.0000052701
       -0.0000001801       -0.0817160101        0.0000030951
       -0.0107007101        0.0000009399        0.0000015900
        0.0000003799        0.1486700199        0.0000041550
        0.0000043650        0.0000004199        0.0000011900
        0.2266146001        0.0000069350        0.0000052700
        0.0817184200       -0.0000001801        0.0000030850
        0.0000008900        0.0000008949        0.0000019400
        0.0000074899        0.0000074949       -0.0974975500
        0.0000044400       -0.0000067000        0.0000069250
        0.0000069350        0.3115539501        0.0000051099
       -0.0000000501       -0.0000000801        0.0978465050
        0.0000006349        0.0000006399        0.1303799700
        0.0000031400        0.0000031299        0.0000024550
       -0.0764577050       -0.0000001450        0.0000052701
        0.0000052700        0.0000051099        0.2651994900
       -0.0000002350       -0.0000002451        0.0000011100
        0.0000656799        0.0000005498       -0.0000000401
       -0.0000004101        0.0262108699        0.0000000549
        0.0000000749       -0.0000001900       -0.0000001801
        0.0817184200       -0.0000000501       -0.0000002350
        0.0967068002        0.0000003499        0.0000002800
        0.0000005198       -0.0000655702       -0.0000000401
       -0.0262108702       -0.0000004302        0.0000000449
        0.0000000499       -0.0000002100       -0.0817160101
       -0.0000001801       -0.0000000801       -0.0000002451
        0.0000003499        0.0967068402        0.0000002599
        0.0000015999        0.0000016099        0.0000305950
        0.0000011049        0.0000010900        0.2223420900
        0.0000191400        0.0000001250        0.0000030951
        0.0000030850        0.0978465050        0.0000011100
        0.0000002800        0.0000002599        0.5859899601
