
Host: n080

Timers On : Thu Nov  4 14:20:01 2021
Timers Off: Thu Nov  4 14:20:16 2021

Wall Time:       15.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.417u      0.017s      0.254w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.019w      1 calls
DFH: initialize()                   :      0.100u      0.000s      0.070w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.022w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.267u      0.000s      0.161w      1 calls
SAD Guess                           :      0.250u      0.000s      0.152w      1 calls
HF: Form G                          :     20.650u      0.133s     12.476w     13 calls
UV: Form V                          :     20.600u      0.133s     12.453w     13 calls
Properties                          :      4.250u      0.083s      2.823w  41808 calls
Functional                          :      9.483u      0.017s      5.649w  41808 calls
V_xc                                :      6.667u      0.033s      3.881w  41808 calls
JK: D                               :      0.000u      0.000s      0.000w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :      0.050u      0.000s      0.021w     13 calls
DFH: compute_JK()                   :      0.050u      0.000s      0.021w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     13 calls
DFH: compute_J                      :      0.017u      0.000s      0.006w     13 calls
DFH: compute_K                      :      0.033u      0.000s      0.015w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.017u      0.000s      0.009w     12 calls
DIISManager::add_entry              :      0.000u      0.000s      0.002w     12 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.002w     12 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     12 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w     12 calls
New vector                          :      0.000u      0.000s      0.001w     12 calls
HF: Form C                          :      0.017u      0.000s      0.007w     12 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.417u      0.017s      0.254w      1 calls
DFH: sparsity prep                  :      0.033u      0.000s      0.019w      1 calls
DFH: initialize()                   :      0.100u      0.000s      0.070w      1 calls
| DFH: AO Construction              :      0.033u      0.000s      0.022w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.003w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.267u      0.000s      0.161w      1 calls
| SAD Guess                         :      0.250u      0.000s      0.152w      1 calls
HF: Form G                          :     20.650u      0.133s     12.476w     13 calls
| UV: Form V                        :     20.600u      0.133s     12.453w     13 calls
| | Properties                      :      4.250u      0.083s      2.823w  41808 calls
| | Functional                      :      9.483u      0.017s      5.649w  41808 calls
| | V_xc                            :      6.667u      0.033s      3.881w  41808 calls
| JK: D                             :      0.000u      0.000s      0.000w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :      0.050u      0.000s      0.021w     13 calls
| | DFH: compute_JK()               :      0.050u      0.000s      0.021w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.006w     13 calls
| | | DFH: compute_K                :      0.033u      0.000s      0.015w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.000w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.017u      0.000s      0.009w     12 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.002w     12 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.002w     12 calls
| | bMatrix setup                   :      0.000u      0.000s      0.001w     12 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w     12 calls
| | New vector                      :      0.000u      0.000s      0.001w     12 calls
HF: Form C                          :      0.017u      0.000s      0.007w     12 calls

**************************************************************************************
