    7   15
        0.3420917268        0.0040922512        0.0000000000
        0.0155058513        0.0064283957        0.0000000000
       -0.0225302284        0.0000000000        0.0437491995
       -0.0020971157        0.0000000000        0.0049939054
        0.0000000000        0.0000000000        0.0005640792
        0.0040922512        0.3792432202        0.0000000000
        0.0007328187        0.0000811316        0.0000000000
        0.0126854264        0.0000000000        0.0030115805
       -0.0017704456        0.0000000000        0.0006236258
        0.0000000000        0.0000000000       -0.0050409123
        0.0000000000        0.0000000000        0.3760654053
        0.0000000000        0.0000000000       -0.0015994630
        0.0000000000        0.0163023326        0.0000000000
        0.0000000000        0.0068959676        0.0000000000
        0.0001400353        0.0005400651        0.0000000000
        0.0155058513        0.0007328187        0.0000000000
        0.3542443895       -0.0082225797        0.0000000000
       -0.0025917915        0.0000000000       -0.0160191659
        0.0000416935        0.0000000000       -0.0018228940
        0.0000000000        0.0000000000       -0.0004937411
        0.0064283957        0.0000811316        0.0000000000
       -0.0082225797        0.3345249708        0.0000000000
        0.0001054188        0.0000000000       -0.0008124459
        0.0166318198        0.0000000000       -0.0217646606
        0.0000000000        0.0000000000       -0.0008412808
        0.0000000000        0.0000000000       -0.0015994630
        0.0000000000        0.0000000000        0.3489168230
        0.0000000000        0.0061566227        0.0000000000
        0.0000000000        0.0153988849        0.0000000000
        0.0204850795       -0.0017569449        0.0000000000
       -0.0225302284        0.0126854264        0.0000000000
       -0.0025917915        0.0001054188        0.0000000000
        0.1183293328        0.0000000000       -0.0056045858
        0.0042043929        0.0000000000       -0.0007375040
        0.0000000000        0.0000000000       -0.0005858196
        0.0000000000        0.0000000000        0.0163023326
        0.0000000000        0.0000000000        0.0061566227
        0.0000000000        0.1330296035        0.0000000000
        0.0000000000        0.0316294857        0.0000000000
       -0.0016439034       -0.0021890657        0.0000000000
        0.0437491995        0.0030115805        0.0000000000
       -0.0160191659       -0.0008124459        0.0000000000
       -0.0056045858        0.0000000000        0.1509694579
       -0.0009118158        0.0000000000        0.0009531073
        0.0000000000        0.0000000000        0.0016110839
       -0.0020971157       -0.0017704456        0.0000000000
        0.0000416935        0.0166318198        0.0000000000
        0.0042043929        0.0000000000       -0.0009118158
        0.1652822587        0.0000000000       -0.0059101072
        0.0000000000        0.0000000000        0.0004633399
        0.0000000000        0.0000000000        0.0068959676
        0.0000000000        0.0000000000        0.0153988849
        0.0000000000        0.0316294857        0.0000000000
        0.0000000000        0.1774818945        0.0000000000
        0.0045339841       -0.0001577508        0.0000000000
        0.0049939054        0.0006236258        0.0000000000
       -0.0018228940       -0.0217646606        0.0000000000
       -0.0007375040        0.0000000000        0.0009531073
       -0.0059101072        0.0000000000        0.1543643191
        0.0000000000        0.0000000000        0.0004614821
        0.0000000000        0.0000000000        0.0001400353
        0.0000000000        0.0000000000        0.0204850795
        0.0000000000       -0.0016439034        0.0000000000
        0.0000000000        0.0045339841        0.0000000000
        0.1546235920        0.0017498076        0.0000000000
        0.0000000000        0.0000000000        0.0005400651
        0.0000000000        0.0000000000       -0.0017569449
        0.0000000000       -0.0021890657        0.0000000000
        0.0000000000       -0.0001577508        0.0000000000
        0.0017498076        0.0005379303        0.0000000000
        0.0005640792       -0.0050409123        0.0000000000
       -0.0004937411       -0.0008412808        0.0000000000
       -0.0005858196        0.0000000000        0.0016110839
        0.0004633399        0.0000000000        0.0004614821
        0.0000000000        0.0000000000        0.0088446853
