    5    9
        0.3631402400       -0.0065391800        0.0150716450
        0.0007952850       -0.0021829601        0.0112709300
       -0.0000153201        0.0000000000        0.0000000000
       -0.0065391800        0.3558752300        0.0002913750
        0.0004855150       -0.0044695800        0.0005943800
        0.0208239800        0.0000000000        0.0000000000
        0.0150716450        0.0002913750        0.6647771400
       -0.0013748500        0.0229491950       -0.0295506600
       -0.0041218950        0.0000000000        0.0000000000
        0.0007952850        0.0004855150       -0.0013748500
        0.3784032100        0.0173508250       -0.0024867249
       -0.0044917250        0.0000000000        0.0000000000
       -0.0021829601       -0.0044695800        0.0229491950
        0.0173508250        0.1125256101        0.0007696499
       -0.0194798001        0.0000000000        0.0000000000
        0.0112709300        0.0005943800       -0.0295506600
       -0.0024867249        0.0007696499        0.1171255700
        0.0011443900        0.0000000000        0.0000000000
       -0.0000153201        0.0208239800       -0.0041218950
       -0.0044917250       -0.0194798001        0.0011443900
        0.1218202101        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0223142800        0.0061927599
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0000000000        0.0000000000
        0.0000000000        0.0061927599        0.0689366200
