    5    9
        0.3982656699       -0.0064036800        0.0118241050
       -0.0012814849        0.0027286600        0.0147209750
       -0.0014099300       -0.0005741299        0.0181134101
       -0.0064036800        0.3996611500        0.0006155199
        0.0019567050       -0.0034961050        0.0018462350
        0.0114805800       -0.0015359849        0.0011031650
        0.0118241050        0.0006155199        0.4474682400
       -0.0015567400        0.0495133550       -0.0381255801
       -0.0049167100        0.0010360150        0.0122568149
       -0.0012814849        0.0019567050       -0.0015567400
        0.5598903199        0.0155644651        0.0015499251
       -0.0101607699       -0.0012805649        0.0007046150
        0.0027286600       -0.0034961050        0.0495133550
        0.0155644651        0.2042707899       -0.0084499550
       -0.0234170150        0.0026843201        0.0023715850
        0.0147209750        0.0018462350       -0.0381255801
        0.0015499251       -0.0084499550        0.1263816100
       -0.0011055050       -0.0000681050       -0.0092376300
       -0.0014099300        0.0114805800       -0.0049167100
       -0.0101607699       -0.0234170150       -0.0011055050
        0.1875271199       -0.0018519899       -0.0026285799
       -0.0005741299       -0.0015359849        0.0010360150
       -0.0012805649        0.0026843201       -0.0000681050
       -0.0018519899        0.0048854199        0.0028194800
        0.0181134101        0.0011031650        0.0122568149
        0.0007046150        0.0023715850       -0.0092376300
       -0.0026285799        0.0028194800        0.0275760100
