    5    9
        0.3729420099       -0.0057884949        0.0137860950
       -0.0011948050        0.0026455700        0.0147242000
       -0.0017196349       -0.0004270851        0.0180765650
       -0.0057884949        0.3726329200        0.0001868500
        0.0020763100       -0.0028198701        0.0019001200
        0.0121079650       -0.0013782100        0.0010164450
        0.0137860950        0.0001868500        0.4348984700
        0.0010708699        0.0518422850       -0.0387875900
       -0.0049602350        0.0010767999        0.0133907150
       -0.0011948050        0.0020763100        0.0010708699
        0.5434584200        0.0160686599        0.0016125450
       -0.0095134100       -0.0010968301        0.0003802950
        0.0026455700       -0.0028198701        0.0518422850
        0.0160686599        0.2023914401       -0.0085983301
       -0.0225387150        0.0025829699        0.0024995949
        0.0147242000        0.0019001200       -0.0387875900
        0.0016125450       -0.0085983301        0.1264189000
       -0.0011602250       -0.0001456650       -0.0087925250
       -0.0017196349        0.0121079650       -0.0049602350
       -0.0095134100       -0.0225387150       -0.0011602250
        0.1873847999       -0.0017714400       -0.0023572450
       -0.0004270851       -0.0013782100        0.0010767999
       -0.0010968301        0.0025829699       -0.0001456650
       -0.0017714400        0.0045503201        0.0026261650
        0.0180765650        0.0010164450        0.0133907150
        0.0003802950        0.0024995949       -0.0087925250
       -0.0023572450        0.0026261650        0.0279435400
