   15   45
        0.1096648072        0.0096495157        0.0001054875
       -0.0382456806       -0.0028262840        0.0015487371
       -0.0133633999        0.0012744244       -0.0001740106
        0.0123326989       -0.0009544869        0.0009046972
       -0.0133625910       -0.0006818145       -0.0017951143
       -0.0383242712       -0.0045129833        0.0005237438
       -0.0337687430       -0.0016628288       -0.0021165891
        0.0004719941       -0.0002117099        0.0004948690
        0.0093800193       -0.0001818999       -0.0000806304
       -0.0030483618        0.0000072728        0.0000104170
        0.0093760175       -0.0001673383       -0.0000498766
        0.0004853049       -0.0001671869       -0.0000708090
       -0.0001759239       -0.0000290862       -0.0000872707
       -0.0004193795        0.0005265481        0.0009798962
       -0.0010024910       -0.0000621424       -0.0001935470
        0.0096495157        0.6670370362        0.0378277028
       -0.0024677058       -0.1771814970        0.0544913853
        0.0011773354        0.0657162157        0.0231312391
       -0.0013323639       -0.0519373852        0.0296536890
        0.0005301354       -0.0251798358       -0.0755995861
       -0.0051203644       -0.3289388982        0.0330555394
       -0.0016930999       -0.1281494257       -0.1214527132
       -0.0003517452       -0.0106444421        0.0278267552
       -0.0000725895       -0.0010185669       -0.0042223746
       -0.0000566544       -0.0011293890        0.0012868798
       -0.0000914772        0.0004566696       -0.0025654504
       -0.0003349707       -0.0090428677       -0.0031757136
       -0.0000993098        0.0000979864       -0.0000530681
       -0.0000849954       -0.0005440928        0.0003610299
        0.0003482895        0.0004584925       -0.0005653143
        0.0001054875        0.0378277028        0.7106600548
        0.0021880385        0.1204962651       -0.2783965683
        0.0003073118       -0.0231906312       -0.0555431117
        0.0002147306        0.0297214781       -0.0176966459
       -0.0002819466       -0.0293422612        0.0355314865
       -0.0006339290       -0.0329325823       -0.1268136146
       -0.0021829056       -0.1214452360       -0.2681946833
       -0.0003133190       -0.0040954389        0.0051841145
        0.0000814319       -0.0034205441       -0.0034412355
       -0.0001208574        0.0012829371        0.0003451306
        0.0001088456       -0.0033744198       -0.0049253600
        0.0002742852        0.0287570421        0.0035760875
       -0.0002041575       -0.0000595827        0.0000153811
       -0.0002440492        0.0004022034       -0.0000311443
        0.0007010330       -0.0006269324       -0.0002698916
       -0.0382456806       -0.0024677058        0.0021880385
        0.1097413272        0.0111980717       -0.0011229920
       -0.0382762175       -0.0022609825       -0.0011937772
       -0.0134209862       -0.0007064270       -0.0008507316
        0.0123173217        0.0002090179        0.0001760005
       -0.0134121928       -0.0010062169        0.0006035291
        0.0004790081        0.0001704463       -0.0002847976
       -0.0338365105       -0.0057400813        0.0000643046
        0.0004775517        0.0002374818        0.0003600085
        0.0093597673       -0.0002928886        0.0000324593
       -0.0030602784        0.0000491659       -0.0000101125
        0.0093723125       -0.0002836458        0.0000166330
       -0.0001365553       -0.0000897927        0.0000075662
       -0.0003781914        0.0012010783        0.0000187754
       -0.0009806756       -0.0002175214       -0.0000049042
       -0.0028262840       -0.1771814970        0.1204962651
        0.0111980717        0.7322640738        0.0000188272
       -0.0024050975       -0.1773191904       -0.1205973378
        0.0003531604       -0.0252283128       -0.0293232294
       -0.0006030757       -0.0005004210       -0.0000006766
        0.0002182365       -0.0251329597        0.0293250939
       -0.0000347357        0.0115034324       -0.0169020026
       -0.0058143490       -0.3382521689        0.0001051467
       -0.0000982400        0.0115002188        0.0168730398
       -0.0001133928       -0.0061501108        0.0004642240
       -0.0000966007        0.0010766883       -0.0000007284
       -0.0001157557       -0.0061395472       -0.0004683690
       -0.0002208452       -0.0000071418        0.0000306339
       -0.0002440484        0.0001703668       -0.0000223883
        0.0008029561       -0.0006034308        0.0000015017
        0.0015487371        0.0544913853       -0.2783965683
       -0.0011229920        0.0000188272        0.6452373009
       -0.0004510408       -0.0545555487       -0.2782897042
       -0.0009807029       -0.0756495129        0.0354831547
        0.0001815636       -0.0000550414       -0.0690513658
        0.0007998752        0.0756833544        0.0353527482
        0.0003319290        0.0150224638       -0.0169681013
        0.0000546867        0.0000991064       -0.0579966805
       -0.0002537274       -0.0150532794       -0.0169725576
        0.0000150680        0.0012526515        0.0016702037
        0.0000065780       -0.0000100076       -0.0018780392
        0.0000149733       -0.0012541977        0.0016589239
       -0.0000636933        0.0000182411        0.0001406781
       -0.0000612657       -0.0000113710       -0.0007999988
       -0.0000199890        0.0000029289        0.0008100062
       -0.0133633999        0.0011773354        0.0003073118
       -0.0382762175       -0.0024050975       -0.0004510408
        0.1097295203        0.0098035042       -0.0026354742
       -0.0383588425       -0.0046588420       -0.0001511648
       -0.0133813717       -0.0007772026        0.0015901792
        0.0123068488       -0.0007852519       -0.0007775632
        0.0093648431       -0.0001901969        0.0001287839
        0.0004769758       -0.0002244750       -0.0005106503
       -0.0338036765       -0.0021853963        0.0031219975
        0.0004974769       -0.0000504246        0.0000425852
        0.0093706369       -0.0001698313        0.0001130784
       -0.0030535325        0.0000225958       -0.0000313174
       -0.0001413579       -0.0000399207        0.0000952475
       -0.0003720310        0.0005428916       -0.0010113169
       -0.0009958725       -0.0000596884        0.0001693441
        0.0012744244        0.0657162157       -0.0231906312
       -0.0022609825       -0.1773191904       -0.0545555487
        0.0098035042        0.6669580214       -0.0377293006
       -0.0049762867       -0.3289771206       -0.0329704652
        0.0002086334       -0.0250848261        0.0756664622
       -0.0012092048       -0.0519334654       -0.0296171953
       -0.0000874604       -0.0010162822        0.0042126695
       -0.0002355921       -0.0106543242       -0.0278149051
       -0.0022085443       -0.1279567762        0.1213260835
       -0.0003374166       -0.0090640929        0.0031782229
       -0.0001041674        0.0004667338        0.0025450835
       -0.0000598869       -0.0011420798       -0.0012879191
       -0.0000843806        0.0000811001        0.0000572386
       -0.0000597597       -0.0005281642       -0.0003622201
        0.0003371201        0.0004542510        0.0005424250
       -0.0001740106        0.0231312391       -0.0555431117
