   15   45
        0.1127187994        0.0099828057        0.0000883753
       -0.0394071247       -0.0030454348        0.0020647605
       -0.0125261948        0.0009192652       -0.0005861946
        0.0122871802       -0.0004119147        0.0008732553
       -0.0125224096       -0.0008762697       -0.0014210846
       -0.0394892197       -0.0045774595        0.0002176554
       -0.0341964696       -0.0016583499       -0.0021624396
        0.0002619004       -0.0002064144        0.0004964451
        0.0095583954       -0.0001748995       -0.0000740997
       -0.0031242345        0.0000297752        0.0000366404
        0.0095489705       -0.0001628845       -0.0000480748
        0.0002828801       -0.0001619748       -0.0000763151
       -0.0001317247       -0.0000351548       -0.0000868548
       -0.0003462947        0.0005325353        0.0009745952
       -0.0008536600       -0.0000822246       -0.0002207196
        0.0099828057        0.6833481990        0.0305002709
       -0.0024474994       -0.1757670998        0.0765636858
        0.0008790957        0.0448281301        0.0106028907
       -0.0010083596       -0.0311288846        0.0181546207
        0.0006124304       -0.0262618596       -0.0516164744
       -0.0055869597       -0.3452586895        0.0212330505
       -0.0016924494       -0.1283481797       -0.1236728244
       -0.0003359492       -0.0103235692        0.0277597903
       -0.0000699495       -0.0008575094       -0.0040703145
       -0.0000464095       -0.0012881048        0.0014652605
       -0.0001012646        0.0004053356       -0.0027765495
       -0.0003097244       -0.0093306497       -0.0037853445
       -0.0000228695        0.0001006651       -0.0000551245
       -0.0001244146       -0.0005503145        0.0003728553
        0.0003641352        0.0004995155       -0.0005923295
        0.0000883753        0.0305002709        0.7185192192
        0.0019359956        0.1189384301       -0.2888491645
        0.0007558305       -0.0106663896       -0.0499614345
       -0.0001604445        0.0182278905       -0.0101707795
       -0.0001917547       -0.0303957998        0.0212118906
       -0.0005456295       -0.0211470194       -0.1194545243
       -0.0022498145       -0.1236829996       -0.2709856597
       -0.0003038696       -0.0043554942        0.0044915100
        0.0000687254       -0.0035041597       -0.0035379395
       -0.0000954896        0.0014637351        0.0003858506
        0.0001018304       -0.0033324096       -0.0047985296
        0.0002892853        0.0283348854        0.0034972604
       -0.0000840546       -0.0000631249        0.0000072805
       -0.0003088900        0.0004373004       -0.0000478900
        0.0007457902       -0.0006676845       -0.0002780797
       -0.0394071247       -0.0024474994        0.0019359956
        0.1127426293        0.0114124353       -0.0011791445
       -0.0394005596       -0.0021253098       -0.0008740395
       -0.0125363746       -0.0009125247       -0.0009403746
        0.0122960250        0.0004319801        0.0001311454
       -0.0125432595       -0.0011317044        0.0008085854
        0.0002736903        0.0001572255       -0.0002882149
       -0.0342724044       -0.0058420895        0.0000590001
        0.0002765606        0.0002226653        0.0003670505
        0.0095502355       -0.0002980798        0.0000195806
       -0.0031321497        0.0000875005       -0.0000019648
        0.0095491902       -0.0002892600        0.0000170954
       -0.0001414497       -0.0000972599        0.0000015953
       -0.0003721499        0.0011450453       -0.0000016351
       -0.0008364100       -0.0002686696       -0.0000018946
       -0.0030454348       -0.1757670998        0.1189384301
        0.0114124353        0.7358997999        0.0000264251
       -0.0025444550       -0.1759336502       -0.1189960099
        0.0005345700       -0.0262548397       -0.0303980048
       -0.0007685449        0.0003582650       -0.0000105450
        0.0004070549       -0.0261908147        0.0304543951
