    9   21
        0.2814174300        0.2522853698       -0.0000101349
       -0.0003795699        0.0006427651       -0.0003905301
       -0.0027088801       -0.0027440301       -0.0026373750
        0.0099775950        0.0067915749        0.0097920899
       -0.0066075401        0.0096692699       -0.0067738600
       -0.0021513401        0.0000370349        0.0000515750
       -0.0000151950        0.0002115199       -0.0000118000
        0.2522853698        0.2455796303        0.0008497199
       -0.0000796551        0.0008941198        0.0002334598
       -0.0031665851       -0.0032863201       -0.0033288502
        0.0060686348        0.0034984949        0.0059863498
       -0.0032296701        0.0058078348       -0.0038302252
        0.0009594199        0.0000565898        0.0001254348
        0.0000491450        0.0000817849        0.0001150097
       -0.0000101349        0.0008497199        0.2744251600
       -0.0003361050        0.2546070799        0.0102438449
        0.0019454201       -0.0037821800        0.0016056698
        0.0106569100        0.0109622052       -0.0047727501
        0.0079371900       -0.0057802851        0.0033959500
       -0.0000165851        0.0014963950       -0.0020357901
       -0.0001588299       -0.0002736900       -0.0001994201
       -0.0003795699       -0.0000796551       -0.0003361050
        0.2737406700        0.0108277999       -0.2541301502
       -0.0031878649       -0.0001707150        0.0031572799
       -0.0006994500        0.0024801250        0.0095070050
       -0.0081159349       -0.0088328551        0.0106904801
        0.0000487849       -0.0020436650       -0.0016627649
        0.0000768449       -0.0002266000       -0.0002275399
        0.0006427651        0.0008941198        0.2546070799
        0.0108277999        0.2626153102       -0.0002164501
        0.0011963299       -0.0039799400        0.0029134999
        0.0082243498        0.0096981348       -0.0027323152
        0.0057666948       -0.0051782351        0.0041785499
        0.0000857749       -0.0049577551        0.0014294800
        0.0000973500       -0.0002002851        0.0001509848
       -0.0003905301        0.0002334598        0.0102438449
       -0.2541301502       -0.0002164501        0.2614783602
        0.0038281749       -0.0010959751       -0.0027661152
        0.0012248398       -0.0010347202       -0.0079329902
        0.0079373649        0.0065168548       -0.0088100151
       -0.0000288851       -0.0015347801       -0.0049139803
       -0.0004024650       -0.0000041801       -0.0000369350
       -0.0027088801       -0.0031665851        0.0019454201
       -0.0031878649        0.0011963299        0.0038281749
        0.5609799800       -0.0000074701       -0.0000712900
        0.0004780149        0.0003053951        0.0243271698
       -0.0188552950        0.0000604700       -0.0001011500
       -0.0000854500       -0.0001450600        0.0003670549
        0.0002933702        0.0001844450       -0.0000331750
       -0.0027440301       -0.0032863201       -0.0037821800
       -0.0001707150       -0.0039799400       -0.0010959751
       -0.0000074701        0.5611653901       -0.0000851452
        0.0242075899        0.0186372201        0.0003419548
        0.0001818898       -0.0000363052       -0.0000359749
