    9   21
        0.2712838102        0.2417016900        0.0000708799
       -0.0003259851        0.0006167200       -0.0002901602
       -0.0020221800       -0.0020761800       -0.0020144101
        0.0098681598        0.0067658999        0.0097776099
       -0.0065636802        0.0096423950       -0.0067107602
       -0.0016638201       -0.0000262550        0.0000506448
       -0.0000539801       -0.0000698500       -0.0000579001
        0.2417016900        0.2350624200        0.0007515050
       -0.0001860050        0.0009625549        0.0001354950
       -0.0019918600       -0.0020804200       -0.0021225449
        0.0061732850        0.0040664351        0.0060108300
       -0.0036934900        0.0059342200       -0.0041963951
        0.0008176998       -0.0000074350        0.0000971900
        0.0001139949        0.0000999151        0.0002309348
        0.0000708799        0.0007515050        0.2629120902
       -0.0002682501        0.2442544499        0.0109732699
        0.0012757998       -0.0025070800        0.0010681050
        0.0107444448        0.0113656648       -0.0049630751
        0.0079500849       -0.0055160501        0.0038021149
       -0.0000161351        0.0022062999       -0.0020306202
        0.0000439748       -0.0002597901       -0.0002302501
       -0.0003259851       -0.0001860050       -0.0002682501
        0.2622775401        0.0114448800       -0.2436881701
       -0.0020914351       -0.0001005449        0.0020375950
       -0.0002844401        0.0022086950        0.0094754999
       -0.0086861351       -0.0090822350        0.0109094049
        0.0000758649       -0.0020816650       -0.0022102400
        0.0000051600       -0.0001120250       -0.0003622050
        0.0006167200        0.0009625549        0.2442544499
        0.0114448800        0.2513168502       -0.0002722551
        0.0005723399       -0.0024695650        0.0019729799
        0.0082877899        0.0100706349       -0.0022507750
        0.0058949199       -0.0057530450        0.0043359998
        0.0000732248       -0.0053281651        0.0013140449
        0.0000491748       -0.0001641901        0.0002267348
       -0.0002901602        0.0001354950        0.0109732699
       -0.2436881701       -0.0002722551        0.2503277003
        0.0024144549       -0.0009436502       -0.0015516952
        0.0018158499       -0.0010109451       -0.0081225551
        0.0082467049        0.0062576649       -0.0090284101
        0.0000774449       -0.0014426853       -0.0052154851
       -0.0005151503       -0.0000475850       -0.0001881453
       -0.0020221800       -0.0019918600        0.0012757998
       -0.0020914351        0.0005723399        0.0024144549
        0.5416137202        0.0000293900       -0.0000769150
        0.0004541799        0.0002551549        0.0221710400
       -0.0194267152        0.0001417199       -0.0000727152
       -0.0001383052       -0.0003498850        0.0003981349
        0.0003401948        0.0002496598       -0.0001197601
       -0.0020761800       -0.0020804200       -0.0025070800
       -0.0001005449       -0.0024695650       -0.0009436502
        0.0000293900        0.5415663401       -0.0000912601
        0.0220766199        0.0191403399        0.0002917301
        0.0001525599        0.0000032350        0.0000553599
       -0.0002615351       -0.0000624050       -0.0005042351
        0.0003814098       -0.0001228899        0.0002521399
       -0.0020144101       -0.0021225449        0.0010681050
        0.0020375950        0.0019729799       -0.0015516952
       -0.0000769150       -0.0000912601        0.5405288601
        0.0001493349        0.0001070700        0.0000174049
        0.0000662250        0.0224034699       -0.0192123051
       -0.0000613001        0.0004077150        0.0001656699
       -0.0003872702        0.0001731100        0.0002110399
        0.0098681598        0.0061732850        0.0107444448
       -0.0002844401        0.0082877899        0.0018158499
        0.0004541799        0.0220766199        0.0001493349
        0.0743912602        0.0715823499        0.0021060148
        0.0016144600        0.0011243949       -0.0000994152
       -0.0035130302        0.0008844648       -0.0029694850
        0.0007704698       -0.0002586201        0.0004753949
        0.0067658999        0.0040664351        0.0113656648
        0.0022086950        0.0100706349       -0.0010109451
        0.0002551549        0.0191403399        0.0001070700
        0.0715823499        0.0831847902        0.0002531149
        0.0013859548       -0.0000749750        0.0002830949
        0.0001178400       -0.0028739801       -0.0013094102
        0.0000596098        0.0010485799        0.0006538198
        0.0097776099        0.0060108300       -0.0049630751
        0.0094754999       -0.0022507750       -0.0081225551
        0.0221710400        0.0002917301        0.0000174049
        0.0021060148        0.0002531149        0.0735717401
       -0.0706923501        0.0010625149        0.0000412250
       -0.0034286300       -0.0031931501        0.0011858549
