    9   27
        0.5939831098       -0.0651279201       -0.1858489000
       -0.3819482649        0.2001557051       -0.0323535500
       -0.1900339649       -0.1325561848        0.2179856251
       -0.0141323699        0.0012978302       -0.0012006500
       -0.0010681799       -0.0017394949        0.0018550701
        0.0007970850        0.0024182350       -0.0007139899
       -0.0013764399       -0.0091677299        0.0000168400
       -0.0050757049        0.0052503552        0.0006474301
       -0.0011451749       -0.0004630898       -0.0003760698
       -0.0651279201        0.2565904700       -0.1988175650
        0.1615349700       -0.1245232201        0.0395912500
       -0.0927407451       -0.1279213801        0.1623643902
        0.0007917200        0.0045449100       -0.0000139251
       -0.0003718951        0.0001689301       -0.0002925650
        0.0028144200       -0.0027935850       -0.0000733051
       -0.0086868950       -0.0088413299        0.0024100301
        0.0033429302        0.0032691150       -0.0042598751
       -0.0014934149       -0.0004938349       -0.0008812050
       -0.1858489000       -0.1988175650        0.2897373599
        0.0063295651        0.0207634851       -0.0320280151
        0.1775190150        0.1789838799       -0.2578940448
       -0.0002965149       -0.0007982150        0.0042001101
        0.0014056400        0.0003685101       -0.0001603550
        0.0000467151        0.0000016300       -0.0011079800
        0.0012111251        0.0014937849        0.0046072650
        0.0003689200       -0.0013114099       -0.0071985549
       -0.0007229249       -0.0006562350       -0.0001559249
       -0.3819482649        0.1615349700        0.0063295651
        0.3963869295       -0.1768080499       -0.0009347099
       -0.0202914248        0.0149837702       -0.0064876346
        0.0043395752        0.0002069952        0.0024885954
        0.0008837601        0.0028771854       -0.0021393298
       -0.0002669348       -0.0068637497        0.0008374252
       -0.0042177598        0.0004486901        0.0005516152
        0.0052817853        0.0036651953       -0.0006153299
       -0.0001681546        0.0000026603       -0.0000787097
        0.2001557051       -0.1245232201        0.0207634851
       -0.1768080499        0.1289618899       -0.0250703400
       -0.0241358300        0.0062637400        0.0039670401
        0.0024548200       -0.0062135901        0.0005352651
        0.0011892499        0.0000216600       -0.0004361199
       -0.0062176700       -0.0006849450        0.0002079899
        0.0000231350        0.0021959551       -0.0001624998
        0.0031433652       -0.0060950900       -0.0000505500
        0.0002436850        0.0000736850        0.0002379102
       -0.0323535500        0.0395912500       -0.0320280151
       -0.0009347099       -0.0250703400        0.0380216599
        0.0332167899       -0.0142927449       -0.0020112898
        0.0027218101        0.0022509749       -0.0061995199
       -0.0024165949       -0.0011600449       -0.0000497150
       -0.0003444900       -0.0004996600        0.0017327851
        0.0004153600        0.0002769549       -0.0012257949
       -0.0003532399       -0.0014868849        0.0016096351
       -0.0000001299        0.0003817202        0.0001502552
       -0.1900339649       -0.0927407451        0.1775190150
