   11   33
        0.8203530426       -0.1468851875        0.0082034949
       -0.3224105301        0.2519301336       -0.0044414813
       -0.2089557463       -0.0569969675       -0.0011113013
       -0.0297130926       -0.0593526113       -0.0002088351
       -0.2372292688       -0.0020852389       -0.0014476488
       -0.0090681162        0.0038447662       -0.0003579525
       -0.0053635675        0.0024208462       -0.0018480563
       -0.0044483238        0.0025253850        0.0012543600
        0.0055978624        0.0001123937        0.0002793937
       -0.0007045976       -0.0000591401       -0.0005552750
       -0.0080556813        0.0049206024        0.0000398862
       -0.1468851875        0.8291891876       -0.0055330251
        0.2208187986       -0.4916882202        0.0049711162
       -0.0637708288       -0.2460068163        0.0007212762
       -0.0314977113        0.0158466587       -0.0005223001
       -0.0032621526       -0.0926248714       -0.0003238176
       -0.0404410463        0.0002866962       -0.0006857013
        0.0223295999       -0.0042297451        0.0003296024
        0.0203951512       -0.0040864476        0.0005510400
        0.0038824300       -0.0170964950       -0.0010638301
        0.0000479575       -0.0010440826        0.0000652287
        0.0187807662        0.0114506874        0.0012026712
        0.0082034949       -0.0055330251        0.3103785177
       -0.0044300576        0.0058379711       -0.1127917363
       -0.0012266114        0.0000674437       -0.0902802000
       -0.0002765013       -0.0007563813        0.0042327824
       -0.0017393564       -0.0002593677       -0.1116491051
        0.0009648562       -0.0000931826       -0.0024708564
        0.0371195411       -0.0003873463        0.0015374086
       -0.0386085463        0.0007512949        0.0004618537
        0.0003933937       -0.0000745013       -0.0011955363
       -0.0003981038        0.0000956611        0.0001787087
       -0.0001776402        0.0000553399        0.0016022248
       -0.3224105301        0.2208187986       -0.0044300576
        0.3147229727       -0.2723281764        0.0050526687
        0.0494573712        0.0042685712        0.0003941850
       -0.0056631301        0.0088866774       -0.0001064301
       -0.0195177476        0.0476873399       -0.0010275451
        0.0039651312        0.0005988399        0.0001029712
       -0.0076818338        0.0017417524       -0.0008100751
       -0.0075177925        0.0017624024        0.0005483275
       -0.0152047763       -0.0106622138       -0.0020801525
       -0.0005850088       -0.0019124413        0.0014193925
        0.0104360762       -0.0005078714        0.0008627736
        0.2519301336       -0.4916882202        0.0058379711
       -0.2723281764        0.6176115852       -0.0070783825
        0.0005436424       -0.1160196788        0.0006605050
        0.0172660362       -0.0012647676        0.0002216386
        0.0128155948       -0.0099952901        0.0005749774
        0.0024580250        0.0023768424       -0.0000616676
        0.0017430287        0.0013381361        0.0010048549
        0.0018213137        0.0012103437       -0.0010591201
       -0.0072727976        0.0082642224       -0.0002937263
       -0.0009206276       -0.0002895089        0.0004213187
       -0.0077115627       -0.0115443451       -0.0004379689
       -0.0044414813        0.0049711162       -0.1127917363
        0.0050526687       -0.0070783825        0.0591700650
        0.0003072186        0.0010628250        0.0322207288
       -0.0002107412        0.0000858513       -0.0056777588
       -0.0008539075        0.0012060399        0.0309390937
       -0.0000625950       -0.0000409425       -0.0007191850
       -0.0055670088        0.0003967175       -0.0009726700
        0.0054701275       -0.0005488363       -0.0008048863
       -0.0004693037       -0.0006296013        0.0054208812
        0.0010327775        0.0006966575       -0.0003281212
       -0.0003280925       -0.0003263063       -0.0064554051
       -0.2089557463       -0.0637708288       -0.0012266114
        0.0494573712        0.0005436424        0.0003072186
        0.6313557252        0.0197968725        0.0058305899
       -0.4086029076        0.0849921449       -0.0042613926
       -0.0267071664       -0.0498953064       -0.0001796714
       -0.0113248038        0.0004648299       -0.0002700639
