   11   33
        0.7350769499       -0.1570420548        0.0082060549
       -0.2908039602        0.2637366853       -0.0046043297
       -0.1776056499       -0.0660751849       -0.0009361651
       -0.0294135299       -0.0519831400       -0.0002433248
       -0.2116381498       -0.0013927098       -0.0015039652
       -0.0094396700        0.0038541398       -0.0003303850
       -0.0073485850        0.0022479603       -0.0019345197
       -0.0067044701        0.0023474800        0.0013564750
        0.0042709200       -0.0006340500        0.0003658599
       -0.0004083253       -0.0000914551       -0.0005426702
       -0.0059861199        0.0051329951        0.0001200848
       -0.1570420548        0.8294227496       -0.0061295449
        0.2460761851       -0.4996701594        0.0058725055
       -0.0851364499       -0.2479304948        0.0006083701
       -0.0253259148        0.0105906702       -0.0006799897
       -0.0033999748       -0.0769487499       -0.0001854599
       -0.0346339451        0.0003125203       -0.0006216550
        0.0202785353       -0.0042198195        0.0005032805
        0.0186491752       -0.0041603747        0.0002608004
        0.0016406955       -0.0160114297       -0.0006209703
       -0.0000833501       -0.0017712199       -0.0001098849
        0.0190802152        0.0103844451        0.0010298049
        0.0082060549       -0.0061295449        0.2377264201
       -0.0046630151        0.0064947551       -0.0786817699
       -0.0009292953        0.0001172950       -0.0671082998
       -0.0003203101       -0.0006358098        0.0021584000
       -0.0017230153       -0.0002450599       -0.0928394851
        0.0008190000       -0.0000984701       -0.0033786452
        0.0321491450        0.0000675652        0.0012516099
       -0.0335297202        0.0002849998        0.0003927101
        0.0003354651       -0.0000516849       -0.0005182503
       -0.0002470952        0.0000553047        0.0000267949
       -0.0001390401        0.0000681749        0.0009718747
       -0.2908039602        0.2460761851       -0.0046630151
        0.2905546899       -0.2891315745        0.0056037453
        0.0411828501        0.0000728903        0.0003771950
       -0.0050245697        0.0073307399       -0.0001422299
       -0.0230833501        0.0434269651       -0.0009383501
        0.0037921851        0.0008343699        0.0000871199
       -0.0061493600        0.0016413500       -0.0012852047
       -0.0059707497        0.0016816301        0.0010480301
       -0.0137856347       -0.0099860000       -0.0016834301
       -0.0010920553       -0.0020237098        0.0011412300
        0.0103797851        0.0001698052        0.0004377651
        0.2637366853       -0.4996701594        0.0064947551
       -0.2891315745        0.6108715394       -0.0073485646
        0.0051486202       -0.1008840448        0.0006218602
        0.0163031604       -0.0013158046        0.0003271455
