   11   33
        0.7420291405       -0.1546819001        0.0082874249
       -0.2917883702        0.2622544397       -0.0045904153
       -0.1799094503       -0.0656369852       -0.0009762101
       -0.0296566853       -0.0535958003       -0.0002517402
       -0.2153774352       -0.0007800105       -0.0015812051
       -0.0094549551        0.0039239600       -0.0003360452
       -0.0070558502        0.0019670199       -0.0020456002
       -0.0063880802        0.0020619495        0.0015095148
        0.0042772649       -0.0004074153        0.0002743346
       -0.0003656652       -0.0001210151       -0.0004559303
       -0.0063100453        0.0051139347        0.0001184196
       -0.1546819001        0.8297447704       -0.0060393052
        0.2437133199       -0.4976989851        0.0058084947
       -0.0845381200       -0.2509041050        0.0006063047
       -0.0258345702        0.0113181147       -0.0006542854
       -0.0030061904       -0.0775593654       -0.0002094501
       -0.0350676700        0.0001578448       -0.0006151402
        0.0202465196       -0.0040134003        0.0002977347
        0.0185700696       -0.0039198954        0.0004561500
        0.0022414901       -0.0153942403       -0.0007324903
       -0.0000463601       -0.0016981053       -0.0000577452
        0.0185049646        0.0099658345        0.0010663146
        0.0082874249       -0.0060393052        0.2357195405
       -0.0046124603        0.0063757500       -0.0787744455
       -0.0009829651        0.0001404851       -0.0668623252
       -0.0003201453       -0.0006547003        0.0026767745
       -0.0017637052       -0.0002034753       -0.0914292502
        0.0008191148       -0.0000848149       -0.0030431104
        0.0323156848       -0.0002609801        0.0010514395
       -0.0337045805        0.0005842048        0.0001448899
        0.0003573797       -0.0000538003       -0.0006693853
       -0.0003026150        0.0000593349        0.0000603598
       -0.0001365601        0.0000628847        0.0011264547
       -0.2917883702        0.2437133199       -0.0046124603
        0.2898022905       -0.2864547753        0.0055022497
        0.0419075747        0.0001861500        0.0003820799
       -0.0049559753        0.0075073297       -0.0001366655
       -0.0214633252        0.0428951799       -0.0009343302
        0.0037018248        0.0007403449        0.0000900948
       -0.0063477202        0.0017288997       -0.0010467954
       -0.0061787102        0.0017585248        0.0007985349
       -0.0134357651       -0.0094499106       -0.0017328901
       -0.0010476401       -0.0020006604        0.0011181146
        0.0098054747       -0.0005339703        0.0005537495
        0.2622544397       -0.4976989851        0.0063757500
       -0.2864547753        0.6084044003       -0.0072816900
        0.0053771799       -0.1011002900        0.0006489250
        0.0160570497       -0.0009056401        0.0002985499
        0.0138280100       -0.0090262353        0.0003986847
        0.0012561551        0.0014415750       -0.0000431001
        0.0008928347        0.0010154000        0.0011811596
        0.0009039098        0.0009052849       -0.0012044350
       -0.0056838402        0.0071847697       -0.0004948151
       -0.0009715049        0.0000909949        0.0004897149
       -0.0073699800       -0.0103118350       -0.0004207303
       -0.0045904153        0.0058084947       -0.0787744455
        0.0055022497       -0.0072816900        0.0334629107
        0.0001513146        0.0008617747        0.0294950945
       -0.0001758653        0.0000252945       -0.0056770656
       -0.0007863954        0.0010496447        0.0252393096
       -0.0000412405       -0.0000237551       -0.0005342355
       -0.0044777502        0.0003430048       -0.0007688104
        0.0044024694       -0.0004754304       -0.0006256451
       -0.0005935652       -0.0005496554        0.0047422498
        0.0010882547        0.0006683194       -0.0000560101
       -0.0004961251       -0.0004766005       -0.0065031003
       -0.1799094503       -0.0845381200       -0.0009829651
        0.0419075747        0.0053771799        0.0001513146
        0.6041053604        0.0323248301        0.0059655795
       -0.4054810603        0.0827155247       -0.0038405904
       -0.0273386550       -0.0436583554       -0.0001981854
       -0.0096748300        0.0004755751       -0.0002306001
        0.0006388146       -0.0015582052       -0.0000709503
        0.0004414596       -0.0015411604        0.0001110598
       -0.0185319601        0.0121758245       -0.0025693501
       -0.0004690651        0.0030596698        0.0026631599
       -0.0056876951       -0.0048527852       -0.0010627352
       -0.0656369852       -0.2509041050        0.0001404851
        0.0001861500       -0.1011002900        0.0008617747
        0.0323248301        0.4187095402       -0.0020897951
        0.0442972998       -0.0661736752        0.0005597499
       -0.0068204201       -0.0040020601        0.0000339847
        0.0000515598        0.0013787349       -0.0000112703
       -0.0013130051       -0.0003684551        0.0004785400
       -0.0011987302       -0.0004202602       -0.0004236151
        0.0050228098        0.0063157748        0.0015863350
        0.0008582802       -0.0002472001       -0.0009032749
       -0.0077956503       -0.0031887154       -0.0002545553
       -0.0009762101        0.0006063047       -0.0668623252
        0.0003820799        0.0006489250        0.0294950945
        0.0059655795       -0.0020897951        0.0446415106
       -0.0043690804        0.0009397047       -0.0243848203
       -0.0005741052       -0.0005672203        0.0118180697
       -0.0001838001        0.0000397299        0.0012590445
       -0.0025715002       -0.0001835502        0.0003142895
        0.0026187897        0.0001655346        0.0004053499
       -0.0009422155        0.0017116395        0.0048948547
        0.0009997197       -0.0009508304       -0.0000704503
       -0.0004126252       -0.0003452905       -0.0015102205
       -0.0296566853       -0.0258345702       -0.0003201453
       -0.0049559753        0.0160570497       -0.0001758653
       -0.4054810603        0.0442972998       -0.0043690804
        0.4275014908       -0.0312484403        0.0037035346
        0.0020597898       -0.0011726405        0.0000293244
        0.0002451395        0.0004150047       -0.0000276304
        0.0001504097        0.0003094249        0.0001295595
        0.0001337443        0.0003152195       -0.0001506552
        0.0034986695       -0.0064145956        0.0021910046
       -0.0005903652       -0.0030570104       -0.0025538955
        0.0070944247        0.0062885695        0.0014898345
       -0.0535958003        0.0113181147       -0.0006547003
        0.0075073297       -0.0009056401        0.0000252945
        0.0827155247       -0.0661736752        0.0009397047
       -0.0312484403        0.0720915506        0.0009792345
       -0.0019132352       -0.0062080454        0.0000408596
       -0.0018583401        0.0001757448       -0.0000252302
        0.0002156597       -0.0000289552        0.0001654948
        0.0002085997       -0.0000521453       -0.0001474803
       -0.0056476952       -0.0039584654       -0.0022189451
       -0.0011097654        0.0019609345        0.0016874546
        0.0046833898       -0.0082198403       -0.0007897452
       -0.0002517402       -0.0006542854        0.0026767745
       -0.0001366655        0.0002985499       -0.0056770656
       -0.0038405904        0.0005597499       -0.0243848203
        0.0037035346        0.0009792345        0.0273307609
        0.0000033995       -0.0000499205        0.0043065646
       -0.0000294804        0.0000354098        0.0009048344
       -0.0007878802        0.0002820747        0.0001993345
        0.0008302544       -0.0002129806        0.0002336148
        0.0022387647       -0.0048058456       -0.0082918103
       -0.0022290854        0.0029034396        0.0001448495
        0.0004416844        0.0006677544        0.0025569244
       -0.2153774352       -0.0030061904       -0.0017637052
       -0.0214633252        0.0138280100       -0.0007863954
       -0.0273386550       -0.0068204201       -0.0005741052
        0.0020597898       -0.0019132352        0.0000033995
        0.4937986705        0.0235556797       -0.0019175303
       -0.0892750001       -0.1024462401        0.0021585046
       -0.0734947002        0.0419507097        0.0689846399
       -0.0689619455        0.0347063946       -0.0661243851
       -0.0009510055        0.0000179344       -0.0000933551
        0.0000337897        0.0000084148        0.0001153148
        0.0009692948        0.0001111349       -0.0000280301
       -0.0007800105       -0.0775593654       -0.0002034753
        0.0428951799       -0.0090262353        0.0010496447
       -0.0436583554       -0.0040020601       -0.0005672203
       -0.0011726405       -0.0062080454       -0.0000499205
        0.0235556797        0.6091773906       -0.0000895153
       -0.0940216250       -0.2855601053        0.0045425699
        0.0412556597       -0.1201752551       -0.1134379804
        0.0342640047       -0.1075937104        0.1088171149
       -0.0001193553        0.0018793494        0.0000348547
       -0.0000583904        0.0002444148        0.0000113496
       -0.0021674805       -0.0011773403       -0.0000809553
       -0.0015812051       -0.0002094501       -0.0914292502
       -0.0009343302        0.0003986847        0.0252393096
       -0.0001981854        0.0000339847        0.0118180697
        0.0000293244        0.0000408596        0.0043065646
       -0.0019175303       -0.0000895153        0.5367277407
        0.0019668795        0.0044720196       -0.0483004203
        0.0695539944       -0.1146740303       -0.2111357205
       -0.0670121304        0.1100187495       -0.2274908601
        0.0001031898       -0.0000323206       -0.0008961203
       -0.0002241055       -0.0000648953        0.0000003095
        0.0001853198        0.0001342096        0.0011612795
       -0.0094549551       -0.0350676700        0.0008191148
        0.0037018248        0.0012561551       -0.0000412405
       -0.0096748300        0.0000515598       -0.0001838001
        0.0002451395       -0.0018583401       -0.0000294804
       -0.0892750001       -0.0940216250        0.0019668795
        0.0972038305        0.1083184350       -0.0020218505
        0.0041478549        0.0108604249       -0.0016782204
        0.0037176446        0.0101631196        0.0011640699
       -0.0003244253        0.0004981246        0.0000146497
        0.0000040248        0.0000629748        0.0000163899
       -0.0002913751       -0.0002541054       -0.0000286954
        0.0039239600        0.0001578448       -0.0000848149
        0.0007403449        0.0014415750       -0.0000237551
        0.0004755751        0.0013787349        0.0000397299
        0.0004150047        0.0001757448        0.0000354098
       -0.1024462401       -0.2855601053        0.0044720196
        0.1083184350        0.3057676503       -0.0050037701
       -0.0059336253       -0.0122387351        0.0022831699
       -0.0052798100       -0.0111845151       -0.0017383351
       -0.0001366101        0.0000932096       -0.0000128099
       -0.0000029252        0.0000163448        0.0000134099
       -0.0000609850       -0.0000476754       -0.0000067402
       -0.0003360452       -0.0006151402       -0.0030431104
        0.0000900948       -0.0000431001       -0.0005342355
       -0.0002306001       -0.0000112703        0.0012590445
       -0.0000276304       -0.0000252302        0.0009048344
        0.0021585046        0.0045425699       -0.0483004203
       -0.0020218505       -0.0050037701        0.0468129406
       -0.0118412103       -0.0232334702        0.0018428148
        0.0122200396        0.0243632897        0.0010809998
        0.0000006796       -0.0000090657       -0.0000359603
       -0.0000080453        0.0000087599        0.0000052347
       -0.0000071805       -0.0000015854        0.0000078197
       -0.0070558502        0.0202465196        0.0323156848
       -0.0063477202        0.0008928347       -0.0044777502
        0.0006388146       -0.0013130051       -0.0025715002
        0.0001504097        0.0002156597       -0.0007878802
       -0.0734947002        0.0412556597        0.0695539944
        0.0041478549       -0.0059336253       -0.0118412103
        0.0783835605       -0.0491231452       -0.0737601005
        0.0031668347       -0.0061283805       -0.0084026300
       -0.0001951304       -0.0003516107        0.0001106298
        0.0000402000       -0.0000060302        0.0000255548
        0.0005651498        0.0002445995       -0.0001655704
        0.0019670199       -0.0040134003       -0.0002609801
        0.0017288997        0.0010154000        0.0003430048
       -0.0015582052       -0.0003684551       -0.0001835502
        0.0003094249       -0.0000289552        0.0002820747
        0.0419507097       -0.1201752551       -0.1146740303
        0.0108604249       -0.0122387351       -0.0232334702
       -0.0491231452        0.1273834204        0.1243026850
       -0.0060983254        0.0083922296        0.0134536100
        0.0000560249        0.0000593496       -0.0000050153
        0.0000149751        0.0000170598       -0.0000155001
       -0.0001093900       -0.0000425950        0.0000192645
       -0.0020456002        0.0002977347        0.0010514395
       -0.0010467954        0.0011811596       -0.0007688104
       -0.0000709503        0.0004785400        0.0003142895
        0.0001295595        0.0001654948        0.0001993345
        0.0689846399       -0.1134379804       -0.2111357205
       -0.0016782204        0.0022831699        0.0018428148
       -0.0737601005        0.1243026850        0.2292914706
        0.0095260796       -0.0152627553       -0.0207674699
       -0.0000254201        0.0000128742        0.0000229699
       -0.0000029601        0.0000090498        0.0000003047
       -0.0000110953        0.0000000847       -0.0000504005
       -0.0063880802        0.0185700696       -0.0337045805
       -0.0061787102        0.0009039098        0.0044024694
        0.0004414596       -0.0011987302        0.0026187897
        0.0001337443        0.0002085997        0.0008302544
       -0.0689619455        0.0342640047       -0.0670121304
        0.0037176446       -0.0052798100        0.0122200396
        0.0031668347       -0.0060983254        0.0095260796
        0.0736607808       -0.0412802754        0.0710378947
       -0.0001654155       -0.0003085157       -0.0001271053
       -0.0000182104       -0.0000461506        0.0000038895
        0.0005912347        0.0002639095        0.0001984995
        0.0020619495       -0.0039198954        0.0005842048
        0.0017585248        0.0009052849       -0.0004754304
       -0.0015411604       -0.0004202602        0.0001655346
        0.0003152195       -0.0000521453       -0.0002129806
        0.0347063946       -0.1075937104        0.1100187495
        0.0101631196       -0.0111845151        0.0243632897
       -0.0061283805        0.0083922296       -0.0152627553
       -0.0412802754        0.1138473607       -0.1191581052
        0.0000392797        0.0000566993        0.0000348547
        0.0000194396        0.0000131996       -0.0000068056
       -0.0001165702       -0.0000442955       -0.0000247053
        0.0015095148        0.0004561500        0.0001448899
        0.0007985349       -0.0012044350       -0.0006256451
        0.0001110598       -0.0004236151        0.0004053499
       -0.0001506552       -0.0001474803        0.0002336148
       -0.0661243851        0.1088171149       -0.2274908601
        0.0011640699       -0.0017383351        0.0010809998
       -0.0084026300        0.0134536100       -0.0207674699
        0.0710378947       -0.1191581052        0.2470460203
