   15   45
        0.6753447605       -0.0980742152        0.0517633248
       -0.3078613102        0.0436115752        0.0528231149
       -0.0247410904        0.0086650547       -0.1136629501
       -0.0852063300        0.0138625197        0.0500915098
        0.1003522496       -0.0192961903        0.0395185950
       -0.1974173952        0.0228255348        0.0137735347
       -0.1406415953        0.0200382948       -0.1167638754
       -0.0086610004        0.0025980796       -0.0022406650
        0.0008352700        0.0015272397       -0.0030204254
       -0.0010911555        0.0000588096        0.0010782446
       -0.0005471554        0.0018749049       -0.0043328501
       -0.0108865351        0.0022058947        0.0308950101
       -0.0004907301       -0.0008130553        0.0009535046
       -0.0000261451       -0.0002949653       -0.0000169049
        0.0010462847        0.0011838799       -0.0007984150
       -0.0980742152        0.1967493102       -0.0244924399
        0.0447843951       -0.0882415648       -0.0080770801
        0.0073930497        0.0062680400        0.0214695601
        0.0143021899       -0.0100252049       -0.0097684551
       -0.0177489852        0.0115252246       -0.0060583503
        0.0206725250       -0.0838371449        0.0027761749
        0.0204091549       -0.0534291900        0.0275832798
        0.0017171951        0.0041199146        0.0004096952
        0.0015428250        0.0078953801        0.0009186999
        0.0000252797       -0.0008972802       -0.0002449951
        0.0018589648        0.0078877048        0.0011078447
        0.0030737900        0.0041663247       -0.0060648699
        0.0007777248       -0.0008825899        0.0007663448
       -0.0000942902       -0.0000851352       -0.0000879950
       -0.0006646152       -0.0012071550       -0.0002802102
        0.0517633248       -0.0244924399        0.7567841601
       -0.0491164349        0.0125693100       -0.1642767552
       -0.0313057402        0.0049230547        0.0623582051
        0.0495858100       -0.0088439751       -0.0322118501
       -0.0423196701        0.0100372949       -0.0673470751
        0.1167508398       -0.0175586402       -0.2806744450
       -0.1168226402        0.0273024301       -0.2774278849
        0.0319377952       -0.0064299653        0.0048604801
       -0.0035105049        0.0009786251       -0.0052430650
        0.0010748997       -0.0003039250        0.0001397501
       -0.0038732153        0.0010995299       -0.0037669102
       -0.0034701048        0.0005684652        0.0069949101
        0.0005965200       -0.0007560399        0.0001109652
       -0.0001620302        0.0003560049       -0.0002568450
       -0.0010917202        0.0005079798       -0.0000425149
       -0.3078613102        0.0447843951       -0.0491164349
        0.6742429798       -0.0949675348       -0.0558071702
       -0.1986236103        0.0240184551       -0.0133530096
        0.1001317852       -0.0167353448       -0.0422909699
       -0.0855327451        0.0163356148       -0.0479864397
       -0.0232201296        0.0031034551        0.1140353601
       -0.0090190201        0.0027494403        0.0025611152
       -0.1380544199        0.0146385648        0.1159199803
       -0.0110121397        0.0037235449       -0.0305293750
       -0.0005515949        0.0015757450        0.0044021053
       -0.0011451451        0.0000946801       -0.0010935400
        0.0008900602        0.0014288301        0.0030543850
       -0.0006846346        0.0003898253       -0.0004080499
       -0.0000400252       -0.0000282699        0.0000913900
        0.0004878902       -0.0011381749        0.0005618401
        0.0436115752       -0.0882415648        0.0125693100
       -0.0949675348        0.1963449699       -0.0048475951
        0.0252515397       -0.0848440700        0.0077388603
       -0.0184210748        0.0112089251        0.0103935201
        0.0167867501       -0.0108850853        0.0093334000
        0.0047725300        0.0076189650       -0.0239184399
        0.0033348951        0.0037983099       -0.0005149698
        0.0145574049       -0.0512443953       -0.0168766496
        0.0029740502        0.0037608601        0.0059798649
        0.0016189199        0.0079943152       -0.0005629698
        0.0000685250       -0.0009512499        0.0001874801
        0.0013661750        0.0080107850       -0.0002505101
       -0.0008759199       -0.0011102449        0.0014736599
       -0.0000432303       -0.0005622300       -0.0001387548
       -0.0000602100       -0.0008918300       -0.0006063749
        0.0528231149       -0.0080770801       -0.1642767552
       -0.0558071702       -0.0048475951        0.7570703303
       -0.1153104304        0.0284317900       -0.2768853702
        0.0394700498       -0.0057930203       -0.0675691001
       -0.0477980254        0.0101645995       -0.0300038653
        0.0322477197       -0.0077582601        0.0593586299
       -0.0317456551        0.0061476598        0.0054811699
        0.1158930101       -0.0170109203       -0.2815076502
        0.0037207749       -0.0009701401        0.0075110847
        0.0039056545       -0.0005056751       -0.0038843703
       -0.0011040203        0.0001382097        0.0001701949
        0.0035458498       -0.0003425103       -0.0053468750
       -0.0008653052       -0.0006900100        0.0002446848
        0.0000924996       -0.0001623951       -0.0001964500
        0.0009713096        0.0012329397       -0.0001640601
       -0.0247410904        0.0073930497       -0.0313057402
       -0.1986236103        0.0252515397       -0.1153104304
        0.7669030708       -0.1156457404       -0.0041655403
       -0.1980324456        0.0199246347        0.1168309797
       -0.0225351957        0.0053416244        0.0325655699
       -0.0023281603       -0.0011374104       -0.0008822656
       -0.0061614753        0.0028241146        0.0007413794
        0.0142299194       -0.0022016556        0.0181297546
       -0.3368137402        0.0576315398        0.0028212398
        0.0141452546       -0.0013304506       -0.0186180506
       -0.0062168056        0.0027890195       -0.0004673703
        0.0007362746       -0.0002841904       -0.0000265203
        0.0004894500        0.0006185695        0.0000094047
       -0.0002760206       -0.0001140353       -0.0000278754
       -0.0007740556       -0.0010924006       -0.0002669654
        0.0086650547        0.0062680400        0.0049230547
        0.0240184551       -0.0848440700        0.0284317900
       -0.1156457404        0.2000378004       -0.0117665152
        0.0221292299       -0.0835097302       -0.0181010603
        0.0036220047        0.0072872348       -0.0071562252
       -0.0006944401       -0.0073813149        0.0023301999
        0.0027807900        0.0076725550       -0.0000035701
       -0.0014655052        0.0047910348       -0.0029323749
        0.0571989901       -0.0603988303       -0.0000251453
       -0.0022608651        0.0049317597        0.0042711397
        0.0028719097        0.0077291395        0.0001957096
       -0.0003160002       -0.0008334453        0.0000110501
       -0.0015296450       -0.0007237051       -0.0002556052
        0.0001407446       -0.0001480652        0.0000165551
        0.0004522047       -0.0008712152        0.0000281449
       -0.1136629501        0.0214695601        0.0623582051
       -0.0133530096        0.0077388603       -0.2768853702
       -0.0041655403       -0.0117665152        0.6619664100
        0.0138419051        0.0022615851       -0.2804827551
        0.1143584700       -0.0235174650        0.0598132553
       -0.0000335598        0.0029337951       -0.1177537203
        0.0012181599       -0.0001139099        0.0019782550
       -0.0161007350        0.0036509897       -0.0186959650
        0.0028523053        0.0001365800       -0.0743128800
