   15   45
        0.6421784012       -0.1086293777        0.0381233851
       -0.3169962368        0.0573072889        0.0290498956
       -0.0237164339        0.0017049598       -0.0760685743
       -0.0506336984        0.0124633693        0.0289756137
        0.0634311473       -0.0148474521        0.0246143702
       -0.1729904897        0.0279219891        0.0547775894
       -0.1214355967        0.0159519944       -0.1179814164
       -0.0086339693        0.0017493360       -0.0030606560
        0.0009456971        0.0015238322       -0.0021594563
       -0.0014941259       -0.0001892077        0.0013641518
       -0.0006159995        0.0021023463       -0.0042932548
       -0.0106088312        0.0025695744        0.0267498897
       -0.0003152122       -0.0004366640        0.0007136044
       -0.0000791231       -0.0002777260        0.0000333648
        0.0009644713        0.0010857373       -0.0008385069
       -0.1086293777        0.1322985313        0.0012023441
        0.0564325823       -0.0508935821       -0.0078120348
        0.0016327531       -0.0119666308        0.0163793334
        0.0136012574        0.0082860692       -0.0061169836
       -0.0159648389       -0.0086929172       -0.0063173624
        0.0288358237       -0.0458675960       -0.0139684164
        0.0160699774       -0.0368545565        0.0201470947
        0.0023435519        0.0001570345        0.0008092968
        0.0016668998        0.0083955323        0.0004177151
       -0.0002483746       -0.0023510326       -0.0003120962
        0.0017967927        0.0082869329        0.0007294335
        0.0024923703        0.0005849432       -0.0054223545
        0.0007308498       -0.0006685883        0.0006096478
       -0.0000397332       -0.0000279940       -0.0000344580
       -0.0007205339       -0.0006861459       -0.0003111594
        0.0381233851        0.0012023441        0.7115482961
       -0.0350343713        0.0060571704       -0.1259904575
       -0.0292057768        0.0069571706        0.0345331632
        0.0283866550       -0.0063828991       -0.0173609933
       -0.0217137155        0.0041557498       -0.0553453898
        0.1194934701       -0.0281390981       -0.2766804492
       -0.1179451812        0.0201405568       -0.2713613615
        0.0277423963       -0.0060837346        0.0036761301
       -0.0032488076        0.0007212941       -0.0051479382
        0.0012909855       -0.0005673667        0.0002951871
       -0.0031582428        0.0007708981       -0.0035278718
       -0.0043780826        0.0006198891        0.0056681359
        0.0005339129       -0.0002455709        0.0000581018
       -0.0001024135        0.0002886830       -0.0002143793
       -0.0007842135        0.0005049134       -0.0001501738
       -0.3169962368        0.0564325823       -0.0350343713
        0.6431235523       -0.1115148458       -0.0359479642
       -0.1688476988        0.0271723583       -0.0529541094
        0.0630234258       -0.0161537710       -0.0219957662
       -0.0489733220        0.0123346562       -0.0293479576
       -0.0256457248        0.0037551797        0.0740083279
       -0.0080837027        0.0022732540        0.0028729200
       -0.1260980460        0.0210773938        0.1199282438
       -0.0100046284        0.0019467616       -0.0271037754
