   15   45
        0.6421188300       -0.1084805899        0.0381901000
       -0.3169159751        0.0573009248        0.0290654151
       -0.0236739052        0.0018482450       -0.0760410202
       -0.0505693299        0.0124245651        0.0289938248
        0.0634681450       -0.0147516602        0.0245469201
       -0.1730247899        0.0278364951        0.0548111950
       -0.1214253501        0.0159539650       -0.1179703250
       -0.0086249852        0.0017584046       -0.0030509148
        0.0009469801        0.0015658404       -0.0021823348
       -0.0014852898       -0.0001670952        0.0013630552
       -0.0006168554        0.0021092748       -0.0042886850
       -0.0106235754        0.0025697000        0.0267198450
       -0.0003860697       -0.0005715501        0.0007434951
       -0.0000892848       -0.0002770696        0.0000182851
        0.0009190001        0.0010559199       -0.0008517750
       -0.1084805899        0.1323754594        0.0013021454
        0.0564594902       -0.0510103348       -0.0077595595
        0.0017598353       -0.0110505493        0.0163742050
        0.0135643003        0.0081385502       -0.0060711398
       -0.0158002896       -0.0078068999       -0.0063441749
        0.0287250802       -0.0460108745       -0.0139868447
        0.0160603952       -0.0368853398        0.0201442052
        0.0023515153        0.0002393301        0.0008112454
        0.0016620351        0.0084122905        0.0003978155
       -0.0002219596       -0.0022856349       -0.0003149844
        0.0017967002        0.0082828754        0.0007220302
        0.0024661253        0.0006216254       -0.0054406496
        0.0006337004       -0.0007882898        0.0005909953
       -0.0000501947       -0.0000284646       -0.0000357997
       -0.0007461946       -0.0007034697       -0.0003315049
        0.0381901000        0.0013021454        0.7114216896
       -0.0349716200        0.0061565501       -0.1259152197
       -0.0291845399        0.0070211354        0.0345620950
        0.0284819404       -0.0063299851       -0.0173139898
       -0.0216357196        0.0041290900       -0.0553272596
        0.1194601703       -0.0281983495       -0.2766582395
       -0.1179566300        0.0201437598       -0.2713581401
        0.0277369350       -0.0060657200        0.0036843105
       -0.0032519148        0.0007661302       -0.0051739798
        0.0013098753       -0.0005335698        0.0002804401
       -0.0031623500        0.0007896804       -0.0035373597
       -0.0044164000        0.0005994252        0.0056370050
        0.0004169405       -0.0004955399        0.0000981802
       -0.0001247795        0.0002736354       -0.0002191095
       -0.0008353197        0.0004769151       -0.0001655550
       -0.3169159751        0.0564594902       -0.0349716200
        0.6430209601       -0.1113824351       -0.0358719299
       -0.1688062900        0.0271432600       -0.0529662805
        0.0630489302       -0.0160594649       -0.0219505301
       -0.0489098650        0.0122995047       -0.0293947099
       -0.0256798450        0.0038227202        0.0739725900
       -0.0080805901        0.0022767901        0.0028643950
       -0.1260939854        0.0210768297        0.1199618552
       -0.0100023701        0.0019660001       -0.0271128599
       -0.0008736697        0.0018287449        0.0043118101
       -0.0013752452       -0.0001037850       -0.0014323402
        0.0007456049        0.0015794049        0.0023210251
       -0.0006033949        0.0002325848       -0.0002852400
       -0.0000115250       -0.0000386899        0.0000879550
        0.0005560000       -0.0009090800        0.0005303301
        0.0573009248       -0.0510103348        0.0061565501
       -0.1113824351        0.1328491999        0.0153389652
        0.0257309500       -0.0447744148        0.0085732697
       -0.0150147247       -0.0077619200        0.0033407147
        0.0120417300        0.0090389349        0.0059749649
        0.0038100600       -0.0119515548       -0.0150856400
        0.0015074801        0.0005721597       -0.0005419150
        0.0211249048       -0.0381765102       -0.0284253997
        0.0023126600        0.0005634405        0.0057354953
        0.0020828202        0.0082540348       -0.0009952950
       -0.0002337003       -0.0024746151        0.0002808301
        0.0016137599        0.0083359450       -0.0007035752
       -0.0007338247       -0.0008392448        0.0011982050
       -0.0001265849       -0.0005818748        0.0000016053
        0.0001554000       -0.0005348849       -0.0007842698
        0.0290654151       -0.0077595595       -0.1259152197
       -0.0358719299        0.0153389652        0.7077228094
       -0.1171936546        0.0216407653       -0.2802400797
        0.0245175352       -0.0054141395       -0.0555009598
       -0.0294591646        0.0056142252       -0.0188451097
        0.0278042353       -0.0047659097        0.0374056253
       -0.0282036299        0.0056285151        0.0030266654
        0.1199758950       -0.0283541650       -0.2644052597
        0.0038088953       -0.0011954745        0.0049648403
        0.0032846756       -0.0005968499       -0.0032888445
       -0.0014732851        0.0000641654        0.0002294803
        0.0034542151       -0.0005877646       -0.0049854395
       -0.0006005246       -0.0003574047        0.0000390804
        0.0000718055       -0.0001383094       -0.0001023494
        0.0008902353        0.0009166155       -0.0000908250
       -0.0236739052        0.0017598353       -0.0291845399
       -0.1688062900        0.0257309500       -0.1171936546
        0.7054460099       -0.1256096095        0.0017041600
       -0.1731953600        0.0297590401        0.1199157299
       -0.0253748198        0.0028688899        0.0277761200
       -0.0003659898        0.0027477356        0.0004566303
       -0.0056382149        0.0027873850        0.0003233248
