   15   45
        0.6614158400       -0.1091705099        0.0303342350
       -0.3333542401        0.0572749948        0.0177064550
       -0.0241566499        0.0046958550       -0.0511534151
       -0.0312562051        0.0061156601        0.0178631350
        0.0430779551       -0.0084271750        0.0116657750
       -0.1733166050        0.0253781400        0.0757636047
       -0.1227470850        0.0155317699       -0.1199142653
       -0.0092244650        0.0022936200       -0.0039969899
        0.0007947750        0.0014017752       -0.0028050650
       -0.0013064101        0.0000001751        0.0013780749
       -0.0001495300        0.0016576800       -0.0038848950
       -0.0101519348        0.0029032896        0.0273121350
       -0.0004064503       -0.0006192451        0.0007567050
       -0.0000716949       -0.0002877547        0.0000356349
        0.0008548599        0.0012547449       -0.0010354299
       -0.1091705099        0.1524326501        0.0022139099
        0.0567759199       -0.0683751253       -0.0042539102
        0.0055632850        0.0022440750        0.0110627599
        0.0059793450       -0.0047685802       -0.0042971001
       -0.0089511749        0.0046171451       -0.0031954900
        0.0259774649       -0.0623415599       -0.0182917003
        0.0158558296       -0.0392411303        0.0206789997
        0.0027436550        0.0017026500        0.0007110052
        0.0013006550        0.0074914854        0.0004221900
        0.0000629601       -0.0014017900       -0.0001758352
        0.0017085100        0.0074528799        0.0005428799
        0.0024265401        0.0018134597       -0.0056431898
        0.0005744448       -0.0007815203        0.0005890954
       -0.0000276100       -0.0000823852       -0.0000272652
       -0.0008182300       -0.0006586649       -0.0003552501
        0.0303342350        0.0022139099        0.7212457803
       -0.0238561103        0.0047512998       -0.1198165103
       -0.0301495450        0.0063599398        0.0199730201
        0.0177454299       -0.0034254049       -0.0101332401
       -0.0094365200        0.0012414600       -0.0494602151
        0.1180339700       -0.0275782853       -0.2871936653
       -0.1199878503        0.0203771197       -0.2750662054
        0.0277174695       -0.0059119500        0.0039792099
       -0.0032186600        0.0005253003       -0.0047126852
        0.0013418048       -0.0003264452        0.0003734448
       -0.0034356600        0.0005837950       -0.0036955299
       -0.0045495548        0.0009162747        0.0047853800
        0.0004079197       -0.0004592752        0.0000859001
       -0.0001084550        0.0002300348       -0.0002463153
       -0.0007924652        0.0004987248       -0.0001050702
       -0.3333542401        0.0567759199       -0.0238561103
        0.6622225902       -0.1106567754       -0.0282202603
       -0.1692326950        0.0224368401       -0.0736630750
        0.0430410398       -0.0083201800       -0.0093889699
       -0.0301936450        0.0051784150       -0.0183274503
       -0.0258524750        0.0066074247        0.0496937747
       -0.0087913102        0.0024486647        0.0036415898
       -0.1274632803        0.0208633901        0.1220720048
       -0.0095111201        0.0021195052       -0.0276900349
       -0.0003929949        0.0017179948        0.0038582598
       -0.0012730902       -0.0000267352       -0.0013779101
        0.0006738901        0.0015546198        0.0028915599
       -0.0006276403        0.0002167099       -0.0002965348
       -0.0000380001       -0.0000341402        0.0000735199
        0.0007928500       -0.0008893451        0.0006235200
        0.0572749948       -0.0683751253        0.0047512998
       -0.1106567754        0.1534327407        0.0130605946
        0.0215903196       -0.0609360302        0.0129759346
       -0.0076834704        0.0044428796        0.0013086296
        0.0056032695       -0.0044119002        0.0032439547
        0.0060638746        0.0014872998       -0.0104951954
        0.0018147244        0.0018351597       -0.0008443706
        0.0206945396       -0.0410653851       -0.0286887251
        0.0026399397        0.0017687250        0.0058320694
        0.0016833846        0.0074773996       -0.0010460104
       -0.0001154805       -0.0014208305        0.0004171946
        0.0016467749        0.0074695893       -0.0007442353
       -0.0007992804       -0.0010594806        0.0012320348
       -0.0001295402       -0.0005261754        0.0000381294
        0.0003820148       -0.0000137052       -0.0010565202
        0.0177064550       -0.0042539102       -0.1198165103
       -0.0282202603        0.0130605946        0.7180281204
       -0.1153634852        0.0213981249       -0.2913559055
        0.0114365898       -0.0031148352       -0.0496207002
       -0.0181719102        0.0039750049       -0.0110932004
        0.0289064897       -0.0059115152        0.0222276296
       -0.0281396953        0.0057531446        0.0033250447
        0.1220188597       -0.0289576849       -0.2680080453
        0.0040562298       -0.0009642099        0.0041118597
        0.0034544595       -0.0008756049       -0.0034634905
       -0.0014073754        0.0002670598        0.0003021498
        0.0033159148       -0.0008191955       -0.0045253898
       -0.0006197106       -0.0003938354        0.0000377250
        0.0000538049       -0.0001127353       -0.0001024952
        0.0010315597        0.0009464299       -0.0000339102
       -0.0241566499        0.0055632850       -0.0301495450
       -0.1692326950        0.0215903196       -0.1153634852
        0.7117842000       -0.1220871451        0.0015417601
       -0.1737958999        0.0258604800        0.1182597850
       -0.0254350599        0.0063689700        0.0289807249
       -0.0000754798       -0.0010431302        0.0002525698
       -0.0054926599        0.0027441197        0.0003203448
        0.0107271751       -0.0013739751        0.0166456402
       -0.3298633797        0.0625839704       -0.0037457002
        0.0106725898       -0.0018519049       -0.0161086402
       -0.0054995201        0.0027161400       -0.0004984199
        0.0010334600       -0.0004391353        0.0000363951
        0.0003334100        0.0003653449       -0.0000209047
       -0.0002409547       -0.0000378850       -0.0000209050
       -0.0007408951       -0.0009476901       -0.0000762100
        0.0046958550        0.0022440750        0.0063599398
        0.0224368401       -0.0609360302        0.0213981249
       -0.1220871451        0.1555402702        0.0062884601
        0.0248640649       -0.0621999649       -0.0275372500
        0.0067883352        0.0012675548       -0.0054234002
       -0.0002524951       -0.0033435202       -0.0007664252
        0.0028104748        0.0071709547       -0.0000492952
       -0.0018294702        0.0025571049       -0.0037710151
        0.0621604102       -0.0496235299        0.0004388747
       -0.0014583901        0.0027166601        0.0031964049
        0.0028036300        0.0072307000       -0.0001156801
       -0.0006046849       -0.0012706255       -0.0000297800
       -0.0011497002       -0.0006353102       -0.0002240799
        0.0000562699       -0.0001195451        0.0000026148
        0.0007679148       -0.0004888798        0.0002285097
       -0.0511534151        0.0110627599        0.0199730201
       -0.0736630750        0.0129759346       -0.2913559055
        0.0015417601        0.0062884601        0.6678504803
        0.0758310250       -0.0189450952       -0.2869631203
        0.0500628650       -0.0099990402        0.0224355597
        0.0005944500       -0.0005711252       -0.0427630104
        0.0007210647       -0.0002088655        0.0018950047
       -0.0150695553        0.0028331451       -0.0168191949
       -0.0037074051        0.0005686150       -0.0575980752
        0.0157269699       -0.0034937452       -0.0169362804
       -0.0009022503        0.0000713396        0.0018717049
        0.0000369198       -0.0000490104       -0.0020951049
        0.0002152547        0.0002591699       -0.0007573399
        0.0002366750        0.0003136000       -0.0000182152
       -0.0004549253       -0.0011331952        0.0012728449
       -0.0312562051        0.0059793450        0.0177454299
        0.0430410398       -0.0076834704        0.0114365898
       -0.1737958999        0.0248640649        0.0758310250
        0.6619605603       -0.1111355951        0.0298041900
       -0.3341746302        0.0582384399        0.0178566748
       -0.0238127350        0.0050204349       -0.0513483701
       -0.0013143651        0.0000340245        0.0013589897
       -0.0002288652        0.0015648149       -0.0038147951
       -0.0099500949        0.0029593201        0.0272631198
       -0.1224035401        0.0167982600       -0.1194494351
       -0.0091673152        0.0023406648       -0.0039741252
        0.0007916151        0.0014033745       -0.0028173048
       -0.0003118703        0.0000639500        0.0001023250
       -0.0000708002       -0.0003713600        0.0000182149
        0.0006934297       -0.0000789100        0.0000140497
        0.0061156601       -0.0047685802       -0.0034254049
       -0.0083201800        0.0044428796       -0.0031148352
        0.0258604800       -0.0621999649       -0.0189450952
       -0.1111355951        0.1524794101        0.0011342550
        0.0574450098       -0.0689261651       -0.0045540000
        0.0050564049        0.0020763952        0.0108230850
       -0.0000438001       -0.0013819101       -0.0003407104
        0.0015534201        0.0074821901        0.0007285351
        0.0026411951        0.0017766001       -0.0056436201
        0.0166631850       -0.0395883549        0.0223020399
        0.0028594849        0.0018933048        0.0009273350
        0.0014857750        0.0074434348        0.0003912950
       -0.0005332251       -0.0003606200       -0.0007160048
        0.0003494853        0.0002559349        0.0000520797
        0.0000155549       -0.0005110149        0.0003700251
        0.0178631350       -0.0042971001       -0.0101332401
       -0.0093889699        0.0013086296       -0.0496207002
        0.1182597850       -0.0275372500       -0.2869631203
        0.0298041900        0.0011342550        0.7207459402
       -0.0245228750        0.0041589399       -0.1199263102
       -0.0300509350        0.0065623649        0.0203712148
        0.0013650498       -0.0001902103        0.0003578847
       -0.0034692104        0.0005479350       -0.0036524497
       -0.0045057797        0.0010622952        0.0047991398
       -0.1194803053        0.0224265850       -0.2745699200
        0.0278813150       -0.0056505704        0.0038149250
       -0.0032572049        0.0004664696       -0.0046730449
        0.0005190549        0.0003826096        0.0003529252
       -0.0000500998       -0.0001761151        0.0000588847
       -0.0009211050       -0.0002025902       -0.0009486249
        0.0430779551       -0.0089511749       -0.0094365200
       -0.0301936450        0.0056032695       -0.0181719102
       -0.0254350599        0.0067883352        0.0500628650
       -0.3341746302        0.0574450098       -0.0245228750
        0.6631040202       -0.1117926351       -0.0267951000
       -0.1696977000        0.0224417647       -0.0740770400
       -0.0003570401        0.0017892097        0.0038340696
       -0.0012755001       -0.0000891251       -0.0014198750
        0.0006195799        0.0015238152        0.0028906197
       -0.0086878651        0.0022980498        0.0037312296
       -0.1272709702        0.0208587051        0.1216162150
       -0.0095744250        0.0021187745       -0.0276546947
       -0.0004222704       -0.0002135550       -0.0006426848
        0.0004181200        0.0002462349        0.0000720996
       -0.0001265050       -0.0000598450        0.0005549447
       -0.0084271750        0.0046171451        0.0012414600
        0.0051784150       -0.0044119002        0.0039750049
        0.0063689700        0.0012675548       -0.0099990402
        0.0582384399       -0.0689261651        0.0041589399
       -0.1117926351        0.1527890703        0.0141305799
        0.0218537852       -0.0612136449        0.0119121648
        0.0017859196        0.0074083795       -0.0009077903
       -0.0000013202       -0.0014031198        0.0002394648
        0.0014850400        0.0074834301       -0.0007848402
        0.0019794848        0.0020259549       -0.0006993452
        0.0207747547       -0.0412035303       -0.0288253202
        0.0024741499        0.0019959899        0.0057656902
        0.0002764747       -0.0003497354       -0.0002949150
        0.0000007950        0.0003283398       -0.0000524400
       -0.0001847852       -0.0002957651        0.0001254247
        0.0116657750       -0.0031954900       -0.0494602151
       -0.0183274503        0.0032439547       -0.0110932004
        0.0289807249       -0.0054234002        0.0224355597
        0.0178566748       -0.0045540000       -0.1199263102
       -0.0267951000        0.0141305799        0.7180780403
       -0.1163834602        0.0209739500       -0.2921641905
        0.0034558647       -0.0008796056       -0.0034503401
       -0.0013903454        0.0003846651        0.0002969747
        0.0032589600       -0.0008814700       -0.0045023401
       -0.0281328653        0.0059136201        0.0032395349
        0.1215909748       -0.0289711903       -0.2673819449
        0.0042245000       -0.0007710952        0.0041583002
       -0.0004999302        0.0005133896        0.0002204851
        0.0000076051       -0.0004307751        0.0002651348
        0.0005488698       -0.0000577953       -0.0007013753
       -0.1733166050        0.0259774649        0.1180339700
       -0.0258524750        0.0060638746        0.0289064897
       -0.0000754798       -0.0002524951        0.0005944500
       -0.0238127350        0.0050564049       -0.0300509350
       -0.1696977000        0.0218537852       -0.1163834602
        0.7121896800       -0.1203376149        0.0024173099
        0.0106480348       -0.0020251701       -0.0160698502
       -0.0054730003        0.0027939399       -0.0005064550
        0.0010404551       -0.0005741697        0.0000433749
       -0.0054885101        0.0028000099        0.0002313351
        0.0105614200       -0.0015577001        0.0168176101
       -0.3303219049        0.0601184598       -0.0039446999
        0.0005394148       -0.0006665601        0.0000608651
        0.0000569301        0.0003921849       -0.0001023201
       -0.0009751801        0.0003897702        0.0000151798
        0.0253781400       -0.0623415599       -0.0275782853
        0.0066074247        0.0014872998       -0.0059115152
       -0.0010431302       -0.0033435202       -0.0005711252
        0.0050204349        0.0020763952        0.0065623649
        0.0224417647       -0.0612136449        0.0209739500
       -0.1203376149        0.1541585902        0.0070596846
       -0.0015677952        0.0027842097        0.0029669096
        0.0027022546        0.0072148200        0.0001313549
       -0.0004071651       -0.0012802548       -0.0000138050
        0.0027462750        0.0071602349       -0.0002173351
       -0.0019867454        0.0028527398       -0.0037752801
        0.0603047749       -0.0486550803        0.0005188650
        0.0006563096       -0.0004981803        0.0000904001
       -0.0001543850        0.0001870299       -0.0002002554
       -0.0003567652       -0.0004787449       -0.0000396201
        0.0757636047       -0.0182917003       -0.2871936653
        0.0496937747       -0.0104951954        0.0222276296
        0.0002525698       -0.0007664252       -0.0427630104
       -0.0513483701        0.0108230850        0.0203712148
       -0.0740770400        0.0119121648       -0.2921641905
        0.0024173099        0.0070596846        0.6688941005
        0.0157380848       -0.0035125404       -0.0168098205
       -0.0008881904        0.0001420446        0.0018594096
        0.0000664201       -0.0000158602       -0.0020953752
        0.0006834097       -0.0002376854        0.0018871899
       -0.0150063303        0.0029514146       -0.0168761451
       -0.0039044400        0.0004516997       -0.0576417850
       -0.0001054903        0.0001719445       -0.0003778501
        0.0000039100        0.0003180847       -0.0000356252
        0.0007329697       -0.0005322701        0.0007149146
       -0.1227470850        0.0158558296       -0.1199878503
       -0.0087913102        0.0018147244       -0.0281396953
       -0.0054926599        0.0028104748        0.0007210647
       -0.0013143651       -0.0000438001        0.0013650498
       -0.0003570401        0.0017859196        0.0034558647
        0.0106480348       -0.0015677952        0.0157380848
        0.1264300505       -0.0185592705        0.1277538448
        0.0009776298       -0.0009617602        0.0004813597
       -0.0005311003        0.0000984201       -0.0014693302
        0.0001240048       -0.0002403101       -0.0001460404
        0.0004268546       -0.0000785502        0.0009032749
        0.0006877548       -0.0008871004       -0.0006211252
        0.0000183346        0.0000180495        0.0000480350
        0.0000042246        0.0000048448        0.0000188197
       -0.0000766101       -0.0000468052       -0.0000861152
        0.0155317699       -0.0392411303        0.0203771197
        0.0024486647        0.0018351597        0.0057531446
        0.0027441197        0.0071709547       -0.0002088655
        0.0000340245       -0.0013819101       -0.0001902103
        0.0017892097        0.0074083795       -0.0008796056
       -0.0020251701        0.0027842097       -0.0035125404
       -0.0185592705        0.0291448606       -0.0217831254
       -0.0009765057       -0.0035462301       -0.0000032702
        0.0001809198        0.0001146600        0.0003118399
       -0.0002715052       -0.0010566453        0.0000144647
       -0.0001039606        0.0000815146       -0.0001761103
       -0.0008866652       -0.0035634756        0.0002124250
       -0.0001771505        0.0000343098       -0.0002689850
        0.0000096497        0.0000195948        0.0000304746
        0.0002655298        0.0002119299        0.0003046398
       -0.1199142653        0.0206789997       -0.2750662054
        0.0036415898       -0.0008443706        0.0033250447
        0.0003203448       -0.0000492952        0.0018950047
        0.0013589897       -0.0003407104        0.0003578847
        0.0038340696       -0.0009077903       -0.0034503401
       -0.0160698502        0.0029669096       -0.0168098205
        0.1277538448       -0.0217831254        0.2888531606
       -0.0004305502        0.0001958398        0.0007437350
        0.0002799101       -0.0000877699        0.0000975948
       -0.0001322752        0.0000735398       -0.0000001603
       -0.0008522906        0.0001513996       -0.0009281501
        0.0002928499        0.0000334197        0.0010634500
        0.0001325594       -0.0000028103        0.0001556199
       -0.0000377599       -0.0000403801       -0.0000245103
       -0.0001362855       -0.0000554553       -0.0002037604
       -0.0092244650        0.0027436550        0.0277174695
