    4   12
        0.1006282397        0.2050608252       -0.0000022348
       -0.0897078647       -0.2085055699       -0.0000018998
       -0.0112435649       -0.0013518198       -0.0000001448
        0.0003232302        0.0048253051       -0.0000001900
        0.2050608252        0.5206261898       -0.0000363399
       -0.2077257697       -0.5182349949       -0.0000363099
       -0.0024852149        0.0031342351        0.0000000152
        0.0051795152       -0.0055254500       -0.0000000600
       -0.0000022348       -0.0000363399        0.0019646598
       -0.0000018198       -0.0000362849       -0.0005816447
       -0.0000000449       -0.0000000050        0.0025859202
       -0.0000000799       -0.0000000550       -0.0039689601
       -0.0897078647       -0.2077257697       -0.0000018198
        0.0898816396        0.2106894051       -0.0000018798
        0.0003435902        0.0016347703        0.0000000003
       -0.0005173197       -0.0045694449       -0.0000000850
       -0.2085055699       -0.5182349949       -0.0000362849
        0.2106894051        0.5183834799       -0.0000362799
        0.0023870349       -0.0006594099        0.0000000051
       -0.0045417649        0.0005109050       -0.0000000101
       -0.0000018998       -0.0000363099       -0.0005816447
       -0.0000018798       -0.0000362799        0.0002025698
       -0.0000000149       -0.0000000199       -0.0006767949
       -0.0000001349       -0.0000000300        0.0010558450
       -0.0112435649       -0.0024852149       -0.0000000449
        0.0003435902        0.0023870349       -0.0000000149
        0.5830464599       -0.0802244399       -0.0000409399
       -0.5721464449        0.0802563399       -0.0000408950
       -0.0013518198        0.0031342351       -0.0000000050
        0.0016347703       -0.0006594099       -0.0000000199
       -0.0802244399        0.0142855598        0.0000038651
        0.0798750051       -0.0167604000        0.0000038450
       -0.0000001448        0.0000000152        0.0025859202
        0.0000000003        0.0000000051       -0.0006767949
       -0.0000409399        0.0000038651        0.0035150197
       -0.0000411849        0.0000038500       -0.0054241698
        0.0003232302        0.0051795152       -0.0000000799
       -0.0005173197       -0.0045417649       -0.0000001349
       -0.5721464449        0.0798750051       -0.0000411849
        0.5723405798       -0.0805789749       -0.0000410250
        0.0048253051       -0.0055254500       -0.0000000550
       -0.0045694449        0.0005109050       -0.0000000300
        0.0802563399       -0.0167604000        0.0000038500
       -0.0805789749        0.0217749300        0.0000037599
       -0.0000001900       -0.0000000600       -0.0039689601
       -0.0000000850       -0.0000000101        0.0010558450
       -0.0000408950        0.0000038450       -0.0054241698
       -0.0000410250        0.0000037599        0.0083372601
