    4   12
        0.1001348701        0.2060404951       -0.0000022351
       -0.0893996651       -0.2095214552       -0.0000018750
       -0.0120508950       -0.0012975650       -0.0000001900
        0.0013156951        0.0048070299       -0.0000001852
        0.2060404951        0.5227609097       -0.0000363849
       -0.2088171998       -0.5203460698       -0.0000364648
       -0.0028985149        0.0032363953       -0.0000001599
        0.0057041802       -0.0056514848       -0.0000001349
       -0.0000022351       -0.0000363849        0.0012406301
       -0.0000017299       -0.0000363501        0.0001347999
       -0.0000001300        0.0000000151        0.0026117900
       -0.0000000900       -0.0000001900       -0.0039872451
       -0.0893996651       -0.2088171998       -0.0000017299
        0.0896178898        0.2117914300       -0.0000017900
        0.0003370901        0.0016522002        0.0000000651
       -0.0005553048       -0.0045975698        0.0000000101
       -0.2095214552       -0.5203460698       -0.0000363501
        0.2117914300        0.5204798501       -0.0000363201
        0.0027292400       -0.0007083800       -0.0000001151
       -0.0049703348        0.0005744199        0.0000000050
       -0.0000018750       -0.0000364648        0.0001347999
       -0.0000017900       -0.0000363201       -0.0005104300
       -0.0000001249       -0.0000000999       -0.0006701850
       -0.0000002699       -0.0000001501        0.0010457950
       -0.0120508950       -0.0028985149       -0.0000001300
        0.0003370901        0.0027292400       -0.0000001249
        0.5848943900       -0.0805463250       -0.0000410550
       -0.5731805750        0.0806489101       -0.0000408750
       -0.0012975650        0.0032363953        0.0000000151
        0.0016522002       -0.0007083800       -0.0000000999
       -0.0805463250        0.0134248899        0.0000037900
        0.0801249952       -0.0159531699        0.0000038351
       -0.0000001900       -0.0000001599        0.0026117900
        0.0000000651       -0.0000001151       -0.0006701850
       -0.0000410550        0.0000037900        0.0026106500
       -0.0000412899        0.0000037100       -0.0045522749
        0.0013156951        0.0057041802       -0.0000000900
       -0.0005553048       -0.0049703348       -0.0000002699
       -0.5731805750        0.0801249952       -0.0000412899
        0.5724201998       -0.0809256099       -0.0000410249
        0.0048070299       -0.0056514848       -0.0000001900
       -0.0045975698        0.0005744199       -0.0000001501
        0.0806489101       -0.0159531699        0.0000037100
       -0.0809256099        0.0210299899        0.0000037400
       -0.0000001852       -0.0000001349       -0.0039872451
        0.0000000101        0.0000000050        0.0010457950
       -0.0000408750        0.0000038351       -0.0045522749
       -0.0000410249        0.0000037400        0.0074937100
