   10   30
        0.5930456199        0.0000081401        0.0000094301
       -0.1132248499        0.0497740550       -0.1211198150
       -0.1132248499        0.0497740601        0.1211446352
       -0.3228269149       -0.0997166249       -0.0000165949
       -0.0436815399        0.0001262151        0.0000013151
       -0.0000772749        0.0000010200        0.0000000252
       -0.0002053999        0.0000002050        0.0000000051
        0.0002083801       -0.0000323199        0.0002487100
        0.0002083751       -0.0000323299       -0.0002487000
       -0.0002216049        0.0000642051        0.0000000102
        0.0000081401        0.5948112599       -0.0000170499
        0.0495969051       -0.0785443199        0.0858922550
        0.0495969000       -0.0785443099       -0.0858895399
       -0.0993592599       -0.0786799899       -0.0000006649
        0.0001241051       -0.3578193250       -0.0000185900
        0.0000010251       -0.0011010400        0.0000000051
       -0.0000002899       -0.0003401700        0.0000000050
        0.0002010351        0.0000726600       -0.0003477300
        0.0002010302        0.0000726450        0.0003477351
       -0.0004025849        0.0000722851        0.0000000101
        0.0000094301       -0.0000170499        0.5930452998
       -0.1211216899        0.0861982851       -0.2529982149
        0.1211449451       -0.0861980299       -0.2529982099
       -0.0000150499       -0.0000001949       -0.0432801949
        0.0000013151       -0.0000165449       -0.0436813750
        0.0000000102       -0.0000000099       -0.0000786599
       -0.0000000049        0.0000000000       -0.0002048549
        0.0002482101        0.0000559151       -0.0000780100
       -0.0002482349       -0.0000559249       -0.0000779949
        0.0000000001        0.0000000001        0.0003521001
       -0.1132248499        0.0495969051       -0.1211216899
        0.1179688499       -0.0535736299        0.1304266900
        0.0079345001       -0.0069963649        0.0143112251
       -0.0117810900        0.0122266950       -0.0256793600
       -0.0008618800       -0.0013809800        0.0020130700
        0.0002083901        0.0002010301       -0.0002482149
       -0.0000476099        0.0000654800        0.0001432751
       -0.0001900299       -0.0001395249        0.0001372401
       -0.0000318549       -0.0000038399        0.0000522601
        0.0000256350        0.0000038101       -0.0000129849
        0.0497740550       -0.0785443199        0.0861982851
       -0.0535736299        0.0806911899       -0.0927754500
       -0.0069963799        0.0029031451       -0.0100794099
       -0.0052417749        0.0029126601       -0.0111154600
        0.0160471500       -0.0078401250        0.0277901250
       -0.0000323299        0.0000726600       -0.0000559199
        0.0000303601        0.0000841199        0.0000525900
       -0.0001395299       -0.0001649999        0.0000762151
       -0.0000038399        0.0000507251       -0.0000066049
        0.0001358701       -0.0001652300       -0.0000828599
       -0.1211198150        0.0858922550       -0.2529982149
        0.1304266900       -0.0927754500        0.2684543600
       -0.0143118900        0.0100789151       -0.0183468099
        0.0029304300       -0.0010167950        0.0013595550
        0.0020271300       -0.0023966600        0.0014840800
       -0.0002487150        0.0003477150       -0.0000780000
        0.0001433251        0.0001134700        0.0001176851
       -0.0001372400       -0.0000762299        0.0000971300
        0.0000522501       -0.0000066249        0.0000284650
        0.0002618500       -0.0001588300       -0.0001182549
       -0.1132248499        0.0495969000        0.1211449451
        0.0079345001       -0.0069963799       -0.0143118900
        0.1179688499       -0.0535736250       -0.1304028000
       -0.0117810900        0.0122267001        0.0256790950
       -0.0008618800       -0.0013809700       -0.0020131549
        0.0002083801        0.0002010400        0.0002482201
       -0.0000476099        0.0000654700       -0.0001432699
       -0.0000318649       -0.0000038249       -0.0000522600
       -0.0001900299       -0.0001395349       -0.0001372300
        0.0000256350        0.0000038150        0.0000130051
        0.0497740601       -0.0785443099       -0.0861980299
       -0.0069963649        0.0029031451        0.0100789151
       -0.0535736250        0.0806911699        0.0927770601
       -0.0052417749        0.0029126551        0.0111152601
        0.0160471451       -0.0078401050       -0.0277904999
       -0.0000323149        0.0000726550        0.0000559302
        0.0000303601        0.0000841300       -0.0000525699
       -0.0000038249        0.0000507401        0.0000065901
       -0.0001395298       -0.0001650049       -0.0000762149
        0.0001358801       -0.0001652199        0.0000828951
        0.1211446352       -0.0858895399       -0.2529982099
        0.0143112251       -0.0100794099       -0.0183468099
       -0.1304028000        0.0927770601        0.2684543499
       -0.0029304399        0.0010170701        0.0013595650
       -0.0020269700        0.0023967650        0.0014840750
        0.0002487150       -0.0003477349       -0.0000779949
       -0.0001433299       -0.0001134500        0.0001176851
       -0.0000522549        0.0000065951        0.0000284451
        0.0001372501        0.0000762101        0.0000971401
       -0.0002618449        0.0001588251       -0.0001182350
       -0.3228269149       -0.0993592599       -0.0000150499
       -0.0117810900       -0.0052417749        0.0029304300
       -0.0117810900       -0.0052417749       -0.0029304399
        0.3436332099        0.1073270801       -0.0000144800
        0.0026674800        0.0027735550        0.0000000300
       -0.0002216049       -0.0004025900        0.0000000151
        0.0002005351       -0.0001310900        0.0000000201
        0.0000256350        0.0001358801       -0.0002618599
        0.0000256301        0.0001358551        0.0002618600
        0.0000582200        0.0000079500        0.0000000001
       -0.0997166249       -0.0786799899       -0.0000001949
        0.0122266950        0.0029126601       -0.0010167950
        0.0122267001        0.0029126551        0.0010170701
        0.1073270801        0.0808379299       -0.0000006549
       -0.0320837000       -0.0078600799       -0.0000002250
        0.0000642001        0.0000722900        0.0000000102
       -0.0000605299        0.0000840550        0.0000000050
        0.0000038150       -0.0001652150        0.0001588200
