   10   30
        0.5756004400        0.0000091300        0.0000100600
       -0.1096798550        0.0482276500       -0.1177024151
       -0.1096798550        0.0482276400        0.1177273900
       -0.3133684299       -0.0966179700       -0.0000162151
       -0.0426724100        0.0001220300        0.0000013450
       -0.0002497850        0.0000010700        0.0000000200
       -0.0001548050        0.0000002850       -0.0000000001
        0.0002086450       -0.0000369750        0.0002437100
        0.0002086350       -0.0000369850       -0.0002437200
       -0.0002127049        0.0000732100        0.0000000299
        0.0000091300        0.5770290500       -0.0000156049
        0.0481394900       -0.0761432850        0.0833684250
        0.0481394900       -0.0761433100       -0.0833652101
       -0.0964393550       -0.0762747200       -0.0000004950
        0.0001202500       -0.3473438750       -0.0000181100
        0.0000010950       -0.0011625700        0.0000000300
       -0.0000004000       -0.0002392400        0.0000000099
        0.0001870151        0.0000926850       -0.0003233950
        0.0001870050        0.0000926800        0.0003233951
       -0.0003743399        0.0000922701        0.0000000050
        0.0000100600       -0.0000156049        0.5755990000
       -0.1177041101        0.0835199050       -0.2455093250
        0.1177274201       -0.0835191650       -0.2455093250
       -0.0000145999       -0.0000001051       -0.0417085100
        0.0000013200       -0.0000160200       -0.0426719950
       -0.0000000249       -0.0000000150       -0.0002511800
        0.0000000200        0.0000000150       -0.0001542550
        0.0002432300        0.0000638450       -0.0000720100
       -0.0002432551       -0.0000638600       -0.0000719800
        0.0000000050       -0.0000000099        0.0003495150
       -0.1096798550        0.0481394900       -0.1177041101
        0.1155694001       -0.0521914150        0.1272243900
        0.0073978249       -0.0066259101        0.0140562849
       -0.0122213500        0.0118783749       -0.0253692901
       -0.0010251651       -0.0012808950        0.0017520149
        0.0002086200        0.0001869749       -0.0002432500
       -0.0000452651        0.0000652750        0.0001426849
       -0.0001889801       -0.0001553001        0.0001337699
       -0.0000354301       -0.0000108250        0.0000424799
        0.0000200650       -0.0000060350       -0.0000133650
        0.0482276500       -0.0761432850        0.0835199050
       -0.0521914150        0.0793184000       -0.0903817200
       -0.0066258950        0.0026683900       -0.0098914151
       -0.0052643150        0.0026774099       -0.0107002301
        0.0158610599       -0.0083819000        0.0274675200
       -0.0000370049        0.0000926600       -0.0000638450
        0.0000347600        0.0000740350        0.0000601600
       -0.0001552900       -0.0001815000        0.0000966300
       -0.0000108051        0.0000572650       -0.0000186700
        0.0001614850       -0.0001817100       -0.0000863051
       -0.1177024151        0.0833684250       -0.2455093250
        0.1272243900       -0.0903817200        0.2623593001
       -0.0140569450        0.0098909199       -0.0187551900
        0.0027308350       -0.0007899751        0.0008551498
        0.0017658950       -0.0022237700        0.0010191400
       -0.0002437400        0.0003233650       -0.0000719900
        0.0001427499        0.0001131099        0.0001193749
       -0.0001337750       -0.0000966300        0.0000893649
        0.0000424749       -0.0000186900        0.0000136550
        0.0002545850       -0.0001827250       -0.0001194051
       -0.1096798550        0.0481394900        0.1177274201
        0.0073978249       -0.0066258950       -0.0140569450
        0.1155694000       -0.0521914400       -0.1272004700
       -0.0122213500        0.0118783800        0.0253690700
       -0.0010251650       -0.0012808899       -0.0017520650
        0.0002086151        0.0001869750        0.0002432300
       -0.0000452700        0.0000652751       -0.0001426901
       -0.0000354199       -0.0000108100       -0.0000424900
       -0.0001889801       -0.0001553150       -0.0001337800
        0.0000200651       -0.0000060400        0.0000133850
        0.0482276400       -0.0761433100       -0.0835191650
       -0.0066259101        0.0026683900        0.0098909199
       -0.0521914400        0.0793184300        0.0903836300
       -0.0052643400        0.0026773999        0.0107000800
        0.0158610450       -0.0083819150       -0.0274678450
       -0.0000370149        0.0000926450        0.0000638300
        0.0000347500        0.0000740200       -0.0000601550
       -0.0000108150        0.0000572700        0.0000186650
       -0.0001553200       -0.0001815300       -0.0000966250
        0.0001614650       -0.0001817099        0.0000863250
        0.1177273900       -0.0833652101       -0.2455093250
        0.0140562849       -0.0098914151       -0.0187551900
       -0.1272004700        0.0903836300        0.2623593001
       -0.0027308150        0.0007902799        0.0008551498
       -0.0017657151        0.0022239099        0.0010191400
        0.0002437100       -0.0003234050       -0.0000719950
       -0.0001427401       -0.0001130901        0.0001193599
       -0.0000424850        0.0000186849        0.0000136350
        0.0001337699        0.0000966200        0.0000893800
       -0.0002545701        0.0001827200       -0.0001193901
       -0.3133684299       -0.0964393550       -0.0000145999
       -0.0122213500       -0.0052643150        0.0027308350
       -0.0122213500       -0.0052643400       -0.0027308150
        0.3356923600        0.1045586450       -0.0000142050
        0.0020516899        0.0025737500        0.0000000550
       -0.0002127199       -0.0003743600        0.0000000000
        0.0002018700       -0.0001306850        0.0000000100
        0.0000200751        0.0001614800       -0.0002545750
        0.0000200650        0.0001614600        0.0002545850
        0.0000377301        0.0000218951        0.0000000000
       -0.0966179700       -0.0762747200       -0.0000001051
        0.0118783749        0.0026774099       -0.0007899751
        0.0118783800        0.0026773999        0.0007902799
        0.1045586450        0.0794612201       -0.0000006601
       -0.0317114101       -0.0084017100       -0.0000002351
        0.0000732000        0.0000922500       -0.0000000050
       -0.0000691850        0.0000739300       -0.0000000001
       -0.0000060200       -0.0001816750        0.0001827100
       -0.0000060301       -0.0001817201       -0.0001827200
        0.0000219000        0.0000573750        0.0000000049
       -0.0000162151       -0.0000004950       -0.0417085100
       -0.0253692901       -0.0107002301        0.0008551498
        0.0253690700        0.0107000800        0.0008551498
       -0.0000142050       -0.0000006601        0.0421122601
       -0.0000002252        0.0000000199       -0.0020370851
       -0.0000000250       -0.0000000151        0.0003495200
        0.0000000099        0.0000000099       -0.0001278251
        0.0000133800        0.0000863449       -0.0001194151
       -0.0000133301       -0.0000863251       -0.0001193750
        0.0000000050       -0.0000000050       -0.0000598351
       -0.0426724100        0.0001202500        0.0000013200
       -0.0010251651        0.0158610599        0.0017658950
       -0.0010251650        0.0158610450       -0.0017657151
        0.0020516899       -0.0317114101       -0.0000002252
        0.0425632601       -0.0001656900        0.0000012399
       -0.0001548450       -0.0000004600       -0.0000000001
        0.0001511749       -0.0000000151       -0.0000000200
       -0.0000452800        0.0000347350       -0.0001427750
       -0.0000452951        0.0000347200        0.0001427299
        0.0002018449       -0.0000692300       -0.0000000200
        0.0001220300       -0.3473438750       -0.0000160200
       -0.0012808950       -0.0083819000       -0.0022237700
       -0.0012808899       -0.0083819150        0.0022239099
        0.0025737500       -0.0084017100        0.0000000199
       -0.0001656900        0.3725975300       -0.0000160701
        0.0000002650       -0.0002392600        0.0000000050
        0.0000000050       -0.0000709800        0.0000000099
        0.0000652901        0.0000740400       -0.0001131050
        0.0000652999        0.0000740400        0.0001131200
       -0.0001306950        0.0000739301        0.0000000100
        0.0000013450       -0.0000181100       -0.0426719950
        0.0017520149        0.0274675200        0.0010191400
       -0.0017520650       -0.0274678450        0.0010191400
        0.0000000550       -0.0000002351       -0.0020370851
        0.0000012399       -0.0000160701        0.0425631001
       -0.0000000200       -0.0000000151       -0.0001542500
        0.0000000050        0.0000000299        0.0001510399
       -0.0001426800       -0.0000601400        0.0001193499
        0.0001426649        0.0000601300        0.0001193649
        0.0000000050        0.0000000050       -0.0001278351
       -0.0002497850        0.0000010950       -0.0000000249
        0.0002086200       -0.0000370049       -0.0002437400
        0.0002086151       -0.0000370149        0.0002437100
       -0.0002127199        0.0000732000       -0.0000000250
       -0.0001548450        0.0000002650       -0.0000000200
        0.5756004799        0.0000090751        0.0000100400
       -0.0426724100        0.0001220101        0.0000013300
       -0.1096798549        0.0482276300        0.1177273550
       -0.1096798750        0.0482276100       -0.1177024300
       -0.3133684549       -0.0966179949       -0.0000162600
        0.0000010700       -0.0011625700       -0.0000000150
        0.0001869749        0.0000926600        0.0003233650
        0.0001869750        0.0000926450       -0.0003234050
       -0.0003743600        0.0000922500       -0.0000000151
       -0.0000004600       -0.0002392600       -0.0000000151
        0.0000090751        0.5770291000       -0.0000156600
        0.0001202650       -0.3473439000       -0.0000181400
        0.0481394751       -0.0761433150       -0.0833652501
        0.0481394650       -0.0761433351        0.0833684200
       -0.0964393800       -0.0762747450       -0.0000005400
        0.0000000200        0.0000000300       -0.0002511800
       -0.0002432500       -0.0000638450       -0.0000719900
        0.0002432300        0.0000638300       -0.0000719950
        0.0000000000       -0.0000000050        0.0003495200
       -0.0000000001        0.0000000050       -0.0001542500
        0.0000100400       -0.0000156600        0.5755990000
        0.0000013450       -0.0000160150       -0.0426720000
        0.1177274301       -0.0835191650       -0.2455093250
       -0.1177041150        0.0835198750       -0.2455093150
       -0.0000145999       -0.0000000950       -0.0417085100
       -0.0001548050       -0.0000004000        0.0000000200
       -0.0000452651        0.0000347600        0.0001427499
       -0.0000452700        0.0000347500       -0.0001427401
        0.0002018700       -0.0000691850        0.0000000099
        0.0001511749        0.0000000050        0.0000000050
       -0.0426724100        0.0001202650        0.0000013450
        0.0425632101       -0.0001656601        0.0000012550
       -0.0010251300        0.0158610800       -0.0017657051
       -0.0010251251        0.0158610550        0.0017659499
        0.0020517150       -0.0317113850       -0.0000002051
