   10   30
        0.9267862600       -0.1337687652       -0.0000366501
       -0.1548303300       -0.0572039698       -0.0000012648
       -0.4434251298        0.3020416199       -0.0000166054
       -0.3160506000       -0.0612175751       -0.0000179898
        0.0016475650       -0.0559713698       -0.0000012852
       -0.0036255898       -0.0060712898       -0.0000001000
        0.0031016046        0.0018462248       -0.0000000202
       -0.0045078599        0.0046708550        0.0000000398
       -0.0000220851        0.0003685801        0.0000000250
       -0.0090724700        0.0053963601       -0.0000003348
       -0.1337687652        0.8266842406       -0.0000355004
       -0.0734196854       -0.3672419803       -0.0000181203
        0.2810830898       -0.3830546353       -0.0000161654
       -0.0694687304       -0.0620267156        0.0000001648
       -0.0363915751       -0.0184175252       -0.0000002905
       -0.0060713501        0.0337320398       -0.0000000901
       -0.0231106205       -0.0214784805       -0.0000001054
        0.0263984248       -0.0126093352       -0.0000000503
        0.0009038445       -0.0027149102       -0.0000000452
        0.0339388643        0.0071268249       -0.0000002549
       -0.0000366501       -0.0000355004        0.1853885408
       -0.0000007353       -0.0000170303       -0.0598748903
       -0.0000168453       -0.0000165255       -0.0657588703
       -0.0000144303       -0.0000006506       -0.0633815000
        0.0000001748       -0.0000008052        0.0035140295
       -0.0000001103       -0.0000000850        0.0005494400
       -0.0000000657       -0.0000000156       -0.0004193907
        0.0000000298       -0.0000000705       -0.0007697406
        0.0000000045        0.0000000045        0.0001659197
       -0.0000000557       -0.0000000705        0.0005870100
       -0.1548303300       -0.0734196854       -0.0000007353
        0.5316845505        0.0981374998       -0.0000285854
        0.0387571947        0.0406442197       -0.0000003504
       -0.0068144152       -0.0413136354       -0.0000005599
       -0.3725373250       -0.0186748349       -0.0000269904
        0.0031015998       -0.0231106151       -0.0000000850
        0.0055925744        0.0103110293       -0.0000000304
       -0.0363607052        0.0068106650       -0.0000001253
       -0.0017085853        0.0024261246       -0.0000000253
       -0.0068841405       -0.0018762449       -0.0000000350
       -0.0572039698       -0.3672419803       -0.0000170303
        0.0981374998        0.5281612704       -0.0000171852
        0.0396498049       -0.0856253052       -0.0000008552
       -0.0043856801       -0.0190999353       -0.0000003300
       -0.0513336502       -0.0585629701        0.0000015348
        0.0018462200       -0.0214784649       -0.0000000151
        0.0103110645        0.0127108345        0.0000000648
       -0.0190296302        0.0135365647        0.0000000446
       -0.0008414952        0.0018094198        0.0000000097
       -0.0172173904       -0.0042108348       -0.0000000250
       -0.0000012648       -0.0000181203       -0.0598748903
       -0.0000285854       -0.0000171852        0.0425085602
       -0.0000002152       -0.0000013853        0.0300121997
       -0.0000000153       -0.0000003453        0.0116157304
       -0.0000257799        0.0000011650       -0.0292758205
       -0.0000000298       -0.0000000952       -0.0004193799
       -0.0000000253        0.0000000597        0.0011269100
       -0.0000004349        0.0000000551        0.0065581250
        0.0000000298        0.0000000250       -0.0009134652
        0.0000002697       -0.0000000551       -0.0013375796
       -0.4434251298        0.2810830898       -0.0000168453
        0.0387571947        0.0396498049       -0.0000002152
        0.4597502902       -0.3507408204       -0.0000176752
       -0.0287587650        0.0371228796       -0.0000006898
       -0.0152489901        0.0021504948       -0.0000001003
       -0.0045078701        0.0263984450        0.0000000102
       -0.0363606904       -0.0190296453       -0.0000004403
        0.0138721151       -0.0105301601       -0.0000001052
       -0.0002469301       -0.0028678249       -0.0000000500
        0.0161688098       -0.0031021551       -0.0000004647
