   10   24
        0.0000062198        0.0000000097       -0.0000000352
        0.0001386599        0.0000000497       -0.0000000648
       -0.0000001447       -0.0000001748       -0.0000000048
        0.0000000199       -0.0000001950       -0.0000006648
       -0.0000000148       -0.0000003098        0.0000000102
       -0.0000001049       -0.0000106098        0.0000000253
       -0.0000007347        0.0001539198       -0.0000006600
       -0.0000005900       -0.0000023849       -0.0000007500
        0.0000000097        0.0000049806       -0.0000387456
       -0.0000000506       -0.0000000355       -0.0000001052
       -0.0000002052       -0.0000002302       -0.0000000506
       -0.0000000304       -0.0000001654       -0.0000007702
        0.0000687800       -0.0000003857       -0.0000000404
       -0.0000001955       -0.0000000500       -0.0000000253
       -0.0000007901       -0.0000000605       -0.0000006702
       -0.0000006204       -0.0000024352       -0.0000008103
       -0.0000000352       -0.0000387456        0.0223653205
        0.0000000745       -0.0000001305       -0.0000001151
       -0.0000001651       -0.0000002350       -0.0000000654
       -0.0000000003       -0.0000001455       -0.0000005650
        0.0066311100       -0.0000002504       -0.0000000003
       -0.0000000202       -0.0000000051       -0.0000000750
       -0.0000005349       -0.0000000503       -0.0000002103
       -0.0000005451       -0.0000021703       -0.0000006852
        0.0001386599       -0.0000000506        0.0000000745
        0.0253109204       -0.0000001253       -0.0000001100
       -0.0000001501       -0.0000002350       -0.0000000452
       -0.0000000102       -0.0000001552       -0.0000005352
       -0.0000000199       -0.0000002504        0.0000003197
        0.0000000099        0.0032494603       -0.0000000500
       -0.0000004800       -0.0018490201       -0.0000002254
       -0.0000005053       -0.0000020552       -0.0000006801
        0.0000000497       -0.0000000355       -0.0000001305
       -0.0000001253        0.3381314804        0.0318735499
        0.0000108901        0.0000024048        0.0000040498
       -0.0638685054        0.0000058847        0.1254953850
       -0.0000002100       -0.0366069904        0.0000049599
       -0.0928737100       -0.0000001299        0.0648997897
        0.0000066800       -0.0000001705        0.0000061198
        0.0000044048        0.1794563047        0.0000005298
       -0.0000000648       -0.0000001052       -0.0000001151
       -0.0000001100        0.0318735499        0.2639906398
        0.0000046603        0.0000067752        0.0000027700
        0.0259723001        0.0000031750        0.1063289753
       -0.0000001248        0.1132799349        0.0000037102
        0.0738013401       -0.0000001248        0.0027366804
        0.0000026904       -0.0000001350        0.0000098251
        0.0000017852        0.0579184848        0.0000014700
       -0.0000001447       -0.0000002052       -0.0000001651
       -0.0000001501        0.0000108901        0.0000046603
        0.3598504497        0.0052690501        0.0097269449
        0.0000024400        0.1363272750        0.0000094104
       -0.0000002197        0.0000013551        0.0121764953
        0.0000084850       -0.0000001046        0.0000064404
        0.1887163404       -0.0000002549       -0.0594366398
        0.0865374599        0.0000022851        0.0559612249
       -0.0000001748       -0.0000002302       -0.0000002350
       -0.0000002350        0.0000024048        0.0000067752
        0.0052690501        0.2728449999       -0.0385376052
        0.0000035550       -0.0623792900        0.0000003402
       -0.0000002049        0.0000028049        0.0300645053
        0.0000064452       -0.0000001350        0.0000061803
        0.0613440602       -0.0000001600        0.0722925148
        0.0516995399       -0.0000000799        0.0490695848
       -0.0000000048       -0.0000000506       -0.0000000654
       -0.0000000452        0.0000040498        0.0000027700
        0.0097269449       -0.0385376052        0.1954747103
        0.0000091597       -0.0031180653        0.0000041402
       -0.0000001100        0.0000077597        0.1065497747
        0.0000003899        0.0000000051        0.0000012500
       -0.0326279951       -0.0000001452        0.0897678999
       -0.1203913953        0.0000024698        0.0402904749
        0.0000000199       -0.0000000304       -0.0000000003
       -0.0000000102       -0.0638685054        0.0259723001
        0.0000024400        0.0000035550        0.0000091597
        0.2764676503        0.0000014347       -0.0916313101
       -0.0000000048       -0.0751754504        0.0000108298
        0.0508803348        0.0000000202        0.0387242099
        0.0000018798       -0.0000000352        0.0000023698
        0.0000047149        0.0676229496        0.0000030249
       -0.0000001950       -0.0000001654       -0.0000001455
       -0.0000001552        0.0000058847        0.0000031750
