   10   30
        0.9323807598       -0.1353538298       -0.0000360899
       -0.1543777898       -0.0590421547       -0.0000012400
       -0.4469345802        0.3050389404       -0.0000163098
       -0.3187118949       -0.0620843701       -0.0000179296
        0.0012382205       -0.0545521300       -0.0000012648
       -0.0033715298       -0.0055812498       -0.0000000699
        0.0026842801        0.0017309750       -0.0000000151
       -0.0044571649        0.0041576604        0.0000000850
       -0.0000424751        0.0003405304        0.0000000503
       -0.0084064047        0.0054389400       -0.0000003047
       -0.1353538298        0.8294173597       -0.0000348498
       -0.0754850046       -0.3687934998       -0.0000185048
        0.2846980797       -0.3851799147       -0.0000155148
       -0.0702167048       -0.0609628449        0.0000002854
       -0.0353180846       -0.0182572049       -0.0000005096
       -0.0055812598        0.0337857401       -0.0000000853
       -0.0239360548       -0.0219458099       -0.0000000898
        0.0256845252       -0.0121928244       -0.0000000253
        0.0010224051       -0.0027828196       -0.0000000048
        0.0345798105        0.0069110249       -0.0000003098
       -0.0000360899       -0.0000348498        0.1891503200
       -0.0000007850       -0.0000168046       -0.0610265852
       -0.0000164053       -0.0000160750       -0.0662693850
       -0.0000144101       -0.0000006602       -0.0650592500
        0.0000000753       -0.0000008200        0.0031197101
       -0.0000000949       -0.0000000750        0.0003917347
       -0.0000000600       -0.0000001100       -0.0002897599
        0.0000000000       -0.0000000196       -0.0005821201
       -0.0000000151       -0.0000000298        0.0001780700
       -0.0000001148       -0.0000000801        0.0003876451
       -0.1543777898       -0.0754850046       -0.0000007850
        0.5313601997        0.1021576804       -0.0000284797
        0.0383476649        0.0405291001       -0.0000003797
       -0.0067825150       -0.0414594851       -0.0000005298
       -0.3717341596       -0.0205539348       -0.0000269145
        0.0026842451       -0.0239360048       -0.0000000750
        0.0059820601        0.0108270254       -0.0000000350
       -0.0364950895        0.0070961653       -0.0000000699
       -0.0018376747        0.0025807554        0.0000000102
       -0.0071464598       -0.0018221900       -0.0000000648
       -0.0590421547       -0.3687934998       -0.0000168046
        0.1021576804        0.5290603997       -0.0000173196
        0.0390543499       -0.0853159997       -0.0000006847
       -0.0040213149       -0.0207185298       -0.0000003547
       -0.0530895446       -0.0564191700        0.0000014452
        0.0017310052       -0.0219457448       -0.0000000202
        0.0108270302        0.0134172305        0.0000000352
       -0.0188694148        0.0132230304        0.0000000551
       -0.0009237650        0.0018815354        0.0000000452
       -0.0178905347       -0.0043909751       -0.0000000696
       -0.0000012400       -0.0000185048       -0.0610265852
       -0.0000284797       -0.0000173196        0.0431613898
       -0.0000002402       -0.0000014148        0.0303202449
       -0.0000000202       -0.0000003701        0.0113536453
       -0.0000257447        0.0000011551       -0.0287740551
        0.0000000051       -0.0000000597       -0.0002896053
        0.0000000000        0.0000000853        0.0010901101
       -0.0000003848        0.0000002154        0.0064442247
        0.0000000500        0.0000000102       -0.0009563198
        0.0000003052       -0.0000000401       -0.0013226099
       -0.4469345802        0.2846980797       -0.0000164053
        0.0383476649        0.0390543499       -0.0000002402
        0.4636478604       -0.3547100053       -0.0000172753
       -0.0289676456        0.0381153498       -0.0000006798
       -0.0153163748        0.0021218949       -0.0000001549
       -0.0044571652        0.0256847048        0.0000000296
       -0.0364951001       -0.0188694403       -0.0000004601
        0.0134602598       -0.0098925298       -0.0000000506
       -0.0002204803       -0.0028547302       -0.0000000051
