   10   30
        0.8942826202       -0.1220320001       -0.0000351602
       -0.1581144551       -0.0555606698       -0.0000013750
       -0.4307561602        0.2825478299       -0.0000160401
       -0.2928406951       -0.0553639103       -0.0000169101
        0.0010474801       -0.0551202302       -0.0000012403
       -0.0034154201       -0.0059474803       -0.0000000850
        0.0031560398        0.0019083947       -0.0000000304
       -0.0045307803        0.0044913000        0.0000000250
       -0.0000466750        0.0003766249       -0.0000000449
       -0.0087805151        0.0047890899       -0.0000002802
       -0.1220320001        0.7957991699       -0.0000346949
       -0.0692264700       -0.3479193848       -0.0000174049
        0.2604761903       -0.3695343497       -0.0000155950
       -0.0634043249       -0.0633494798        0.0000000151
       -0.0375802651       -0.0192203601       -0.0000003399
       -0.0059474849        0.0334061349       -0.0000000549
       -0.0230042397       -0.0213029699       -0.0000001003
        0.0262089100       -0.0124457350       -0.0000000048
        0.0008682503       -0.0026415049       -0.0000000446
        0.0337324252        0.0072078100       -0.0000001953
       -0.0000351602       -0.0000346949        0.1990092500
       -0.0000006349       -0.0000161796       -0.0638876696
       -0.0000164400       -0.0000161850       -0.0723723551
       -0.0000134949       -0.0000007500       -0.0663123501
        0.0000002552       -0.0000007051        0.0034877999
       -0.0000001450       -0.0000001251        0.0006282102
       -0.0000001450       -0.0000000702       -0.0004343553
        0.0000000500       -0.0000000750       -0.0008496650
        0.0000000603        0.0000000048        0.0001504552
       -0.0000001347       -0.0000000750        0.0005814249
       -0.1581144551       -0.0692264700       -0.0000006349
        0.5281681899        0.0945719651       -0.0000276100
        0.0393914303        0.0399054801       -0.0000003050
       -0.0065558100       -0.0405602449       -0.0000005349
       -0.3659587500       -0.0193390400       -0.0000262500
        0.0031560253       -0.0230042500       -0.0000001052
        0.0056968054        0.0103901252       -0.0000001054
       -0.0370538001        0.0067114001       -0.0000001597
       -0.0016624699        0.0023269200       -0.0000000747
       -0.0070666249       -0.0018399149       -0.0000000401
       -0.0555606698       -0.3479193848       -0.0000161796
        0.0945719651        0.5094600294       -0.0000163647
        0.0409196502       -0.0862932947       -0.0000008197
       -0.0051961348       -0.0192709848       -0.0000002848
       -0.0495676048       -0.0582352897        0.0000015152
        0.0019083902       -0.0213029747        0.0000000054
        0.0103901505        0.0127691604        0.0000000250
       -0.0193884298        0.0133337304        0.0000000503
       -0.0008298596        0.0017486951       -0.0000000395
       -0.0173130746       -0.0042914201       -0.0000000199
       -0.0000013750       -0.0000174049       -0.0638876696
       -0.0000276100       -0.0000163647        0.0479914195
       -0.0000002348       -0.0000013645        0.0292421953
       -0.0000000196       -0.0000003448        0.0117649702
       -0.0000247698        0.0000011150       -0.0300582946
       -0.0000000398       -0.0000001046       -0.0004343298
       -0.0000000347        0.0000000202        0.0011093249
       -0.0000004445        0.0000000404        0.0064707953
        0.0000000253        0.0000000151       -0.0008876697
        0.0000002456       -0.0000000148       -0.0013103647
       -0.4307561602        0.2604761903       -0.0000164400
        0.0393914303        0.0409196502       -0.0000002348
        0.4452782997       -0.3316701699       -0.0000171551
       -0.0288521949        0.0364762249       -0.0000007148
       -0.0154993299        0.0022379851       -0.0000000696
