   12   30
        0.7903901400        0.0000986452        0.0796512001
        0.0000019750       -0.0117057749        0.0000015751
        0.0075938300        0.0000016001        0.0289917901
       -0.0000000801        0.0173841300        0.0335909249
        0.0000038850        0.0396206400        0.0000005301
       -0.0057526148       -0.0000006551        0.0072381701
        0.0000015399        0.0135168102       -0.0000003701
        0.0000013654        0.0000019000        0.0000017050
        0.0000010496        0.0000044949       -0.0000000296
        0.0000001447        0.0000023650        0.0000023050
        0.0000986452        0.8048537995       -0.0000011198
        0.0676818854       -0.0000016547       -0.0038456199
       -0.0000016496       -0.0001369446       -0.0000000648
        0.0298238851       -0.0000010550       -0.0000004297
        0.0377023503       -0.0000022297        0.0359455700
       -0.0000000045       -0.0062504549       -0.0000024349
        0.0108976954       -0.0000019247        0.0445125499
       -0.0000023445       -0.0000019048       -0.0000028598
       -0.0000028251       -0.0000017997       -0.0000017246
       -0.0000056502       -0.0000019247       -0.0000019696
        0.0796512001       -0.0000011198        0.5405895502
        0.0000568551        0.0072919201       -0.0000020202
       -0.0065308652       -0.0000003399        0.0126746801
       -0.0000000503       -0.0120805052        0.0306233301
       -0.0000005551       -0.0305084001       -0.0000000199
       -0.0222356599       -0.0000004999        0.0046691349
       -0.0000021151        0.0060915602       -0.0000032850
        0.0000014703       -0.0000015700       -0.0000001702
       -0.0000057403       -0.0000018801       -0.0000067197
       -0.0000073152       -0.0000021299       -0.0000021549
        0.0000019750        0.0676818854        0.0000568551
        0.5521567994       -0.0000000546       -0.0008536045
       -0.0000001148        0.0007530855       -0.0000000196
        0.0137711703       -0.0000000847       -0.0000008896
        0.0364969605       -0.0000011499       -0.0275750045
       -0.0000004798       -0.0289862646       -0.0000016649
        0.0022464104       -0.0000027694        0.0190071754
        0.0000017104       -0.0000019398       -0.0000003348
       -0.0000058250       -0.0000001847       -0.0000063244
       -0.0000067496       -0.0000022547       -0.0000022595
       -0.0117057749       -0.0000016547        0.0072919201
       -0.0000000546        0.4759263896        0.0000310453
        0.0295069154        0.0000306252        0.0004920705
        0.0000000500        0.0243335151       -0.0009700449
       -0.0000001501        0.0016299100       -0.0000000546
        0.0074235052        0.0000034950        0.0048365251
        0.0000007103       -0.0019445648        0.0000019750
        0.0000036204        0.0000000054        0.0000024301
       -0.0000017749       -0.0000000048       -0.0000046995
       -0.0000053501        0.0000001353        0.0000001052
        0.0000015751       -0.0038456199       -0.0000020202
       -0.0008536045        0.0000310453        0.4710152598
        0.0000307051        0.0348300753        0.0000002501
       -0.0039711051        0.0000004047       -0.0000002248
        0.0101549750       -0.0000014148       -0.0018748850
        0.0000034549        0.0053565603        0.0000015149
       -0.0051894449        0.0000012852       -0.0396238551
        0.0000040600        0.0000000352        0.0000029300
       -0.0000010803        0.0000008600       -0.0000044597
       -0.0000054351        0.0000001350        0.0000000151
        0.0075938300       -0.0000016496       -0.0065308652
       -0.0000001148        0.0295069154        0.0000307051
        0.4856213798        0.0000311954       -0.0005104198
        0.0000000500       -0.0229841402        0.0164044249
        0.0000001049        0.0001550299       -0.0000000651
        0.0026182951        0.0000016101        0.0124622801
        0.0000035453        0.0003250054        0.0000017351
        0.0000036803       -0.0000034046        0.0000024050
       -0.0000028803       -0.0000021149       -0.0000051247
       -0.0000058151        0.0000000651       -0.0000000750
        0.0000016001       -0.0001369446       -0.0000003399
        0.0007530855        0.0000306252        0.0348300753
        0.0000311954        0.4799539795        0.0000001853
        0.0038306450        0.0000002552       -0.0000001396
        0.0057637402       -0.0000013799        0.0035198653
        0.0000015453        0.0050943802       -0.0000008347
        0.0214228055        0.0000010604        0.0319002604
        0.0000042354       -0.0000033896        0.0000029351
       -0.0000021549       -0.0000013600       -0.0000049192
       -0.0000058751        0.0000000401        0.0000000352
        0.0289917901       -0.0000000648        0.0126746801
       -0.0000000196        0.0004920705        0.0000002501
       -0.0005104198        0.0000001853        0.3517821597
        0.0000361300       -0.0003251350       -0.0228196046
       -0.0000004849       -0.0092878449       -0.0000005096
       -0.0024510598        0.0000000503       -0.0034044501
        0.0000014853       -0.0005515898       -0.0000005249
       -0.0000001097       -0.0000000446       -0.0000000497
       -0.0000001151       -0.0000000398       -0.0000003345
       -0.0000002248        0.0000000102       -0.0000000347
       -0.0000000801        0.0298238851       -0.0000000503
        0.0137711703        0.0000000500       -0.0039711051
        0.0000000500        0.0038306450        0.0000361300
        0.3511967202        0.0000000196       -0.0000004300
       -0.0232835703       -0.0000016652       -0.0091917099
       -0.0000000151       -0.0040412050        0.0000013247
       -0.0007618098       -0.0000003251        0.0087339896
       -0.0000000801       -0.0000000449       -0.0000000301
       -0.0000000853       -0.0000000151       -0.0000002899
       -0.0000002001        0.0000000196       -0.0000000452
        0.0173841300       -0.0000010550       -0.0120805052
       -0.0000000847        0.0243335151        0.0000004047
       -0.0229841402        0.0000002552       -0.0003251350
        0.0000000196        0.0313144801       -0.0044045200
        0.0000008299       -0.0054590299        0.0000000449
        0.0057885049        0.0000006497       -0.0044389753
        0.0000036553       -0.0014456151        0.0000432098
        0.0000003951        0.0000002251       -0.0000016550
        0.0000005645        0.0000007248        0.0000003251
        0.0000001299        0.0000002797        0.0000001398
        0.0335909249       -0.0000004297        0.0306233301
       -0.0000008896       -0.0009700449       -0.0000002248
        0.0164044249       -0.0000001396       -0.0228196046
       -0.0000004300       -0.0044045200        0.4007780097
        0.0000195999       -0.0016606350        0.0000013600
       -0.0049077650       -0.0000002100        0.0363133302
        0.0000005900       -0.0075405097       -0.0000002601
        0.0000036704       -0.0000033347        0.0000039051
       -0.0000044753       -0.0000028101       -0.0000057696
