   12   36
        0.7664475197        0.1030612600       -0.0000271245
       -0.2540644499       -0.2351692098       -0.0000056198
       -0.2313286498        0.1302447154       -0.0000034845
        0.0157253501       -0.0267575297       -0.0000002350
       -0.0057049698        0.0362615552       -0.0000007350
       -0.2857800050       -0.0027155602       -0.0000168797
       -0.0023921498        0.0004324849       -0.0000000199
       -0.0006205047       -0.0018215400        0.0000000801
       -0.0012531748        0.0011689002        0.0000000000
        0.0001869552       -0.0003759851        0.0000000102
       -0.0012316900       -0.0042358997       -0.0000001546
        0.0000181151       -0.0000193748        0.0000000500
        0.1030612600        0.8891174400       -0.0000377099
       -0.2216881902       -0.4983063602       -0.0000234951
        0.0984548299       -0.3188087749       -0.0000115148
        0.0152200349       -0.0191766750       -0.0000002652
        0.0185243201        0.0085492650        0.0000000202
        0.0075755352       -0.0585150303        0.0000009248
        0.0004324750        0.0259437996       -0.0000001000
       -0.0153569499       -0.0149210200        0.0000000153
        0.0162700849       -0.0103600701       -0.0000001452
        0.0017136151       -0.0006287001        0.0000000298
       -0.0237136703       -0.0008285150       -0.0000001748
       -0.0004268699       -0.0020643301        0.0000000051
       -0.0000271245       -0.0000377099        0.1884581098
       -0.0000063153       -0.0000237497       -0.0717227201
       -0.0000039950       -0.0000128597       -0.0454179246
       -0.0000003050       -0.0000003101       -0.0099484549
        0.0000000551       -0.0000004400        0.0005648701
       -0.0000134901       -0.0000000753       -0.0620384299
       -0.0000000099       -0.0000000750        0.0003746803
       -0.0000000850       -0.0000000452       -0.0004459997
       -0.0000000500       -0.0000000549       -0.0003548200
       -0.0000000048       -0.0000000350        0.0000018750
       -0.0000001202       -0.0000000148        0.0004283154
        0.0000000000        0.0000000500        0.0001019251
       -0.2540644499       -0.2216881902       -0.0000063153
        0.2418730304        0.2648898447       -0.0000065100
        0.0462460699       -0.0053855248        0.0000003197
       -0.0004557802        0.0060841450       -0.0000000205
       -0.0060119353       -0.0053426652        0.0000000497
       -0.0179396952       -0.0423928404       -0.0000005801
       -0.0006205300       -0.0153570005       -0.0000000702
        0.0061694297        0.0086418797       -0.0000000753
       -0.0190274051        0.0024262951       -0.0000001504
       -0.0033817901        0.0016126097        0.0000000449
        0.0078483646        0.0050293349       -0.0000002251
       -0.0006343902        0.0015489746       -0.0000000352
       -0.2351692098       -0.4983063602       -0.0000237497
        0.2648898447        0.6026062300       -0.0000252001
       -0.0129493847       -0.0921929299       -0.0000011499
        0.0053748548       -0.0034036000        0.0000000048
       -0.0108499549        0.0015923848       -0.0000001000
       -0.0211774849       -0.0092627502       -0.0000002751
       -0.0018215351       -0.0149210402        0.0000000202
        0.0086419050        0.0075929196        0.0000000853
       -0.0107576548        0.0104298252       -0.0000000449
       -0.0002699147       -0.0001147251        0.0000000398
        0.0140750748       -0.0053030550       -0.0000000549
        0.0000857699        0.0012834749        0.0000000202
       -0.0000056198       -0.0000234951       -0.0717227201
       -0.0000065100       -0.0000252001        0.0349786700
       -0.0000003499       -0.0000009646        0.0174892503
       -0.0000000250       -0.0000000901        0.0092252947
       -0.0000001350        0.0000000250       -0.0056261050
        0.0000001000       -0.0000004403        0.0180262651
        0.0000000151       -0.0000000304       -0.0004459949
       -0.0000001100       -0.0000000202        0.0011319153
       -0.0000000648       -0.0000000148        0.0043938601
        0.0000000102        0.0000000202        0.0000931999
        0.0000001950       -0.0000000648       -0.0069533300
        0.0000000148        0.0000000199       -0.0005898400
       -0.2313286498        0.0984548299       -0.0000039950
        0.0462460699       -0.0129493847       -0.0000003499
        0.8219313798        0.0379844752       -0.0000384850
       -0.2032814899       -0.1793380099       -0.0000074152
       -0.3939926100        0.0217419048       -0.0000260249
       -0.0187815851        0.0365993299       -0.0000004900
       -0.0012532300        0.0162699848       -0.0000000949
       -0.0190274849       -0.0107577048       -0.0000000549
        0.0055302502       -0.0055040397       -0.0000000799
        0.0005845101       -0.0001026251       -0.0000000301
       -0.0056660602       -0.0005221597       -0.0000000247
       -0.0009598250       -0.0018248849        0.0000000102
        0.1302447154       -0.3188087749       -0.0000128597
       -0.0053855248       -0.0921929299       -0.0000009646
        0.0379844752        0.8251525998       -0.0000330996
       -0.1874758451       -0.3374836248       -0.0000201601
        0.0151625753       -0.0823159499        0.0000014651
        0.0026918804        0.0002169799       -0.0000001248
        0.0011688203       -0.0103601502       -0.0000000549
        0.0024262053        0.0104297450        0.0000000352
       -0.0055040348        0.0046608454        0.0000001000
       -0.0005396046        0.0002616602        0.0000000350
        0.0091521500       -0.0003740598       -0.0000000597
        0.0001259500        0.0008139452        0.0000000151
       -0.0000034845       -0.0000115148       -0.0454179246
        0.0000003197       -0.0000011499        0.0174892503
       -0.0000384850       -0.0000330996        0.0291597797
       -0.0000068900       -0.0000180248       -0.0006424702
       -0.0000227149        0.0000016502       -0.0160544448
        0.0000000102       -0.0000001950        0.0119509852
       -0.0000000699       -0.0000001452       -0.0003548249
       -0.0000001450       -0.0000000750        0.0043938653
       -0.0000000600        0.0000001401        0.0010029899
       -0.0000000247        0.0000000202       -0.0001117650
        0.0000002751       -0.0000000546       -0.0007492096
       -0.0000000250        0.0000000151       -0.0006650995
        0.0157253501        0.0152200349       -0.0000003050
       -0.0004557802        0.0053748548       -0.0000000250
       -0.2032814899       -0.1874758451       -0.0000068900
        0.1918820902        0.1942254048       -0.0000069753
        0.0000296851       -0.0277322852       -0.0000003351
       -0.0006096752       -0.0003684752       -0.0000000250
        0.0001869350        0.0017135895        0.0000000048
       -0.0033818202       -0.0002699650       -0.0000000500
        0.0005845098       -0.0005395648        0.0000000045
        0.0000165298        0.0000166449       -0.0000000250
       -0.0005365104        0.0001445451        0.0000000151
       -0.0001591053       -0.0002439953       -0.0000000551
       -0.0267575297       -0.0191766750       -0.0000003101
        0.0060841450       -0.0034036000       -0.0000000901
       -0.1793380099       -0.3374836248       -0.0000180248
        0.1942254048        0.3510207500       -0.0000180802
        0.0037214400        0.0084674647       -0.0000001350
        0.0007018602        0.0011182948        0.0000000102
       -0.0003760303       -0.0006286751       -0.0000000151
        0.0016125847       -0.0001147552       -0.0000000148
       -0.0001026399        0.0002616650       -0.0000000202
        0.0000166401       -0.0000333350       -0.0000000202
        0.0001326848       -0.0001296399       -0.0000000151
        0.0001482297        0.0001026348       -0.0000000099
       -0.0000002350       -0.0000002652       -0.0099484549
       -0.0000000205        0.0000000048        0.0092252947
       -0.0000074152       -0.0000201601       -0.0006424702
       -0.0000069753       -0.0000180802        0.0082522405
        0.0000001148       -0.0000003052       -0.0047713803
        0.0000000398        0.0000000045       -0.0021331903
        0.0000000199        0.0000000045        0.0000018849
        0.0000000497        0.0000000148        0.0000932098
       -0.0000000006        0.0000000250       -0.0001117255
       -0.0000000151       -0.0000000153        0.0000565444
        0.0000000446        0.0000000099       -0.0000178099
        0.0000000097       -0.0000000003       -0.0000035604
       -0.0057049698        0.0185243201        0.0000000551
       -0.0060119353       -0.0108499549       -0.0000001350
       -0.3939926100        0.0151625753       -0.0000227149
        0.0000296851        0.0037214400        0.0000001148
        0.3954506900       -0.0282313201       -0.0000231449
        0.0017236951       -0.0005117451       -0.0000000350
       -0.0012317250       -0.0237136950       -0.0000000949
        0.0078484049        0.0140750547        0.0000002152
       -0.0056659900        0.0091521849        0.0000003197
       -0.0005365149        0.0001326998        0.0000000799
        0.0060588948       -0.0001369446        0.0000000651
        0.0020331649        0.0026332899        0.0000000551
        0.0362615552        0.0085492650       -0.0000004400
       -0.0053426652        0.0015923848        0.0000000250
        0.0217419048       -0.0823159499        0.0000016502
       -0.0277322852        0.0084674647       -0.0000003052
       -0.0282313201        0.0764391501        0.0000016752
        0.0028386398       -0.0047064202       -0.0000000702
       -0.0042359201       -0.0008286054       -0.0000000151
        0.0050293647       -0.0053030803       -0.0000000952
       -0.0005220900       -0.0003740098       -0.0000000651
        0.0001445849       -0.0001296502       -0.0000000253
       -0.0001369403       -0.0013705849       -0.0000000651
        0.0001410797       -0.0000194200       -0.0000000151
       -0.0000007350        0.0000000202        0.0005648701
        0.0000000497       -0.0000001000       -0.0056261050
       -0.0000260249        0.0000014651       -0.0160544448
       -0.0000003351       -0.0000001350       -0.0047713803
       -0.0000231449        0.0000016752        0.0240057500
       -0.0000000500        0.0000000199        0.0074078449
       -0.0000002001       -0.0000002154        0.0004283152
       -0.0000002100       -0.0000000699       -0.0069533300
