   12   36
        0.8146569502        0.1107886749       -0.0000288853
       -0.2658731751       -0.2550583548       -0.0000056903
       -0.2364933351        0.1456105599       -0.0000036601
        0.0151188198       -0.0279576253       -0.0000001305
       -0.0060160099        0.0352153052       -0.0000007100
       -0.3161086104       -0.0032986298       -0.0000181902
       -0.0025643448       -0.0003357300       -0.0000001501
        0.0000509547       -0.0011976249        0.0000000497
       -0.0012709401        0.0015710552       -0.0000000048
        0.0002934800       -0.0004520601        0.0000000998
       -0.0020363998       -0.0048445500       -0.0000001751
        0.0002451949        0.0000370898        0.0000000401
        0.1107886749        0.9898738705       -0.0000396352
       -0.2512689201       -0.5517360401       -0.0000242554
        0.1215236847       -0.3678903653       -0.0000141253
        0.0160586995       -0.0178500852       -0.0000003556
        0.0170687798        0.0089842248       -0.0000000850
        0.0081622144       -0.0573304351        0.0000012344
       -0.0003356902        0.0246505647       -0.0000001853
       -0.0143635154       -0.0135794451        0.0000000350
        0.0166579150       -0.0100284501       -0.0000001199
        0.0017320545       -0.0006528501        0.0000001046
       -0.0254790501       -0.0018963001       -0.0000001654
       -0.0004769103       -0.0025441253        0.0000000350
       -0.0000288853       -0.0000396352        0.1869267805
       -0.0000065054       -0.0000245902       -0.0726601104
       -0.0000042300       -0.0000138854       -0.0435073105
       -0.0000003402       -0.0000003203       -0.0106897204
        0.0000000949       -0.0000005451       -0.0005870751
       -0.0000149254       -0.0000000750       -0.0597607703
       -0.0000001401       -0.0000001904        0.0002340698
       -0.0000001154       -0.0000001350       -0.0002570800
       -0.0000001401       -0.0000001299       -0.0003199199
       -0.0000000702       -0.0000001251        0.0000261497
       -0.0000002001       -0.0000001751        0.0005310699
       -0.0000001100       -0.0000001103        0.0000643598
       -0.2658731751       -0.2512689201       -0.0000065054
        0.2563770704        0.2901227498       -0.0000063551
        0.0443015949       -0.0001843202        0.0000001646
       -0.0003924151        0.0064530198        0.0000000796
       -0.0060019698       -0.0049421050        0.0000001450
       -0.0186401405       -0.0444885251       -0.0000004155
        0.0000509900       -0.0143634904       -0.0000000853
        0.0052165450        0.0075467051        0.0000000097
       -0.0187031003        0.0025492702       -0.0000000551
       -0.0035262102        0.0017167250        0.0000001498
        0.0080914202        0.0052224848       -0.0000001754
       -0.0008988650        0.0017086947        0.0000000648
       -0.2550583548       -0.5517360401       -0.0000245902
        0.2901227498        0.6501156503       -0.0000259203
       -0.0168299900       -0.0869348102       -0.0000015299
        0.0053375399       -0.0031357203       -0.0000000153
       -0.0113827900        0.0021249150       -0.0000001052
       -0.0221393753       -0.0096469850       -0.0000002103
       -0.0011976701       -0.0135794153       -0.0000001302
        0.0075467048        0.0065113849        0.0000000651
       -0.0108111200        0.0102659601       -0.0000000350
       -0.0002590451       -0.0000846100        0.0000000998
        0.0146639653       -0.0053926149       -0.0000000753
        0.0000842252        0.0014918751        0.0000000551
       -0.0000056903       -0.0000242554       -0.0726601104
       -0.0000063551       -0.0000259203        0.0344899206
       -0.0000002603       -0.0000006904        0.0191898295
        0.0000001145        0.0000000446        0.0094164994
       -0.0000000352        0.0000001199       -0.0055736055
        0.0000001992       -0.0000003553        0.0182072495
        0.0000001049        0.0000000549       -0.0002570403
        0.0000000196        0.0000000998        0.0008474399
        0.0000000350        0.0000000898        0.0047499401
        0.0000000745        0.0000001049       -0.0000480804
        0.0000002851        0.0000000398       -0.0078739902
        0.0000000847        0.0000000446       -0.0004872101
       -0.2364933351        0.1215236847       -0.0000042300
        0.0443015949       -0.0168299900       -0.0000002603
        0.8681042101        0.0326247047       -0.0000398049
       -0.2107885251       -0.1962419401       -0.0000074652
       -0.4243104351        0.0240330399       -0.0000272598
       -0.0201878302        0.0374867201       -0.0000003402
       -0.0012709299        0.0166579150       -0.0000001450
       -0.0187031301       -0.0108111149        0.0000000199
        0.0056578853       -0.0058130499        0.0000000352
        0.0006336950       -0.0000598098        0.0000001748
       -0.0056681648       -0.0003674148        0.0000000000
       -0.0012730749       -0.0021506250        0.0000000301
        0.1456105599       -0.3678903653       -0.0000138854
       -0.0001843202       -0.0869348102       -0.0000006904
        0.0326247047        0.8878102307       -0.0000352154
       -0.2048332155       -0.3591433503       -0.0000209107
        0.0168103000       -0.0803014902        0.0000018500
        0.0023334394        0.0000791550        0.0000000642
        0.0015710648       -0.0100284552       -0.0000001504
        0.0025492446        0.0102659649        0.0000000747
       -0.0058130300        0.0047331699        0.0000001450
       -0.0005238905        0.0002711047        0.0000001094
        0.0098178049        0.0001560795        0.0000000148
        0.0000933497        0.0009830197        0.0000000549
       -0.0000036601       -0.0000141253       -0.0435073105
        0.0000001646       -0.0000015299        0.0191898295
       -0.0000398049       -0.0000352154        0.0170683404
       -0.0000073902       -0.0000189254        0.0044467396
       -0.0000238552        0.0000016900       -0.0122925653
        0.0000000546       -0.0000002299        0.0115180296
        0.0000000000       -0.0000001404       -0.0003198505
       -0.0000001103       -0.0000000401        0.0047499896
       -0.0000000352        0.0000001100        0.0010499502
       -0.0000001305       -0.0000001552       -0.0001463604
        0.0000004101       -0.0000000099       -0.0010846605
        0.0000000398        0.0000000449       -0.0006708302
        0.0151188198        0.0160586995       -0.0000003402
       -0.0003924151        0.0053375399        0.0000001145
       -0.2107885251       -0.2048332155       -0.0000073902
        0.1987337703        0.2105471347       -0.0000072504
        0.0014494651       -0.0275966801       -0.0000004803
       -0.0006870053       -0.0002938600        0.0000000497
        0.0002934601        0.0017320249       -0.0000001202
       -0.0035262602       -0.0002590647        0.0000000597
        0.0006337001       -0.0005238900       -0.0000001450
