   12   36
        0.7973880351        0.1092073562       -0.0001113763
       -0.2573057125       -0.2535432713       -0.0000222113
       -0.2339976400        0.1450365000       -0.0000143163
        0.0149543875       -0.0276912676       -0.0000009351
       -0.0050429401        0.0360894475       -0.0000030062
       -0.3105403837       -0.0036911563       -0.0000717714
       -0.0023855662        0.0000935988       -0.0000000700
       -0.0005999875       -0.0016520175        0.0000001024
       -0.0017047250        0.0013415175       -0.0000002813
        0.0002202625       -0.0003664026       -0.0000000639
       -0.0009856713       -0.0045121401       -0.0000008037
        0.0000085737        0.0000012386        0.0000000649
        0.1092073562        0.9433700450       -0.0001508338
       -0.2439942600       -0.5296453713       -0.0000943012
        0.1166867788       -0.3477435062       -0.0000529813
        0.0154974463       -0.0173222313       -0.0000013538
        0.0166064212        0.0089108775       -0.0000002137
        0.0066971138       -0.0544104912        0.0000051200
        0.0000935776        0.0252582100       -0.0000003012
       -0.0146892775       -0.0141899912       -0.0000000188
        0.0166543062       -0.0101358587       -0.0000005275
        0.0018399900       -0.0006629462       -0.0000000813
       -0.0237648563       -0.0012552150       -0.0000006700
       -0.0005584725       -0.0021718387       -0.0000000625
       -0.0001113763       -0.0001508338        0.1780940300
       -0.0000241950       -0.0000942900       -0.0656798049
       -0.0000167937       -0.0000540738       -0.0432467350
       -0.0000011688       -0.0000010225       -0.0099982375
        0.0000001687       -0.0000020050        0.0008460800
       -0.0000569800        0.0000003487       -0.0601772476
       -0.0000001550       -0.0000003337        0.0002295475
       -0.0000000350       -0.0000001375       -0.0002678851
       -0.0000003025       -0.0000000938       -0.0001550200
       -0.0000000113        0.0000000175       -0.0000534251
       -0.0000006063       -0.0000001987        0.0003006900
       -0.0000000525       -0.0000000214        0.0001131100
       -0.2573057125       -0.2439942600       -0.0000241950
        0.2471111924        0.2864141013       -0.0000253849
        0.0441151001       -0.0032995361        0.0000010725
       -0.0001358649        0.0061556875       -0.0000001600
       -0.0057732412       -0.0053637149        0.0000003089
       -0.0180319699       -0.0436805337       -0.0000020599
       -0.0006000849       -0.0146893574       -0.0000001098
        0.0058698176        0.0080765427       -0.0000002350
       -0.0190044787        0.0020475713       -0.0000005224
       -0.0034597350        0.0016157163        0.0000000912
        0.0078299088        0.0054183987       -0.0000006499
       -0.0006113662        0.0015855125       -0.0000001137
       -0.2535432713       -0.5296453713       -0.0000942900
        0.2864141013        0.6326587675       -0.0001015937
       -0.0160872462       -0.0896708375       -0.0000054126
        0.0056628513       -0.0034637662       -0.0000003613
       -0.0106845800        0.0017321988       -0.0000006875
       -0.0207467649       -0.0108387800       -0.0000011088
       -0.0016520200       -0.0141900050       -0.0000000824
        0.0080765962        0.0069838875        0.0000000387
       -0.0108131263        0.0101535575       -0.0000002613
       -0.0003390838       -0.0000710838       -0.0000000976
        0.0138544113       -0.0049920462       -0.0000003575
        0.0001615788        0.0013414762       -0.0000000163
       -0.0000222113       -0.0000943012       -0.0656798049
       -0.0000253849       -0.0001015937        0.0283732149
       -0.0000012012       -0.0000030662        0.0177199500
       -0.0000000536       -0.0000003837        0.0096081175
       -0.0000004525       -0.0000000237       -0.0058141049
        0.0000006164       -0.0000018124        0.0182542576
        0.0000000814        0.0000000351       -0.0002678449
       -0.0000001650        0.0000000464        0.0010725024
       -0.0000003812        0.0000002625        0.0044873102
       -0.0000000549        0.0000000751        0.0001808550
        0.0000006838       -0.0000002824       -0.0072632199
        0.0000000264       -0.0000000687       -0.0006707999
       -0.2339976400        0.1166867788       -0.0000167937
        0.0441151001       -0.0160872462       -0.0000012012
        0.8531962224        0.0317216801       -0.0001604688
       -0.2090355512       -0.1905592850       -0.0000308125
       -0.4138749387        0.0233532663       -0.0001083312
       -0.0193367612        0.0375245638       -0.0000020476
       -0.0017048449        0.0166542888       -0.0000002674
       -0.0190043812       -0.0108131425       -0.0000004025
        0.0057315525       -0.0056054475       -0.0000002512
        0.0006125625       -0.0001279412       -0.0000000638
       -0.0056312237       -0.0005503562       -0.0000000649
       -0.0010649787       -0.0019878463       -0.0000000863
        0.1450365000       -0.3477435062       -0.0000540738
       -0.0032995361       -0.0896708375       -0.0000030662
        0.0317216801        0.8677025075       -0.0001407712
       -0.1991042249       -0.3537087638       -0.0000833751
        0.0169536425       -0.0810150012        0.0000069913
        0.0021588426       -0.0011880687       -0.0000002125
        0.0013414800       -0.0101358650       -0.0000000524
        0.0020476675        0.0101535838        0.0000002900
       -0.0056054262        0.0046242688        0.0000003388
       -0.0005759825        0.0002831626        0.0000000424
        0.0093610262       -0.0001689188       -0.0000000024
        0.0001896512        0.0008672250        0.0000001238
       -0.0000143163       -0.0000529813       -0.0432467350
        0.0000010725       -0.0000054126        0.0177199500
       -0.0001604688       -0.0001407712        0.0257560700
       -0.0000301763       -0.0000751950        0.0004035275
       -0.0000955825        0.0000046150       -0.0159703700
        0.0000002063       -0.0000008725        0.0117086975
       -0.0000003212       -0.0000004950       -0.0001550124
       -0.0000004550       -0.0000002737        0.0044873275
       -0.0000002662        0.0000003138        0.0009977050
       -0.0000000387        0.0000000125       -0.0000697226
        0.0000012875       -0.0000002625       -0.0008808975
       -0.0000000112       -0.0000000338       -0.0007460325
        0.0149543875        0.0154974463       -0.0000011688
       -0.0001358649        0.0056628513       -0.0000000536
       -0.2090355512       -0.1991042249       -0.0000301763
        0.1969326100        0.2053110363       -0.0000289788
        0.0012731638       -0.0278661312       -0.0000015287
       -0.0006778512       -0.0000796262       -0.0000000713
        0.0002202288        0.0018399738       -0.0000000099
       -0.0034596788       -0.0003391025       -0.0000000900
        0.0006125538       -0.0005759750        0.0000000125
        0.0000283313        0.0000167013       -0.0000000250
       -0.0005524750        0.0001776800       -0.0000000524
       -0.0001577975       -0.0002663101       -0.0000000887
       -0.0276912676       -0.0173222313       -0.0000010225
        0.0061556875       -0.0034637662       -0.0000003837
       -0.1905592850       -0.3537087638       -0.0000751950
        0.2053110363        0.3653603925       -0.0000755738
        0.0049985000        0.0086038375       -0.0000001162
        0.0006049825        0.0010131113       -0.0000000014
       -0.0003664499       -0.0006629899        0.0000000213
        0.0016157475       -0.0000710949        0.0000000463
       -0.0001279599        0.0002831325        0.0000000650
        0.0000166862       -0.0000318488       -0.0000000413
        0.0001647101       -0.0001206737       -0.0000000624
        0.0001665801        0.0001219537        0.0000000237
       -0.0000009351       -0.0000013538       -0.0099982375
       -0.0000001600       -0.0000003613        0.0096081175
       -0.0000308125       -0.0000833751        0.0004035275
       -0.0000289788       -0.0000755738        0.0063591901
        0.0000004925       -0.0000014975       -0.0043097850
        0.0000000550       -0.0000000112       -0.0020845701
       -0.0000001050       -0.0000000938       -0.0000533525
        0.0000001575       -0.0000000838        0.0001809174
       -0.0000000251        0.0000000500       -0.0000697250
        0.0000000037       -0.0000000225        0.0000599599
        0.0000001474       -0.0000000288       -0.0000856375
        0.0000000137        0.0000000024       -0.0000080151
       -0.0050429401        0.0166064212        0.0000001687
       -0.0057732412       -0.0106845800       -0.0000004525
