    6   18
        0.6351318867       -0.1002871798        0.0000000000
       -0.1257966152        0.2167516258        0.0000000000
       -0.5015047600       -0.1176730711        0.0000000000
       -0.0075781900        0.0013927220        0.0000000000
       -0.0001261608       -0.0000920484       -0.0011557052
       -0.0001261608       -0.0000920484        0.0011557052
       -0.1002871798        0.5237264561        0.0000000000
        0.1546457101       -0.4604348931        0.0000000000
       -0.0555984026       -0.0664240741        0.0000000000
        0.0045873331        0.0046087283        0.0000000000
       -0.0016737304       -0.0007381086        0.0000193461
       -0.0016737304       -0.0007381086       -0.0000193461
        0.0000000000        0.0000000000        0.0000931911
        0.0000000000        0.0000000000        0.0018214559
        0.0000000000        0.0000000000       -0.0045852936
        0.0000000000        0.0000000000        0.0019572984
       -0.0019129531       -0.0007003039        0.0003566741
        0.0019129531        0.0007003039        0.0003566741
       -0.1257966152        0.1546457101        0.0000000000
        0.1450423061       -0.2033210089        0.0000000000
       -0.0179628441        0.0504899079        0.0000000000
       -0.0015419186       -0.0018021964        0.0000000000
        0.0001295359       -0.0000062063       -0.0000175569
        0.0001295359       -0.0000062063        0.0000175569
        0.2167516258       -0.4604348931        0.0000000000
       -0.2033210089        0.4587581820        0.0000000000
       -0.0127359458        0.0015010716        0.0000000000
       -0.0006060492        0.0002704888        0.0000000000
       -0.0000443110       -0.0000474247       -0.0000052683
       -0.0000443110       -0.0000474247        0.0000052683
        0.0000000000        0.0000000000        0.0018214559
        0.0000000000        0.0000000000       -0.0011299412
        0.0000000000        0.0000000000       -0.0010553703
        0.0000000000        0.0000000000        0.0018132405
        0.0000018125        0.0002600275       -0.0007246925
       -0.0000018125       -0.0002600275       -0.0007246925
       -0.5015047600       -0.0555984026        0.0000000000
       -0.0179628441       -0.0127359458        0.0000000000
        0.5223781040        0.0682156731        0.0000000000
       -0.0024141377        0.0000098246        0.0000000000
       -0.0002481811        0.0000544253        0.0025075315
       -0.0002481811        0.0000544253       -0.0025075315
       -0.1176730711       -0.0664240741        0.0000000000
        0.0504899079        0.0015010716        0.0000000000
        0.0682156731        0.0691927484        0.0000000000
       -0.0054025441       -0.0048968447        0.0000000000
        0.0021850171        0.0003135494       -0.0002357927
        0.0021850171        0.0003135494        0.0002357927
        0.0000000000        0.0000000000       -0.0045852936
        0.0000000000        0.0000000000       -0.0010553703
        0.0000000000        0.0000000000        0.0116824365
        0.0000000000        0.0000000000       -0.0065481377
        0.0038242920        0.0003429995        0.0002531826
       -0.0038242920       -0.0003429995        0.0002531826
       -0.0075781900        0.0045873331        0.0000000000
       -0.0015419186       -0.0006060492        0.0000000000
       -0.0024141377       -0.0054025441        0.0000000000
        0.1748509956       -0.2272190193        0.0000000000
       -0.0816583746        0.1143201397        0.1229483672
       -0.0816583746        0.1143201397       -0.1229483672
        0.0013927220        0.0046087283        0.0000000000
       -0.0018021964        0.0002704888        0.0000000000
        0.0000098246       -0.0048968447        0.0000000000
       -0.2272190193        0.3033010510        0.0000000000
        0.1138093345       -0.1516417117       -0.1695866697
        0.1138093345       -0.1516417117        0.1695866697
        0.0000000000        0.0000000000        0.0019572984
        0.0000000000        0.0000000000        0.0018132405
        0.0000000000        0.0000000000       -0.0065481377
        0.0000000000        0.0000000000        0.7076792505
        0.1596613324       -0.2210048806       -0.3524508258
       -0.1596613324        0.2210048806       -0.3524508258
       -0.0001261608       -0.0016737304       -0.0019129531
        0.0001295359       -0.0000443110        0.0000018125
       -0.0002481811        0.0021850171        0.0038242920
       -0.0816583746        0.1138093345        0.1596613324
        0.0789720650       -0.1077790861       -0.1429285602
        0.0029311155       -0.0064972242       -0.0186459236
       -0.0000920484       -0.0007381086       -0.0007003039
       -0.0000062063       -0.0000474247        0.0002600275
        0.0000544253        0.0003135494        0.0003429995
        0.1143201397       -0.1516417117       -0.2210048806
       -0.1077790861        0.1449518447        0.1954552711
       -0.0064972242        0.0071618510        0.0256468864
       -0.0011557052        0.0000193461        0.0003566741
       -0.0000175569       -0.0000052683       -0.0007246925
        0.0025075315       -0.0002357927        0.0002531826
        0.1229483672       -0.1695866697       -0.3524508258
       -0.1429285602        0.1954552711        0.3818964394
        0.0186459236       -0.0256468864       -0.0293307778
       -0.0001261608       -0.0016737304        0.0019129531
        0.0001295359       -0.0000443110       -0.0000018125
       -0.0002481811        0.0021850171       -0.0038242920
       -0.0816583746        0.1138093345       -0.1596613324
        0.0029311155       -0.0064972242        0.0186459236
        0.0789720650       -0.1077790861        0.1429285602
       -0.0000920484       -0.0007381086        0.0007003039
       -0.0000062063       -0.0000474247       -0.0002600275
        0.0000544253        0.0003135494       -0.0003429995
        0.1143201397       -0.1516417117        0.2210048806
       -0.0064972242        0.0071618510       -0.0256468864
       -0.1077790861        0.1449518447       -0.1954552711
        0.0011557052       -0.0000193461        0.0003566741
        0.0000175569        0.0000052683       -0.0007246925
       -0.0025075315        0.0002357927        0.0002531826
       -0.1229483672        0.1695866697       -0.3524508258
       -0.0186459236        0.0256468864       -0.0293307778
        0.1429285602       -0.1954552711        0.3818964394
