    6   18
        0.6123788199       -0.0958544850       -0.0000360249
       -0.1243208149        0.2076228002       -0.0000028550
       -0.4791622700       -0.1117825700       -0.0000327849
       -0.0082571098        0.0004568150       -0.0000000250
       -0.0003192450       -0.0002241450       -0.0011472500
       -0.0003192450       -0.0002241501        0.0011472549
       -0.0958544850        0.5060981701       -0.0000302701
        0.1472179649       -0.4428105549       -0.0000297301
       -0.0523051851       -0.0661174001        0.0000020002
        0.0028708601        0.0033994198        0.0000000549
       -0.0009678452       -0.0002848050        0.0000602699
       -0.0009678452       -0.0002848100       -0.0000602550
       -0.0000360249       -0.0000302701        0.0052362202
       -0.0000030651       -0.0000292100       -0.0010580902
       -0.0000311002        0.0000006199       -0.0071587201
       -0.0000000401       -0.0000000102        0.0041102399
       -0.0015808951        0.0001082499       -0.0005648452
        0.0015808850       -0.0001082502       -0.0005648502
       -0.1243208149        0.1472179649       -0.0000030651
        0.1448677801       -0.1958281700       -0.0000034601
       -0.0192984302        0.0496024649       -0.0000010850
       -0.0014542151       -0.0009750703        0.0000000149
        0.0001028599        0.0000097398       -0.0000268851
        0.0001028599        0.0000097398        0.0000268949
        0.2076228002       -0.4428105549       -0.0000292100
       -0.1958281700        0.4416721799       -0.0000285699
       -0.0109071449        0.0012980600        0.0000001252
       -0.0008630249       -0.0000871850        0.0000000149
        0.0000063801       -0.0000362300       -0.0000159049
        0.0000063801       -0.0000362350        0.0000159200
       -0.0000028550       -0.0000297301       -0.0010580902
       -0.0000034601       -0.0000285699        0.0016636801
       -0.0000000800       -0.0000007701       -0.0005943198
        0.0000000050        0.0000000000       -0.0002789052
        0.0000001650       -0.0001593301        0.0001337999
       -0.0000001701        0.0001593349        0.0001338100
       -0.4791622700       -0.0523051851       -0.0000311002
       -0.0192984302       -0.0109071449       -0.0000000800
        0.4989745602        0.0626333699       -0.0000319650
       -0.0007268301        0.0003622898        0.0000004196
        0.0001066149        0.0000858698        0.0023138598
        0.0001066149        0.0000858698       -0.0023137902
       -0.1117825700       -0.0661174001        0.0000006199
        0.0496024649        0.0012980600       -0.0000007701
        0.0626333699        0.0689931801        0.0000018051
       -0.0047595401       -0.0046848901       -0.0000000652
        0.0021306950        0.0002555349       -0.0002815950
        0.0021306950        0.0002555349        0.0002816050
       -0.0000327849        0.0000020002       -0.0071587201
       -0.0000010850        0.0000001252       -0.0005943198
       -0.0000319650        0.0000018051        0.0137519999
       -0.0000001249       -0.0000000651       -0.0071181600
        0.0035208350       -0.0000026900        0.0005595851
       -0.0035209550        0.0000026850        0.0005595901
       -0.0082571098        0.0028708601       -0.0000000401
       -0.0014542151       -0.0008630249        0.0000000050
       -0.0007268301       -0.0047595401       -0.0000001249
        0.1750682600       -0.2137552551        0.0000112898
       -0.0823149401        0.1082584600        0.1165605249
       -0.0823149351        0.1082584551       -0.1165498949
        0.0004568150        0.0033994198       -0.0000000102
       -0.0009750703       -0.0000871850        0.0000000000
        0.0003622898       -0.0046848901       -0.0000000651
       -0.2137552551        0.2979964702        0.0000576247
        0.1069621749       -0.1483119001       -0.1604979052
        0.1069621749       -0.1483118952        0.1605521298
       -0.0000000250        0.0000000549        0.0041102399
        0.0000000149        0.0000000149       -0.0002789052
        0.0000004196       -0.0000000652       -0.0071181600
        0.0000112898        0.0000576247        0.6805227804
        0.1517885647       -0.2109219953       -0.3386180052
       -0.1517777453        0.2109792597       -0.3386179952
       -0.0003192450       -0.0009678452       -0.0015808951
        0.0001028599        0.0000063801        0.0000001650
        0.0001066149        0.0021306950        0.0035208350
       -0.0823149401        0.1069621749        0.1517885647
        0.0784410702       -0.1022038501       -0.1357037952
        0.0039837400       -0.0059229151       -0.0180155700
       -0.0002241450       -0.0002848050        0.0001082499
        0.0000097398       -0.0000362300       -0.0001593301
        0.0000858698        0.0002555349       -0.0000026900
        0.1082584600       -0.1483119001       -0.2109219953
       -0.1022038501        0.1409597502        0.1859097900
       -0.0059229151        0.0074176398        0.0251208199
       -0.0011472500        0.0000602699       -0.0005648452
       -0.0000268851       -0.0000159049        0.0001337999
        0.0023138598       -0.0002815950        0.0005595851
        0.1165605249       -0.1604979052       -0.3386180052
       -0.1357037952        0.1859097900        0.3698616501
        0.0180138750       -0.0251227252       -0.0313721851
       -0.0003192450       -0.0009678452        0.0015808850
        0.0001028599        0.0000063801       -0.0000001701
        0.0001066149        0.0021306950       -0.0035209550
       -0.0823149351        0.1069621749       -0.1517777453
        0.0039837400       -0.0059229151        0.0180138750
        0.0784410702       -0.1022038451        0.1357132199
       -0.0002241501       -0.0002848100       -0.0001082502
        0.0000097398       -0.0000362350        0.0001593349
        0.0000858698        0.0002555349        0.0000026850
        0.1082584551       -0.1483118952        0.2109792597
       -0.0059229151        0.0074176398       -0.0251227252
       -0.1022038451        0.1409597502       -0.1858552102
        0.0011472549       -0.0000602550       -0.0005648502
        0.0000268949        0.0000159200        0.0001338100
       -0.0023137902        0.0002816050        0.0005595901
       -0.1165498949        0.1605521298       -0.3386179952
       -0.0180155700        0.0251208199       -0.0313721851
        0.1357132199       -0.1858552102        0.3698616402
