    6   12
        0.0005674502       -0.0000002201       -0.0000003550
       -0.0000006652       -0.0149895149       -0.0000003752
       -0.0000013500        0.0000000399       -0.0025346452
        0.0035502600       -0.0000019551        0.0000002100
       -0.0000002201        0.0291620802       -0.0359461400
        0.0111749648        0.0000010800       -0.0536511502
        0.0270219900        0.0605952550       -0.0000002102
       -0.0000000900       -0.0044270601       -0.0090555800
       -0.0000003550       -0.0359461400        0.1665832701
        0.0015910700        0.0000079551       -0.0878071701
       -0.0546849300       -0.1344298701       -0.0000001251
        0.0000002250        0.0876298499        0.0896950350
       -0.0000006652        0.0111749648        0.0015910700
        0.2901277003       -0.0000020151        0.0654673048
        0.1895488700       -0.0240560200       -0.0000006702
       -0.0000006601        0.0916815098       -0.0036002299
       -0.0149895149        0.0000010800        0.0000079551
       -0.0000020151        0.4823270001        0.0000054449
        0.0000006700        0.0000441050        0.0980947350
       -0.1347448899       -0.0000030401       -0.0000005551
       -0.0000003752       -0.0536511502       -0.0878071701
        0.0654673048        0.0000054449        0.3814513104
        0.0384068348       -0.0997958101       -0.0000001053
        0.0000001599       -0.0954363652       -0.0957989701
       -0.0000013500        0.0270219900       -0.0546849300
        0.1895488700        0.0000006700        0.0384068348
        0.2954433302        0.0616118449       -0.0000010800
       -0.0000010451        0.0799637100        0.0810086149
        0.0000000399        0.0605952550       -0.1344298701
       -0.0240560200        0.0000441050       -0.0997958101
        0.0616118449        0.4109186202        0.0000000549
        0.0000019099       -0.0335184100       -0.0476517400
       -0.0025346452       -0.0000002102       -0.0000001251
       -0.0000006702        0.0980947350       -0.0000001053
       -0.0000010800        0.0000000549        0.0240423003
       -0.0298972452       -0.0000020151        0.0000002299
        0.0035502600       -0.0000000900        0.0000002250
       -0.0000006601       -0.1347448899        0.0000001599
       -0.0000010451        0.0000019099       -0.0298972452
        0.0422641102       -0.0000020451        0.0000001350
       -0.0000019551       -0.0044270601        0.0876298499
        0.0916815098       -0.0000030401       -0.0954363652
        0.0799637100       -0.0335184100       -0.0000020151
       -0.0000020451        0.1161257202        0.0937507599
        0.0000002100       -0.0090555800        0.0896950350
       -0.0036002299       -0.0000005551       -0.0957989701
        0.0810086149       -0.0476517400        0.0000002299
        0.0000001350        0.0937507599        0.1565608900
