    6   12
        0.5327150200        0.0126814751       -0.0009692700
       -0.0000000099        0.0068800401        0.0400981851
       -0.0005935202        0.0011785150       -0.0000000301
        0.0017804700       -0.0000000249       -0.0000000449
        0.0126814751        0.5464582799        0.0008854151
        0.0000000901       -0.0072240998        0.0031511702
        0.0004494099       -0.0013408548        0.0000001201
       -0.0007172200       -0.0000000598       -0.0000000499
       -0.0009692700        0.0008854151        0.5401789099
        0.0000833501        0.0007097351       -0.0002443998
        0.0420053499        0.0040520450        0.0000001499
       -0.0009155700       -0.0000000449       -0.0000003149
       -0.0000000099        0.0000000901        0.0000833501
        0.5548451699        0.0000002601       -0.0000000348
       -0.0000011151        0.0000002152        0.0027540450
        0.0000002100        0.0000185351        0.0001223050
        0.0068800401       -0.0072240998        0.0007097351
        0.0000002601        0.0108177997        0.0029126103
        0.0009944399        0.0005605251        0.0000004201
        0.0004835651        0.0000000152        0.0000000202
        0.0400981851        0.0031511702       -0.0002443998
       -0.0000000348        0.0029126103        0.1517749197
        0.0000498950       -0.0002033697        0.0000001201
        0.0058113402        0.0000001752        0.0000002952
       -0.0005935202        0.0004494099        0.0420053499
       -0.0000011151        0.0009944399        0.0000498950
        0.1604298402       -0.0008728200       -0.0000000152
       -0.0011905699       -0.0000000550       -0.0000002900
        0.0011785150       -0.0013408548        0.0040520450
        0.0000002152        0.0005605251       -0.0002033697
       -0.0008728200        0.0083944198       -0.0000000300
       -0.0041423149       -0.0000000398       -0.0000002849
       -0.0000000301        0.0000001201        0.0000001499
        0.0027540450        0.0000004201        0.0000001201
       -0.0000000152       -0.0000000300        0.0089082801
        0.0000000250       -0.0006619101        0.0001284499
        0.0017804700       -0.0007172200       -0.0009155700
        0.0000002100        0.0004835651        0.0058113402
       -0.0011905699       -0.0041423149        0.0000000250
        0.0087967999       -0.0000000449        0.0000000300
       -0.0000000249       -0.0000000598       -0.0000000449
        0.0000185351        0.0000000152        0.0000001752
       -0.0000000550       -0.0000000398       -0.0006619101
       -0.0000000449        0.0006926598        0.0009053301
       -0.0000000449       -0.0000000499       -0.0000003149
        0.0001223050        0.0000000202        0.0000002952
       -0.0000002900       -0.0000002849        0.0001284499
        0.0000000300        0.0009053301        0.0014504599
