    6   12
        0.5349676297        0.0129217301       -0.0010527749
       -0.0000000048        0.0069711652        0.0406408252
       -0.0005998798        0.0010320251       -0.0000000300
        0.0017121502       -0.0000000050       -0.0000000250
        0.0129217301        0.5483709398        0.0009332101
       -0.0000004199       -0.0073574449        0.0033885649
        0.0004901501       -0.0011788798       -0.0000004050
       -0.0001509748       -0.0000002500       -0.0000002700
       -0.0010527749        0.0009332101        0.5431170700
        0.0000819901        0.0006681901       -0.0002237350
        0.0422657200        0.0036305600       -0.0000003951
       -0.0009933949        0.0000000000        0.0000000550
       -0.0000000048       -0.0000004199        0.0000819901
        0.5570604600       -0.0000003199       -0.0000005301
       -0.0000018549       -0.0000004300        0.0029460799
       -0.0000002899       -0.0000374399        0.0000299198
        0.0069711652       -0.0073574449        0.0006681901
       -0.0000003199        0.0110050098        0.0030070250
        0.0009136102        0.0006908552       -0.0000002301
        0.0004728702        0.0000000351        0.0000000500
        0.0406408252        0.0033885649       -0.0002237350
       -0.0000005301        0.0030070250        0.1541215801
       -0.0000112099       -0.0003801800       -0.0000004002
        0.0060106900        0.0000001749        0.0000002899
       -0.0005998798        0.0004901501        0.0422657200
       -0.0000018549        0.0009136102       -0.0000112099
        0.1630627898       -0.0008147799        0.0000003800
       -0.0011369049        0.0000000000        0.0000001000
        0.0010320251       -0.0011788798        0.0036305600
       -0.0000004300        0.0006908552       -0.0003801800
       -0.0008147799        0.0098518899       -0.0000001801
       -0.0040260848        0.0000000300        0.0000001249
       -0.0000000300       -0.0000004050       -0.0000003951
        0.0029460799       -0.0000002301       -0.0000004002
        0.0000003800       -0.0000001801        0.0103950401
       -0.0000005799       -0.0008194151       -0.0001129952
        0.0017121502       -0.0001509748       -0.0009933949
       -0.0000002899        0.0004728702        0.0060106900
       -0.0011369049       -0.0040260848       -0.0000005799
        0.0095834298        0.0000000099        0.0000003151
       -0.0000000050       -0.0000002500        0.0000000000
       -0.0000374399        0.0000000351        0.0000001749
        0.0000000000        0.0000000300       -0.0008194151
        0.0000000099        0.0007541200        0.0009941800
       -0.0000000250       -0.0000002700        0.0000000550
        0.0000299198        0.0000000500        0.0000002899
        0.0000001000        0.0000001249       -0.0001129952
        0.0000003151        0.0009941800        0.0015315601
