    6   18
        0.6394973840       -0.1039461383        0.0000000000
       -0.1272302626        0.2202437393        0.0000000000
       -0.5034794452       -0.1172485243        0.0000000000
       -0.0085959248        0.0013828674        0.0000000000
       -0.0000958757       -0.0002159721       -0.0014262455
       -0.0000958757       -0.0002159721        0.0014262455
       -0.1039461383        0.5261187677        0.0000000000
        0.1571796757       -0.4640585226        0.0000000000
       -0.0544363138       -0.0650692735        0.0000000000
        0.0045053240        0.0044569520        0.0000000000
       -0.0016512739       -0.0007239618        0.0000122863
       -0.0016512739       -0.0007239618       -0.0000122863
        0.0000000000        0.0000000000        0.0009046939
        0.0000000000        0.0000000000        0.0012668953
        0.0000000000        0.0000000000       -0.0048396493
        0.0000000000        0.0000000000        0.0022987329
       -0.0018149917       -0.0004611055        0.0001846636
        0.0018149917        0.0004611055        0.0001846636
       -0.1272302626        0.1571796757        0.0000000000
        0.1459412526       -0.2053950482        0.0000000000
       -0.0174709130        0.0497793701        0.0000000000
       -0.0014713145       -0.0015999981        0.0000000000
        0.0001156187        0.0000180002        0.0000023802
        0.0001156187        0.0000180002       -0.0000023802
        0.2202437393       -0.4640585226        0.0000000000
       -0.2053950482        0.4630066386        0.0000000000
       -0.0140175979        0.0007897949        0.0000000000
       -0.0008350010        0.0003216173        0.0000000000
        0.0000019539       -0.0000297641       -0.0000355049
        0.0000019539       -0.0000297641        0.0000355049
        0.0000000000        0.0000000000        0.0012668953
        0.0000000000        0.0000000000       -0.0005915137
        0.0000000000        0.0000000000       -0.0010743951
        0.0000000000        0.0000000000        0.0015404875
        0.0000168759        0.0000439881       -0.0005707371
       -0.0000168759       -0.0000439881       -0.0005707371
       -0.5034794452       -0.0544363138        0.0000000000
       -0.0174709130       -0.0140175979        0.0000000000
        0.5224464179        0.0682854894        0.0000000000
       -0.0008021527       -0.0002840829        0.0000000000
       -0.0003469535        0.0002262526        0.0028711171
       -0.0003469535        0.0002262526       -0.0028711171
       -0.1172485243       -0.0650692735        0.0000000000
        0.0497793701        0.0007897949        0.0000000000
        0.0682854894        0.0686924168        0.0000000000
       -0.0052512591       -0.0050866413        0.0000000000
        0.0022174620        0.0003368515       -0.0002084345
        0.0022174620        0.0003368515        0.0002084345
        0.0000000000        0.0000000000       -0.0048396493
        0.0000000000        0.0000000000       -0.0010743951
        0.0000000000        0.0000000000        0.0121796187
        0.0000000000        0.0000000000       -0.0069885831
        0.0038858122        0.0003990004        0.0003615044
       -0.0038858122       -0.0003990004        0.0003615044
       -0.0085959248        0.0045053240        0.0000000000
       -0.0014713145       -0.0008350010        0.0000000000
       -0.0008021527       -0.0052512591        0.0000000000
        0.1746753220       -0.2262519782        0.0000000000
       -0.0819029650        0.1139164571        0.1238265052
       -0.0819029650        0.1139164571       -0.1238265052
        0.0013828674        0.0044569520        0.0000000000
       -0.0015999981        0.0003216173        0.0000000000
       -0.0002840829       -0.0050866413        0.0000000000
       -0.2262519782        0.3038249728        0.0000000000
        0.1133765958       -0.1517584504       -0.1708991437
        0.1133765958       -0.1517584504        0.1708991437
        0.0000000000        0.0000000000        0.0022987329
        0.0000000000        0.0000000000        0.0015404875
        0.0000000000        0.0000000000       -0.0069885831
        0.0000000000        0.0000000000        0.7158461353
        0.1609302797       -0.2232885185       -0.3563483863
       -0.1609302797        0.2232885185       -0.3563483863
       -0.0000958757       -0.0016512739       -0.0018149917
        0.0001156187        0.0000019539        0.0000168759
       -0.0003469535        0.0022174620        0.0038858122
       -0.0819029650        0.1133765958        0.1609302797
        0.0797624814       -0.1080551972       -0.1441458665
        0.0024676941       -0.0058895406       -0.0188721096
       -0.0002159721       -0.0007239618       -0.0004611055
        0.0000180002       -0.0000297641        0.0000439881
        0.0002262526        0.0003368515        0.0003990004
        0.1139164571       -0.1517584504       -0.2232885185
       -0.1080551972        0.1458007476        0.1972187162
       -0.0058895406        0.0063745772        0.0260879193
       -0.0014262455        0.0000122863        0.0001846636
        0.0000023802       -0.0000355049       -0.0005707371
        0.0028711171       -0.0002084345        0.0003615044
        0.1238265052       -0.1708991437       -0.3563483863
       -0.1441458665        0.1972187162        0.3845059790
        0.0188721096       -0.0260879193       -0.0281330236
       -0.0000958757       -0.0016512739        0.0018149917
        0.0001156187        0.0000019539       -0.0000168759
       -0.0003469535        0.0022174620       -0.0038858122
       -0.0819029650        0.1133765958       -0.1609302797
        0.0024676941       -0.0058895406        0.0188721096
        0.0797624814       -0.1080551972        0.1441458665
       -0.0002159721       -0.0007239618        0.0004611055
        0.0000180002       -0.0000297641       -0.0000439881
        0.0002262526        0.0003368515       -0.0003990004
        0.1139164571       -0.1517584504        0.2232885185
       -0.0058895406        0.0063745772       -0.0260879193
       -0.1080551972        0.1458007476       -0.1972187162
        0.0014262455       -0.0000122863        0.0001846636
       -0.0000023802        0.0000355049       -0.0005707371
       -0.0028711171        0.0002084345        0.0003615044
       -0.1238265052        0.1708991437       -0.3563483863
       -0.0188721096        0.0260879193       -0.0281330236
        0.1441458665       -0.1972187162        0.3845059790
