    6   12
        0.5363867598        0.0142115101       -0.0012619650
       -0.0000033849        0.0075463952       -0.0010375449
        0.0412726101        0.0017988050        0.0009217801
       -0.0000000098       -0.0000000298        0.0000000001
        0.0142115101        0.5540067500        0.0011939551
       -0.0000036650       -0.0080611649        0.0009790601
        0.0030913300       -0.0000942150       -0.0009586100
       -0.0000002849       -0.0000002800       -0.0000001999
       -0.0012619650        0.0011939551        0.5448382100
        0.0000791400        0.0007775999        0.0417593800
       -0.0002215251       -0.0010477251        0.0026668900
       -0.0000000050       -0.0000000151       -0.0000001249
       -0.0000033849       -0.0000036650        0.0000791400
        0.5670153101        0.0000001199       -0.0000043350
       -0.0000032500       -0.0000035200       -0.0000033801
       -0.0011254501       -0.0006463752        0.0064746850
        0.0075463952       -0.0080611649        0.0007775999
        0.0000001199        0.0105151699        0.0006302601
        0.0030480450        0.0004036201        0.0005649250
        0.0000000250        0.0000000550        0.0000001050
       -0.0010375449        0.0009790601        0.0417593800
       -0.0000043350        0.0006302601        0.1615390599
        0.0001255650        0.0002638301       -0.0030047249
       -0.0000000048        0.0000000099        0.0000001451
        0.0412726101        0.0030913300       -0.0002215251
       -0.0000032500        0.0030480450        0.0001255650
        0.1507707100        0.0059810100       -0.0002880500
        0.0000002900        0.0000002599        0.0000002350
        0.0017988050       -0.0000942150       -0.0010477251
       -0.0000035200        0.0004036201        0.0002638301
        0.0059810100        0.0096646400       -0.0030931550
       -0.0000001749        0.0000000449       -0.0000005051
        0.0009217801       -0.0009586100        0.0026668900
       -0.0000033801        0.0005649250       -0.0030047249
       -0.0002880500       -0.0030931550        0.0058239399
        0.0000000601        0.0000000350        0.0000003450
       -0.0000000098       -0.0000002849       -0.0000000050
       -0.0011254501        0.0000000250       -0.0000000048
        0.0000002900       -0.0000001749        0.0000000601
        0.0015232999        0.0014256001       -0.0005334799
       -0.0000000298       -0.0000002800       -0.0000000151
       -0.0006463752        0.0000000550        0.0000000099
        0.0000002599        0.0000000449        0.0000000350
        0.0014256001        0.0015656201        0.0004813000
        0.0000000001       -0.0000001999       -0.0000001249
        0.0064746850        0.0000001050        0.0000001451
        0.0000002350       -0.0000005051        0.0000003450
       -0.0005334799        0.0004813000        0.0093791999
