    6   18
        0.6112857000       -0.0969438000       -0.0000357998
       -0.1233446550        0.2083442700       -0.0000028349
       -0.4785899600       -0.1114660400       -0.0000325500
       -0.0086168149        0.0005658900       -0.0000000148
       -0.0003670399       -0.0002532100       -0.0011504399
       -0.0003670401       -0.0002532150        0.0011504551
       -0.0969438000        0.5050654499       -0.0000301348
        0.1490132401       -0.4435879450       -0.0000295950
       -0.0528629350       -0.0642501800        0.0000019899
        0.0026162250        0.0031976150        0.0000000450
       -0.0009147800       -0.0002124800        0.0000452901
       -0.0009147750       -0.0002124850       -0.0000452999
       -0.0000357998       -0.0000301348        0.0035197797
       -0.0000030148       -0.0000290748       -0.0002935698
       -0.0000309450        0.0000006150       -0.0060348550
       -0.0000000497       -0.0000000298        0.0038781153
       -0.0014152900        0.0000915901       -0.0005347898
        0.0014152701       -0.0000916150       -0.0005347849
       -0.1233446550        0.1490132401       -0.0000030148
        0.1432269599       -0.1967867399       -0.0000034200
       -0.0185488300        0.0487050251       -0.0000010600
       -0.0015158049       -0.0008472699        0.0000000252
        0.0000911950       -0.0000239250       -0.0000535198
        0.0000911901       -0.0000239250        0.0000535101
        0.2083442700       -0.4435879450       -0.0000290748
       -0.1967867399        0.4420279799       -0.0000284651
       -0.0106589000        0.0016981500        0.0000001299
       -0.0009019099       -0.0001168500        0.0000000152
        0.0000200299       -0.0000106600        0.0000183351
        0.0000200349       -0.0000106749       -0.0000183499
       -0.0000028349       -0.0000295950       -0.0002935698
       -0.0000034200       -0.0000284651        0.0004502900
       -0.0000000901       -0.0000007749       -0.0002963401
       -0.0000000099       -0.0000000149       -0.0001109998
       -0.0000211550       -0.0001645749        0.0001252852
        0.0000211399        0.0001645600        0.0001252801
       -0.4785899600       -0.0528629350       -0.0000309450
       -0.0185488300       -0.0106589000       -0.0000000901
        0.4966371500        0.0628519901       -0.0000317401
        0.0003127501        0.0003617900        0.0000004250
        0.0000946000        0.0001316450        0.0020939900
        0.0000946051        0.0001316450       -0.0020939349
       -0.1114660400       -0.0642501800        0.0000006150
        0.0487050251        0.0016981500       -0.0000007749
        0.0628519901        0.0666694200        0.0000018100
       -0.0042603200       -0.0044599000       -0.0000000600
        0.0020623149        0.0001712401       -0.0002630000
        0.0020623200        0.0001712399        0.0002629901
       -0.0000325500        0.0000019899       -0.0060348550
       -0.0000010600        0.0000001299       -0.0002963401
       -0.0000317401        0.0000018100        0.0123056401
       -0.0000001101       -0.0000000651       -0.0070809649
        0.0033700699        0.0000186550        0.0005532300
       -0.0033701851       -0.0000186751        0.0005532451
       -0.0086168149        0.0026162250       -0.0000000497
       -0.0015158049       -0.0009019099       -0.0000000099
        0.0003127501       -0.0042603200       -0.0000001101
        0.1732984299       -0.2137026549        0.0000111952
       -0.0817391400        0.1081293250        0.1173553702
       -0.0817391400        0.1081293250       -0.1173447998
        0.0005658900        0.0031976150       -0.0000000298
       -0.0008472699       -0.0001168500       -0.0000000149
        0.0003617900       -0.0044599000       -0.0000000651
       -0.2137026549        0.2962491300        0.0000572052
        0.1068177450       -0.1474350100       -0.1615694599
        0.1068177450       -0.1474350150        0.1616233750
       -0.0000000148        0.0000000450        0.0038781153
        0.0000000252        0.0000000152       -0.0001109998
        0.0000004250       -0.0000000600       -0.0070809649
        0.0000111952        0.0000572052        0.6802269797
        0.1521121601       -0.2111619249       -0.3384565949
       -0.1521015349        0.2112186552       -0.3384565849
       -0.0003670399       -0.0009147800       -0.0014152900
        0.0000911950        0.0000200299       -0.0000211550
        0.0000946000        0.0020623149        0.0033700699
       -0.0817391400        0.1068177450        0.1521121601
        0.0775799600       -0.1022011250       -0.1361350749
        0.0043405801       -0.0057795749       -0.0179016099
       -0.0002532100       -0.0002124800        0.0000915901
       -0.0000239250       -0.0000106600       -0.0001645749
        0.0001316450        0.0001712401        0.0000186550
        0.1081293250       -0.1474350100       -0.2111619249
       -0.1022011250        0.1398319100        0.1865465100
       -0.0057795799        0.0076549699        0.0247241751
       -0.0011504399        0.0000452901       -0.0005347898
       -0.0000535198        0.0000183351        0.0001252852
        0.0020939900       -0.0002630000        0.0005532300
        0.1173553702       -0.1615694599       -0.3384565949
       -0.1361350749        0.1865465100        0.3688926398
        0.0178999251       -0.0247261099       -0.0305797798
       -0.0003670401       -0.0009147750        0.0014152701
        0.0000911901        0.0000200349        0.0000211399
        0.0000946051        0.0020623200       -0.0033701851
       -0.0817391400        0.1068177450       -0.1521015349
        0.0043405801       -0.0057795799        0.0178999251
        0.0775799600       -0.1022011250        0.1361444050
       -0.0002532150       -0.0002124850       -0.0000916150
       -0.0000239250       -0.0000106749        0.0001645600
        0.0001316450        0.0001712399       -0.0000186751
        0.1081293250       -0.1474350150        0.2112186552
       -0.0057795749        0.0076549699       -0.0247261099
       -0.1022011250        0.1398319100       -0.1864923149
        0.0011504551       -0.0000452999       -0.0005347849
        0.0000535101       -0.0000183499        0.0001252801
       -0.0020939349        0.0002629901        0.0005532451
       -0.1173447998        0.1616233750       -0.3384565849
       -0.0179016099        0.0247241751       -0.0305797798
        0.1361444050       -0.1864923149        0.3688926299
