    8   18
        0.4686908001       -0.0055799750        0.0000402799
       -0.0006853551       -0.0003126300        0.0000000499
        0.0002695349        0.0036516899       -0.0000005951
       -0.0002675650        0.0000001050       -0.0027025601
        0.0013110549       -0.0000000001        0.0000001550
        0.0000000099       -0.0263460001        0.0010083900
       -0.0055799750        0.4790220700        0.0000211150
       -0.0009498100       -0.0002762800        0.0000008649
       -0.0004338900       -0.0194136550       -0.0000002751
       -0.0001709450        0.0000009950       -0.0022583701
        0.0005110050        0.0000007350        0.0000009500
        0.0000006900        0.0022250850        0.0010371150
        0.0000402799        0.0000211150        0.4879007400
        0.0000000399       -0.0000021400        0.0010409199
        0.0000000050       -0.0000021600        0.0221549800
       -0.0000010400       -0.0004772350       -0.0000008100
       -0.0000001950       -0.0011778901        0.0015075900
        0.0010421200       -0.0000010400       -0.0000010250
       -0.0006853551       -0.0009498100        0.0000000399
        0.4741811300       -0.0002687950        0.0000404049
        0.0009441350       -0.0000679050        0.0000000500
        0.0002039450       -0.0000002100        0.0007508299
       -0.0005755600        0.0000000200       -0.0000000349
        0.0000000250       -0.0000794500       -0.0266407449
       -0.0003126300       -0.0002762800       -0.0000021400
       -0.0002687950        0.4880182900        0.0000184000
       -0.0000271849        0.0003479500       -0.0000022199
       -0.0216413550       -0.0000033949        0.0020058500
       -0.0007288550       -0.0000021200       -0.0000021549
       -0.0000021300        0.0000507950       -0.0000337649
        0.0000000499        0.0000008649        0.0010409199
        0.0000404049        0.0000184000        0.4913711400
        0.0000000000       -0.0000001101        0.0013851550
       -0.0000011850        0.0187481100       -0.0000000401
        0.0000004650       -0.0019203200        0.0040825650
        0.0010680050       -0.0000001100       -0.0000000649
        0.0002695349       -0.0004338900        0.0000000050
        0.0009441350       -0.0000271849        0.0000000000
        0.0056296599       -0.0018901150       -0.0000000900
       -0.0002630700        0.0000000200       -0.0004367500
       -0.0031031249        0.0000000300        0.0000000401
        0.0000000151       -0.0007431800       -0.0000482199
        0.0036516899       -0.0194136550       -0.0000021600
       -0.0000679050        0.0003479500       -0.0000001101
       -0.0018901150        0.1521537000        0.0000038550
        0.0003503850        0.0000015800        0.0020322500
       -0.0005429550        0.0000001850        0.0000007451
        0.0000001650       -0.0019457450       -0.0005298850
       -0.0000005951       -0.0000002751        0.0221549800
        0.0000000500       -0.0000022199        0.0013851550
       -0.0000000900        0.0000038550        0.1484697600
        0.0000009049       -0.0015060500        0.0000002549
        0.0000007699       -0.0005110050        0.0020183850
       -0.0018390450        0.0000035550        0.0000001301
       -0.0002675650       -0.0001709450       -0.0000010400
        0.0002039450       -0.0216413550       -0.0000011850
       -0.0002630700        0.0003503850        0.0000009049
        0.1534907800        0.0000053550        0.0008257049
       -0.0011173400        0.0000001900        0.0000007151
        0.0000001800       -0.0000661600       -0.0002804649
        0.0000001050        0.0000009950       -0.0004772350
       -0.0000002100       -0.0000033949        0.0187481100
        0.0000000200        0.0000015800       -0.0015060500
        0.0000053550        0.1588197199       -0.0000001750
        0.0000005750        0.0009537351       -0.0060637449
       -0.0002846650        0.0000000501        0.0000041651
       -0.0027025601       -0.0022583701       -0.0000008100
        0.0007508299        0.0020058500       -0.0000000401
       -0.0004367500        0.0020322500        0.0000002549
        0.0008257049       -0.0000001750        0.0069136200
       -0.0087973150        0.0000002299        0.0000004850
       -0.0000002500        0.0000306250       -0.0010290400
        0.0013110549        0.0005110050       -0.0000001950
       -0.0005755600       -0.0007288550        0.0000004650
       -0.0031031249       -0.0005429550        0.0000007699
       -0.0011173400        0.0000005750       -0.0087973150
        0.0087093200        0.0000007650        0.0000009100
        0.0000006450       -0.0009601200        0.0011818751
       -0.0000000001        0.0000007350       -0.0011778901
        0.0000000200       -0.0000021200       -0.0019203200
        0.0000000300        0.0000001850       -0.0005110050
        0.0000001900        0.0009537351        0.0000002299
        0.0000007650        0.0021902900       -0.0027648750
       -0.0013568450        0.0000001800        0.0000001651
        0.0000001550        0.0000009500        0.0015075900
       -0.0000000349       -0.0000021549        0.0040825650
        0.0000000401        0.0000007451        0.0020183850
        0.0000007151       -0.0060637449        0.0000004850
        0.0000009100       -0.0027648750        0.0055369199
        0.0015048450        0.0000006901        0.0000007101
        0.0000000099        0.0000006900        0.0010421200
        0.0000000250       -0.0000021300        0.0010680050
        0.0000000151        0.0000001650       -0.0018390450
        0.0000001800       -0.0002846650       -0.0000002500
        0.0000006450       -0.0013568450        0.0015048450
        0.0015804700        0.0000001400        0.0000001400
       -0.0263460001        0.0022250850       -0.0000010400
       -0.0000794500        0.0000507950       -0.0000001100
       -0.0007431800       -0.0019457450        0.0000035550
       -0.0000661600        0.0000000501        0.0000306250
       -0.0009601200        0.0000001800        0.0000006901
        0.0000001400        0.0231070000       -0.0002214449
        0.0010083900        0.0010371150       -0.0000010250
       -0.0266407449       -0.0000337649       -0.0000000649
       -0.0000482199       -0.0005298850        0.0000001301
       -0.0002804649        0.0000041651       -0.0010290400
        0.0011818751        0.0000001651        0.0000007101
        0.0000001400       -0.0002214449        0.0247632099
