    8   24
        0.2293710837        0.0484412622        0.0000000000
       -0.0907888561       -0.0644271147        0.1147674532
       -0.0907888561       -0.0644271147       -0.1147674532
       -0.0492971553        0.0803338054        0.0000000000
       -0.0357358265        0.0251364289        0.0000000000
        0.0043372440       -0.0106851619       -0.0093427156
        0.0285651223       -0.0036869431        0.0000000000
        0.0043372440       -0.0106851619        0.0093427156
        0.0484412622        0.6359938534        0.0000000000
       -0.0928391854       -0.1220661673        0.1217835092
       -0.0928391854       -0.1220661673       -0.1217835092
        0.1371364067       -0.3883287157        0.0000000000
        0.0001958353       -0.0031295481        0.0000000000
       -0.0001171809       -0.0002305280        0.0002824650
        0.0001392285        0.0000578011        0.0000000000
       -0.0001171809       -0.0002305280       -0.0002824650
        0.0000000000        0.0000000000        0.6414356440
        0.1646868518        0.1177980899       -0.2898756119
       -0.1646868518       -0.1177980899       -0.2898756119
        0.0000000000        0.0000000000       -0.0633265335
        0.0000000000        0.0000000000        0.0026527879
        0.0004987191        0.0006778796       -0.0000151145
        0.0000000000        0.0000000000       -0.0009804455
       -0.0004987191       -0.0006778796       -0.0000151145
       -0.0907888561       -0.0928391854        0.1646868518
        0.0893569114        0.0771754853       -0.1358015456
        0.0019220937        0.0072133862       -0.0187660177
       -0.0008329159        0.0084407878       -0.0103671826
       -0.0032629042        0.0021622490       -0.0001945523
        0.0002187681       -0.0009523400       -0.0008903282
        0.0026641331       -0.0002725324        0.0006051988
        0.0007227700       -0.0009278506        0.0007275759
       -0.0644271147       -0.1220661673        0.1177980899
        0.0771754853        0.1301797312       -0.1355394239
        0.0072133862        0.0067527614       -0.0174387115
       -0.0201081701       -0.0137916702        0.0354327164
        0.0008567048       -0.0013385304       -0.0005996739
       -0.0002591960       -0.0002452676        0.0003339572
       -0.0004844839        0.0001124968        0.0001256722
        0.0000333883        0.0003966462       -0.0001126263
        0.1147674532        0.1217835092       -0.2898756119
       -0.1358015456       -0.1355394239        0.3163400272
        0.0187660177        0.0174387115       -0.0262455142
        0.0023713328       -0.0036033954       -0.0004220900
       -0.0002100132       -0.0001040758        0.0000437088
       -0.0000304998       -0.0000727035        0.0000164551
        0.0000392740        0.0000299023        0.0001330653
        0.0000979809        0.0000674755        0.0000099598
       -0.0907888561       -0.0928391854       -0.1646868518
        0.0019220937        0.0072133862        0.0187660177
        0.0893569114        0.0771754853        0.1358015456
       -0.0008329159        0.0084407878        0.0103671826
       -0.0032629042        0.0021622490        0.0001945523
        0.0007227700       -0.0009278506       -0.0007275759
        0.0026641331       -0.0002725324       -0.0006051988
        0.0002187681       -0.0009523400        0.0008903282
       -0.0644271147       -0.1220661673       -0.1177980899
        0.0072133862        0.0067527614        0.0174387115
        0.0771754853        0.1301797312        0.1355394239
       -0.0201081701       -0.0137916702       -0.0354327164
        0.0008567048       -0.0013385304        0.0005996739
        0.0000333883        0.0003966462        0.0001126263
       -0.0004844839        0.0001124968       -0.0001256722
       -0.0002591960       -0.0002452676       -0.0003339572
       -0.1147674532       -0.1217835092       -0.2898756119
       -0.0187660177       -0.0174387115       -0.0262455142
        0.1358015456        0.1355394239        0.3163400272
       -0.0023713328        0.0036033954       -0.0004220900
        0.0002100132        0.0001040758        0.0000437088
       -0.0000979809       -0.0000674755        0.0000099598
       -0.0000392740       -0.0000299023        0.0001330653
        0.0000304998        0.0000727035        0.0000164551
       -0.0492971553        0.1371364067        0.0000000000
       -0.0008329159       -0.0201081701        0.0023713328
       -0.0008329159       -0.0201081701       -0.0023713328
        0.0541699464       -0.0963211160        0.0000000000
       -0.0031301244        0.0015049125        0.0000000000
       -0.0001256519       -0.0004220324       -0.0004621448
        0.0001744688       -0.0012597984        0.0000000000
       -0.0001256519       -0.0004220324        0.0004621448
        0.0803338054       -0.3883287157        0.0000000000
        0.0084407878       -0.0137916702       -0.0036033954
        0.0084407878       -0.0137916702        0.0036033954
       -0.0963211160        0.4157584243        0.0000000000
       -0.0006766859       -0.0003721221        0.0000000000
        0.0001831199        0.0003226422       -0.0004790901
       -0.0005838190       -0.0001195305        0.0000000000
        0.0001831199        0.0003226422        0.0004790901
        0.0000000000        0.0000000000       -0.0633265335
       -0.0103671826        0.0354327164       -0.0004220900
        0.0103671826       -0.0354327164       -0.0004220900
        0.0000000000        0.0000000000        0.0677537762
        0.0000000000        0.0000000000       -0.0044923853
       -0.0008233332       -0.0014074238        0.0002055351
        0.0000000000        0.0000000000        0.0004982523
        0.0008233332        0.0014074238        0.0002055351
       -0.0357358265        0.0001958353        0.0000000000
       -0.0032629042        0.0008567048       -0.0002100132
       -0.0032629042        0.0008567048        0.0002100132
       -0.0031301244       -0.0006766859        0.0000000000
        0.5812312702       -0.2195506093        0.0000000000
       -0.1403328088        0.0765210592        0.0484241788
       -0.2551738932        0.0652759319        0.0000000000
       -0.1403328088        0.0765210592       -0.0484241788
        0.0251364289       -0.0031295481        0.0000000000
        0.0021622490       -0.0013385304       -0.0001040758
        0.0021622490       -0.0013385304        0.0001040758
        0.0015049125       -0.0003721221        0.0000000000
       -0.2195506093        0.3677826266        0.0000000000
        0.0563707840       -0.1318155156       -0.1200996013
        0.0758432019       -0.0979728643        0.0000000000
        0.0563707840       -0.1318155156        0.1200996013
        0.0000000000        0.0000000000        0.0026527879
       -0.0001945523       -0.0005996739        0.0000437088
        0.0001945523        0.0005996739        0.0000437088
        0.0000000000        0.0000000000       -0.0044923853
        0.0000000000        0.0000000000        0.6463418339
        0.0244967964       -0.2005265755       -0.2921366661
        0.0000000000        0.0000000000       -0.0603163218
       -0.0244967964        0.2005265755       -0.2921366661
        0.0043372440       -0.0001171809        0.0004987191
        0.0002187681       -0.0002591960       -0.0000304998
        0.0007227700        0.0000333883       -0.0000979809
       -0.0001256519        0.0001831199       -0.0008233332
       -0.1403328088        0.0563707840        0.0244967964
        0.0381769741       -0.0363472034       -0.0423259756
        0.1162646299       -0.0352142158        0.0361570182
       -0.0192619253        0.0153505039       -0.0178747442
       -0.0106851619       -0.0002305280        0.0006778796
       -0.0009523400       -0.0002452676       -0.0000727035
       -0.0009278506        0.0003966462       -0.0000674755
       -0.0004220324        0.0003226422       -0.0014074238
        0.0765210592       -0.1318155156       -0.2005265755
       -0.0363472034        0.1164532612        0.1445511339
       -0.0425369748        0.0532570663       -0.0074929244
        0.0153505039       -0.0381383047        0.0643380890
       -0.0093427156        0.0002824650       -0.0000151145
       -0.0008903282        0.0003339572        0.0000164551
       -0.0007275759        0.0001126263        0.0000099598
       -0.0004621448       -0.0004790901        0.0002055351
        0.0484241788       -0.1200996013       -0.2921366661
       -0.0423259756        0.1445511339        0.2317176891
       -0.0125501827        0.0396365980        0.0000224824
        0.0178747442       -0.0643380890        0.0601796591
        0.0285651223        0.0001392285        0.0000000000
        0.0026641331       -0.0004844839        0.0000392740
        0.0026641331       -0.0004844839       -0.0000392740
        0.0001744688       -0.0005838190        0.0000000000
       -0.2551738932        0.0758432019        0.0000000000
        0.1162646299       -0.0425369748       -0.0125501827
       -0.0114232236        0.0106443059        0.0000000000
        0.1162646299       -0.0425369748        0.0125501827
       -0.0036869431        0.0000578011        0.0000000000
       -0.0002725324        0.0001124968        0.0000299023
       -0.0002725324        0.0001124968       -0.0000299023
       -0.0012597984       -0.0001195305        0.0000000000
        0.0652759319       -0.0979728643        0.0000000000
       -0.0352142158        0.0532570663        0.0396365980
        0.0106443059       -0.0087045324        0.0000000000
       -0.0352142158        0.0532570663       -0.0396365980
        0.0000000000        0.0000000000       -0.0009804455
        0.0006051988        0.0001256722        0.0001330653
       -0.0006051988       -0.0001256722        0.0001330653
        0.0000000000        0.0000000000        0.0004982523
        0.0000000000        0.0000000000       -0.0603163218
        0.0361570182       -0.0074929244        0.0000224824
        0.0000000000        0.0000000000        0.0604874198
       -0.0361570182        0.0074929244        0.0000224824
        0.0043372440       -0.0001171809       -0.0004987191
        0.0007227700        0.0000333883        0.0000979809
        0.0002187681       -0.0002591960        0.0000304998
       -0.0001256519        0.0001831199        0.0008233332
