    8   24
        0.2286088899        0.0483604801        0.0000270700
       -0.0906537699       -0.0646157449        0.1147747900
       -0.0906538000       -0.0646157500       -0.1147506599
       -0.0489378900        0.0807248350       -0.0000003499
        0.0015376050       -0.0002389899       -0.0000000299
       -0.0001044649       -0.0003890100       -0.0000139749
        0.0003074400        0.0011570651       -0.0000000600
       -0.0001044850       -0.0003890450        0.0000139000
        0.0483604801        0.6360106700       -0.0000019049
       -0.0928327150       -0.1220613200        0.1218076000
       -0.0928327750       -0.1220613450       -0.1217863349
        0.1371489350       -0.3883490950       -0.0000233349
        0.0003519200       -0.0032106350       -0.0000000300
       -0.0003101350       -0.0004664000        0.0004140350
        0.0004239150        0.0006047200        0.0000000050
       -0.0003101650       -0.0004664150       -0.0004140050
        0.0000270700       -0.0000019049        0.6407943799
        0.1645474300        0.1182028651       -0.2897097550
       -0.1645226850       -0.1181835249       -0.2897097700
        0.0000008250       -0.0000221250       -0.0636453098
        0.0000000050       -0.0000000250        0.0034133601
        0.0003941301        0.0009858350       -0.0002152800
        0.0000000150        0.0000000100       -0.0007122150
       -0.0003941549       -0.0009858500       -0.0002152600
       -0.0906537699       -0.0928327150        0.1645474300
        0.0897666999        0.0771368351       -0.1357079000
        0.0015678101        0.0072037950       -0.0186676449
       -0.0007949449        0.0084726751       -0.0103400799
       -0.0000767299       -0.0001343100       -0.0000694249
        0.0001164000       -0.0000738449        0.0000705101
        0.0001021051        0.0002625850        0.0002181701
       -0.0000277399       -0.0000304100       -0.0000270799
       -0.0646157449       -0.1220613200        0.1182028651
        0.0771368351        0.1302116699       -0.1355023399
        0.0072037850        0.0067316000       -0.0174002250
       -0.0201209700       -0.0137963249        0.0354303801
        0.0003645101       -0.0008691100       -0.0009575249
       -0.0002385050       -0.0005670699        0.0001306001
        0.0001983801        0.0003260900        0.0001184601
        0.0000733051        0.0000245601       -0.0000016300
        0.1147747900        0.1218076000       -0.2897097550
       -0.1357079000       -0.1355023399        0.3163904000
        0.0186664300        0.0173989149       -0.0261994400
        0.0023705400       -0.0036033300       -0.0004590650
       -0.0001913550       -0.0001043050       -0.0000795350
        0.0000370950       -0.0000703550        0.0000088250
        0.0000501300        0.0000919299        0.0000484700
        0.0000244200        0.0000024250        0.0000001850
       -0.0906538000       -0.0928327750       -0.1645226850
        0.0015678101        0.0072037850        0.0186664300
        0.0897667600        0.0771367750        0.1357308900
       -0.0007949750        0.0084726200        0.0103395351
       -0.0000767550       -0.0001343500        0.0000694151
       -0.0000277700       -0.0000304050        0.0000270801
        0.0001020700        0.0002625700       -0.0002182150
        0.0001163500       -0.0000738800       -0.0000705300
