    8   18
        0.4421335599       -0.0064408900        0.0000383300
       -0.0006444200       -0.0003180099        0.0000000051
        0.0004322500        0.0032725900       -0.0000005249
       -0.0002438699        0.0000000751       -0.0024470149
        0.0015035200       -0.0000000049        0.0000000901
       -0.0000000049       -0.0271577149        0.0009256651
       -0.0064408900        0.4479510500        0.0000195951
       -0.0009007099       -0.0003148500        0.0000002701
       -0.0002395100       -0.0207160051       -0.0000009650
       -0.0001252750        0.0000003901       -0.0021720399
        0.0003934800        0.0000002400        0.0000003901
        0.0000001951        0.0018921650        0.0009565500
        0.0000383300        0.0000195951        0.4580352800
       -0.0000000099       -0.0000004200        0.0009105250
       -0.0000000150       -0.0000015250        0.0230927050
       -0.0000003449       -0.0003094000       -0.0000002800
       -0.0000000900       -0.0009416499        0.0013355800
        0.0008065101       -0.0000003600       -0.0000003400
       -0.0006444200       -0.0009007099       -0.0000000099
        0.4471167999       -0.0006699599        0.0000383400
        0.0008719000       -0.0000525350        0.0000000251
        0.0002975501       -0.0000000449        0.0007503301
       -0.0003814650        0.0000000200        0.0000000051
        0.0000000001       -0.0000518799       -0.0277827200
       -0.0003180099       -0.0003148500       -0.0000004200
       -0.0006699599        0.4573917400        0.0000189500
        0.0000510300        0.0003243599       -0.0000004350
       -0.0228334650       -0.0000016399        0.0019684001
       -0.0005927200       -0.0000003450       -0.0000003949
       -0.0000003750        0.0000600851        0.0000017850
        0.0000000051        0.0000002701        0.0009105250
        0.0000383400        0.0000189500        0.4611834899
       -0.0000000249        0.0000000050        0.0015051801
       -0.0000010849        0.0199929501       -0.0000001149
       -0.0000000300       -0.0017395249        0.0041068851
        0.0009504401       -0.0000000249        0.0000001150
        0.0004322500       -0.0002395100       -0.0000000150
        0.0008719000        0.0000510300       -0.0000000249
        0.0056599400       -0.0017316750       -0.0000001050
       -0.0004100700       -0.0000000250       -0.0000124700
       -0.0026742600        0.0000000401       -0.0000000949
        0.0000000050       -0.0007002799       -0.0000037350
        0.0032725900       -0.0207160051       -0.0000015250
       -0.0000525350        0.0003243599        0.0000000050
       -0.0017316750        0.1516460401        0.0000035249
        0.0004246550        0.0000015550        0.0019000450
       -0.0006855950        0.0000001199        0.0000002300
        0.0000000900       -0.0018970200       -0.0005069000
       -0.0000005249       -0.0000009650        0.0230927050
        0.0000000251       -0.0000004350        0.0015051801
       -0.0000001050        0.0000035249        0.1479283100
        0.0000008800       -0.0018295299        0.0000001401
        0.0000001700       -0.0007514900        0.0022308600
       -0.0017008050        0.0000037150        0.0000001150
       -0.0002438699       -0.0001252750       -0.0000003449
        0.0002975501       -0.0228334650       -0.0000010849
       -0.0004100700        0.0004246550        0.0000008800
        0.1530712899        0.0000049551        0.0007378951
       -0.0010701900        0.0000001200        0.0000001751
        0.0000001001       -0.0000769649       -0.0003771600
        0.0000000751        0.0000003901       -0.0003094000
       -0.0000000449       -0.0000016399        0.0199929501
       -0.0000000250        0.0000015550       -0.0018295299
        0.0000049551        0.1573936399       -0.0000001648
        0.0000000200        0.0006255051       -0.0054763699
       -0.0000466949        0.0000000200        0.0000043100
       -0.0024470149       -0.0021720399       -0.0000002800
        0.0007503301        0.0019684001       -0.0000001149
       -0.0000124700        0.0019000450        0.0000001401
        0.0007378951       -0.0000001648        0.0075044699
       -0.0082155349        0.0000001151       -0.0000001749
        0.0000000351        0.0000724800       -0.0009986250
        0.0015035200        0.0003934800       -0.0000000900
       -0.0003814650       -0.0005927200       -0.0000000300
       -0.0026742600       -0.0006855950        0.0000001700
       -0.0010701900        0.0000000200       -0.0082155349
        0.0089915700        0.0000002250       -0.0000000049
        0.0000000251       -0.0005868350        0.0010327650
       -0.0000000049        0.0000002400       -0.0009416499
        0.0000000200       -0.0000003450       -0.0017395249
        0.0000000401        0.0000001199       -0.0007514900
        0.0000001200        0.0006255051        0.0000001151
        0.0000002250        0.0018029999       -0.0025148499
       -0.0010490149        0.0000000951        0.0000001000
        0.0000000901        0.0000003901        0.0013355800
        0.0000000051       -0.0000003949        0.0041068851
       -0.0000000949        0.0000002300        0.0022308600
        0.0000001751       -0.0054763699       -0.0000001749
       -0.0000000049       -0.0025148499        0.0057031198
        0.0013538752        0.0000001901        0.0000001601
       -0.0000000049        0.0000001951        0.0008065101
        0.0000000001       -0.0000003750        0.0009504401
        0.0000000050        0.0000000900       -0.0017008050
        0.0000001001       -0.0000466949        0.0000000351
        0.0000000251       -0.0010490149        0.0013538752
        0.0013400599        0.0000000401        0.0000000801
       -0.0271577149        0.0018921650       -0.0000003600
       -0.0000518799        0.0000600851       -0.0000000249
       -0.0007002799       -0.0018970200        0.0000037150
       -0.0000769649        0.0000000200        0.0000724800
       -0.0005868350        0.0000000951        0.0000001901
        0.0000000401        0.0239184699       -0.0002110300
        0.0009256651        0.0009565500       -0.0000003400
       -0.0277827200        0.0000017850        0.0000001150
       -0.0000037350       -0.0005069000        0.0000001150
       -0.0003771600        0.0000043100       -0.0009986250
        0.0010327650        0.0000001000        0.0000001601
        0.0000000801       -0.0002110300        0.0257029200
