    8   24
        0.2247401703        0.0476765454        0.0000000000
       -0.0892118712       -0.0647192418        0.1149968890
       -0.0892118712       -0.0647192418       -0.1149968890
       -0.0478497710        0.0820075561        0.0000000000
        0.0013156526       -0.0007111247        0.0000000000
       -0.0000677435       -0.0003458797       -0.0000361587
        0.0003531775        0.0011572661        0.0000000000
       -0.0000677435       -0.0003458797        0.0000361587
        0.0476765454        0.6278949438        0.0000000000
       -0.0918028335       -0.1199731320        0.1205264256
       -0.0918028335       -0.1199731320       -0.1205264256
        0.1357339956       -0.3848909658        0.0000000000
        0.0004442259       -0.0026854712        0.0000000000
       -0.0002842987       -0.0004644806        0.0003458928
        0.0003194975        0.0005567184        0.0000000000
       -0.0002842987       -0.0004644806       -0.0003458928
        0.0000000000        0.0000000000        0.6312936792
        0.1626348088        0.1169612739       -0.2857202354
       -0.1626348088       -0.1169612739       -0.2857202354
        0.0000000000        0.0000000000       -0.0619386951
        0.0000000000        0.0000000000        0.0030401403
        0.0003628606        0.0008757824       -0.0001766751
        0.0000000000        0.0000000000       -0.0006013034
       -0.0003628606       -0.0008757824       -0.0001766751
       -0.0892118712       -0.0918028335        0.1626348088
        0.0873557115        0.0766701249       -0.1347599454
        0.0021949196        0.0074052473       -0.0179313300
       -0.0004940436        0.0076842230       -0.0101267637
       -0.0000069590       -0.0000630959       -0.0000476137
        0.0001163261       -0.0000706550        0.0000527247
        0.0000723572        0.0002092646        0.0001974659
       -0.0000264407       -0.0000322755       -0.0000193465
       -0.0647192418       -0.1199731320        0.1169612739
        0.0766701249        0.1278904038       -0.1346234622
        0.0074052473        0.0072296519       -0.0169228209
       -0.0197572511       -0.0140187401        0.0352419067
        0.0003422217       -0.0009263195       -0.0008558384
       -0.0002361103       -0.0005532629        0.0001159627
        0.0002109753        0.0003473727        0.0000931635
        0.0000840339        0.0000040260       -0.0000101853
        0.1149968890        0.1205264256       -0.2857202354
       -0.1347599454       -0.1346234622        0.3128024852
        0.0179313300        0.0169228209       -0.0268346775
        0.0019005856       -0.0027741458       -0.0002198378
       -0.0001604927       -0.0000320511       -0.0000729738
        0.0000468694       -0.0000426432       -0.0000048727
        0.0000089262        0.0000075286        0.0000368113
        0.0000358379        0.0000155271        0.0000133007
       -0.0892118712       -0.0918028335       -0.1626348088
        0.0021949196        0.0074052473        0.0179313300
        0.0873557115        0.0766701249        0.1347599454
       -0.0004940436        0.0076842230        0.0101267637
       -0.0000069590       -0.0000630959        0.0000476137
       -0.0000264407       -0.0000322755        0.0000193465
        0.0000723572        0.0002092646       -0.0001974659
        0.0001163261       -0.0000706550       -0.0000527247
       -0.0647192418       -0.1199731320       -0.1169612739
        0.0074052473        0.0072296519        0.0169228209
        0.0766701249        0.1278904038        0.1346234622
       -0.0197572511       -0.0140187401       -0.0352419067
        0.0003422217       -0.0009263195        0.0008558384
        0.0000840339        0.0000040260        0.0000101853
        0.0002109753        0.0003473727       -0.0000931635
       -0.0002361103       -0.0005532629       -0.0001159627
       -0.1149968890       -0.1205264256       -0.2857202354
       -0.0179313300       -0.0169228209       -0.0268346775
        0.1347599454        0.1346234622        0.3128024852
       -0.0019005856        0.0027741458       -0.0002198378
        0.0001604927        0.0000320511       -0.0000729738
       -0.0000358379       -0.0000155271        0.0000133007
       -0.0000089262       -0.0000075286        0.0000368113
       -0.0000468694        0.0000426432       -0.0000048727
       -0.0478497710        0.1357339956        0.0000000000
       -0.0004940436       -0.0197572511        0.0019005856
       -0.0004940436       -0.0197572511       -0.0019005856
        0.0524120196       -0.0959450639        0.0000000000
       -0.0023635217        0.0011131506        0.0000000000
        0.0001009059        0.0008302207       -0.0001385708
       -0.0014124515       -0.0030480214        0.0000000000
        0.0001009059        0.0008302207        0.0001385708
        0.0820075561       -0.3848909658        0.0000000000
        0.0076842230       -0.0140187401       -0.0027741458
        0.0076842230       -0.0140187401        0.0027741458
       -0.0959450639        0.4134378869        0.0000000000
       -0.0013408486       -0.0006161929        0.0000000000
        0.0004970918        0.0006100614       -0.0005671282
       -0.0010842732       -0.0011133708        0.0000000000
        0.0004970918        0.0006100614        0.0005671282
        0.0000000000        0.0000000000       -0.0619386951
       -0.0101267637        0.0352419067       -0.0002198378
        0.0101267637       -0.0352419067       -0.0002198378
        0.0000000000        0.0000000000        0.0651112896
        0.0000000000        0.0000000000       -0.0036172892
       -0.0006910994       -0.0012350025        0.0001828881
        0.0000000000        0.0000000000        0.0005185941
        0.0006910994        0.0012350025        0.0001828881
        0.0013156526        0.0004442259        0.0000000000
       -0.0000069590        0.0003422217       -0.0001604927
       -0.0000069590        0.0003422217        0.0001604927
       -0.0023635217       -0.0013408486        0.0000000000
        0.5028956395       -0.1917662604        0.0000000000
       -0.0479219278        0.0679308686        0.0510777296
       -0.4059899967        0.0561167024        0.0000000000
       -0.0479219278        0.0679308686       -0.0510777296
       -0.0007111247       -0.0026854712        0.0000000000
       -0.0000630959       -0.0009263195       -0.0000320511
       -0.0000630959       -0.0009263195        0.0000320511
        0.0011131506       -0.0006161929        0.0000000000
       -0.1917662604        0.3622695972        0.0000000000
        0.0403932039       -0.1623777718       -0.1590843316
        0.1107040185       -0.0323597506        0.0000000000
        0.0403932039       -0.1623777718        0.1590843316
        0.0000000000        0.0000000000        0.0030401403
       -0.0000476137       -0.0008558384       -0.0000729738
