    7   21
        0.6065464098        0.1072263100       -0.0000356350
       -0.4828984049        0.0947087452       -0.0000332449
       -0.1105682099       -0.2017415500       -0.0000017049
       -0.0099215647        0.0004907200       -0.0000000099
       -0.0006575148        0.0004637302        0.0000000102
       -0.0012502397       -0.0005889848       -0.0006969196
       -0.0012502397       -0.0005889848        0.0006969204
        0.1072263100        0.5306111299       -0.0000321300
        0.0342539701       -0.0613014399        0.0000024650
       -0.1405074600       -0.4740607851       -0.0000322598
       -0.0013825100        0.0049236750        0.0000001600
        0.0023109553        0.0000482849        0.0000000050
       -0.0009687949       -0.0001104299        0.0000058851
       -0.0009687949       -0.0001104299       -0.0000058348
       -0.0000356350       -0.0000321300       -0.0024804399
       -0.0000316950        0.0000011650       -0.0061096301
       -0.0000020501       -0.0000316551        0.0043722801
       -0.0000000450        0.0000000149        0.0050794199
        0.0000000051       -0.0000000051       -0.0003142851
       -0.0019531851       -0.0003447700       -0.0002736999
        0.0019531650        0.0003447751       -0.0002736999
       -0.4828984049        0.0342539701       -0.0000316950
        0.4973693999       -0.0442651549       -0.0000323449
       -0.0147089899        0.0113974700       -0.0000000898
       -0.0030642200       -0.0020769251        0.0000005950
        0.0001945702       -0.0012899649       -0.0000000099
        0.0015541052        0.0009650752        0.0013865653
        0.0015541052        0.0009650752       -0.0013864599
        0.0947087452       -0.0613014399        0.0000011650
       -0.0442651549        0.0695114298        0.0000021751
       -0.0509312599       -0.0003598299       -0.0000008399
        0.0014614452       -0.0077953949       -0.0000001300
       -0.0050687697       -0.0003346349       -0.0000000148
        0.0020216402        0.0001399603        0.0002228953
        0.0020216402        0.0001399603       -0.0002229048
       -0.0000332449        0.0000024650       -0.0061096301
       -0.0000323449        0.0000021751        0.0149837399
       -0.0000011700        0.0000000701       -0.0014802399
       -0.0000003048       -0.0000001100       -0.0084869399
       -0.0000000797       -0.0000000151        0.0003617551
        0.0039174351        0.0007646702        0.0003656451
       -0.0039176000       -0.0007646798        0.0003656451
       -0.1105682099       -0.1405074600       -0.0000020501
       -0.0147089899       -0.0509312599       -0.0000011700
        0.1270275499        0.1897932350       -0.0000023398
       -0.0013246498        0.0018795700        0.0000000250
        0.0006423151        0.0000443451        0.0000000051
       -0.0005339548       -0.0001301999       -0.0000162798
       -0.0005339548       -0.0001301999        0.0000162802
       -0.2017415500       -0.4740607851       -0.0000316551
        0.0113974700       -0.0003598299        0.0000000701
        0.1897932350        0.4744660200       -0.0000310648
        0.0004287551       -0.0000382501        0.0000000601
        0.0001257752       -0.0000414850       -0.0000000050
        0.0000103701        0.0000171852       -0.0000527947
        0.0000103651        0.0000171852        0.0000528051
