   11   15
        1.0085724202       -0.0124895952       -0.0020284551
       -0.0001876251       -0.0000000301        0.0021183797
       -0.0006167700        0.0003011101       -0.0000000200
       -0.0002164401        0.0000000750       -0.0002370851
       -0.0000814300        0.0000007749        0.0000003499
       -0.0124895952        0.4067288603       -0.0041975551
       -0.0001802201       -0.0000000001        0.0039383598
       -0.0010963801        0.0007031650        0.0000000000
        0.0000165598       -0.0000000701        0.0000171849
        0.0000701100       -0.0000002451       -0.0000002952
       -0.0020284551       -0.0041975551        0.4034596401
       -0.0003087500        0.0000000000        0.0037158348
       -0.0011054000        0.0006542501       -0.0000000050
       -0.0001361900       -0.0000003149       -0.0000356400
        0.0000212150        0.0000006499        0.0000000199
       -0.0001876251       -0.0001802201       -0.0003087500
        0.5322057100        0.0000804799        0.0008010149
        0.0436890501        0.0007710501       -0.0000000050
        0.0002885649        0.0000002750       -0.0000089400
       -0.0000428250        0.0000000149       -0.0000000351
       -0.0000000301       -0.0000000001        0.0000000000
        0.0000804799        0.5512549802       -0.0000000102
       -0.0000010000       -0.0000000750       -0.0013118500
       -0.0000000851       -0.0016863902       -0.0000000151
        0.0000001400       -0.0000761851        0.0001445598
        0.0021183797        0.0039383598        0.0037158348
        0.0008010149       -0.0000000102        0.0059256803
        0.0005043749        0.0004165099        0.0000000050
       -0.0003411101        0.0000003999        0.0000675399
        0.0000992050        0.0000001148        0.0000000497
       -0.0006167700       -0.0010963801       -0.0011054000
        0.0436890501       -0.0000010000        0.0005043749
        0.1583868999       -0.0010311399        0.0000000101
       -0.0003360400       -0.0000005498       -0.0000001600
        0.0000303451        0.0000000000        0.0000001000
        0.0003011101        0.0007031650        0.0006542501
        0.0007710501       -0.0000000750        0.0004165099
       -0.0010311399        0.0008951199        0.0000001202
        0.0006009002       -0.0000010098        0.0001617150
        0.0000172102        0.0000000750       -0.0000000600
       -0.0000000200        0.0000000000       -0.0000000050
       -0.0000000050       -0.0013118500        0.0000000050
        0.0000000101        0.0000001202        0.0007089000
       -0.0000000399        0.0012759700        0.0000000199
        0.0000000151        0.0001096249       -0.0000910350
       -0.0002164401        0.0000165598       -0.0001361900
        0.0002885649       -0.0000000851       -0.0003411101
       -0.0003360400        0.0006009002       -0.0000000399
        0.0072012901        0.0000084000        0.0003040350
       -0.0007197200        0.0000001799        0.0000000850
        0.0000000750       -0.0000000701       -0.0000003149
        0.0000002750       -0.0016863902        0.0000003999
       -0.0000005498       -0.0000010098        0.0012759700
        0.0000084000        0.0067895400        0.0000075400
        0.0000138351        0.0000312600       -0.0008888850
       -0.0002370851        0.0000171849       -0.0000356400
       -0.0000089400       -0.0000000151        0.0000675399
       -0.0000001600        0.0001617150        0.0000000199
        0.0003040350        0.0000075400        0.0360887401
        0.0027668600        0.0000007749        0.0000029850
       -0.0000814300        0.0000701100        0.0000212150
       -0.0000428250        0.0000001400        0.0000992050
        0.0000303451        0.0000172102        0.0000000151
       -0.0007197200        0.0000138351        0.0027668600
        0.0814688499        0.0000035151       -0.0000040399
        0.0000007749       -0.0000002451        0.0000006499
        0.0000000149       -0.0000761851        0.0000001148
        0.0000000000        0.0000000750        0.0001096249
        0.0000001799        0.0000312600        0.0000007749
        0.0000035151        0.0361185602        0.0025744549
        0.0000003499       -0.0000002952        0.0000000199
       -0.0000000351        0.0001445598        0.0000000497
        0.0000001000       -0.0000000600       -0.0000910350
        0.0000000850       -0.0008888850        0.0000029850
       -0.0000040399        0.0025744549        0.0815658501
