   10   30
        0.6159399899        0.1269962300        0.0000501151
       -0.1766469749        0.0568402950       -0.1676385499
       -0.2594826401       -0.2406476749       -0.0000151401
       -0.1766469600        0.0568403050        0.1677014251
       -0.0009608699        0.0001821651        0.0000000401
       -0.0005081100       -0.0000612050        0.0000258400
       -0.0005081048       -0.0000612150       -0.0000258500
        0.0006032300        0.0006312450       -0.0000000252
       -0.0011210000        0.0002394449       -0.0000000401
       -0.0006682750       -0.0008836200       -0.0000000351
        0.1269962300        0.2624754697       -0.0000236997
        0.0287865952       -0.0342800648        0.0582041650
       -0.1857266999       -0.1939846697       -0.0000095349
        0.0287866101       -0.0342800449       -0.0582191649
        0.0009142352       -0.0005647247       -0.0000000298
        0.0001703204        0.0000516852        0.0000429250
        0.0001703204        0.0000516802       -0.0000429048
       -0.0008981799        0.0001550799        0.0000000099
        0.0003234801       -0.0005256548       -0.0000000149
        0.0005478552        0.0009007601       -0.0000000098
        0.0000501151       -0.0000236997        0.6517142396
       -0.1837675248        0.1047694151       -0.2978363048
       -0.0000142148       -0.0000081597       -0.0568451448
        0.1838309453       -0.1047862598       -0.2978363098
        0.0000000152       -0.0000000146       -0.0015128597
       -0.0003961897        0.0000805602        0.0000083152
        0.0003962053       -0.0000805498        0.0000083303
       -0.0000000198        0.0000000202        0.0016433501
       -0.0000000249        0.0000000102       -0.0013975298
       -0.0000000648        0.0000000502        0.0020543352
       -0.1766469749        0.0287865952       -0.1837675248
        0.1817972696       -0.0380161448        0.1880671252
       -0.0161597899        0.0124689251       -0.0276582799
        0.0118426051       -0.0028900199        0.0231608301
       -0.0001092248       -0.0002656398       -0.0002075248
       -0.0002032547        0.0000306102       -0.0000031449
       -0.0000386046        0.0000048252        0.0000313052
        0.0004092551        0.0002679000        0.0002754651
       -0.0002508948       -0.0001418849       -0.0003516948
       -0.0006401399       -0.0002537098        0.0005143602
        0.0568402950       -0.0342800648        0.1047694151
       -0.0380161448        0.0353888697       -0.0715593249
       -0.0158083748        0.0013210301       -0.0237059299
       -0.0028900249       -0.0024241449       -0.0098116548
       -0.0001625247        0.0001425552        0.0004732652
        0.0002550603        0.0000138752       -0.0000223748
        0.0000016803       -0.0000123150       -0.0000010199
        0.0000006150       -0.0001231300       -0.0002299849
        0.0001044651       -0.0000922199       -0.0000380949
       -0.0003326748        0.0000652902        0.0001084351
       -0.1676385499        0.0582041650       -0.2978363048
        0.1880671252       -0.0715593249        0.3238179897
        0.0025868151        0.0034794651        0.0000311601
       -0.0231623099        0.0098107401       -0.0259834549
       -0.0001943748        0.0001248603        0.0001297602
        0.0000465953       -0.0000342099        0.0000029451
       -0.0000029398       -0.0000230499       -0.0000003399
        0.0002709152       -0.0000554900       -0.0001236299
       -0.0001030649        0.0001201902        0.0000646251
        0.0001911800       -0.0000827650       -0.0001025148
       -0.2594826401       -0.1857266999       -0.0000142148
       -0.0161597899       -0.0158083748        0.0025868151
        0.2929917298        0.2164683102       -0.0000129999
       -0.0161597799       -0.0158083549       -0.0025867300
       -0.0004713348        0.0012653702        0.0000000101
        0.0000714152       -0.0000925699       -0.0000314648
        0.0000714202       -0.0000925799        0.0000314451
       -0.0005890649       -0.0003064250        0.0000000050
       -0.0001532149        0.0016833602        0.0000000550
       -0.0001184549       -0.0014978050        0.0000000449
       -0.2406476749       -0.1939846697       -0.0000081597
        0.0124689251        0.0013210301        0.0034794651
        0.2164683102        0.1940528097       -0.0000090299
        0.0124689201        0.0013210501       -0.0034790698
        0.0006755452       -0.0015264747       -0.0000000297
       -0.0004458246       -0.0000710848        0.0000072251
       -0.0004458296       -0.0000710948       -0.0000072097
        0.0014646602        0.0004802450        0.0000000101
        0.0005240152        0.0001378451       -0.0000000300
       -0.0024442198       -0.0016598349       -0.0000000348
       -0.0000151401       -0.0000095349       -0.0568451448
       -0.0276582799       -0.0237059299        0.0000311601
       -0.0000129999       -0.0000090299        0.0578356799
        0.0276580302        0.0237051800        0.0000311502
        0.0000000001       -0.0000000348        0.0004704852
        0.0001270602       -0.0001394500       -0.0000212050
       -0.0001270699        0.0001394551       -0.0000212098
       -0.0000000249       -0.0000000200       -0.0008374400
       -0.0000000300       -0.0000000600        0.0015213601
        0.0000000000       -0.0000000450       -0.0021647851
       -0.1766469600        0.0287866101        0.1838309453
        0.0118426051       -0.0028900249       -0.0231623099
       -0.0161597799        0.0124689201        0.0276580302
        0.1817972498       -0.0380161299       -0.1880038799
       -0.0001092148       -0.0002656199        0.0002075402
       -0.0000385947        0.0000048252       -0.0000312649
       -0.0002032398        0.0000306251        0.0000031652
        0.0004092651        0.0002679100       -0.0002754599
       -0.0002508898       -0.0001418799        0.0003517101
       -0.0006401349       -0.0002537099       -0.0005143499
        0.0568403050       -0.0342800449       -0.1047862598
       -0.0028900199       -0.0024241449        0.0098107401
       -0.0158083549        0.0013210501        0.0237051800
       -0.0380161299        0.0353888498        0.0715423850
       -0.0001625148        0.0001425651       -0.0004732799
        0.0000016853       -0.0000122999        0.0000010300
        0.0002550603        0.0000138951        0.0000223852
        0.0000006300       -0.0001231301        0.0002300000
        0.0001044751       -0.0000922149        0.0000381200
       -0.0003326699        0.0000652950       -0.0001084101
        0.1677014251       -0.0582191649       -0.2978363098
        0.0231608301       -0.0098116548       -0.0259834549
       -0.0025867300       -0.0034790698        0.0000311502
       -0.1880038799        0.0715423850        0.3238179997
        0.0001943502       -0.0001248696        0.0001297602
        0.0000029503        0.0000230752       -0.0000003548
       -0.0000465798        0.0000342452        0.0000029551
       -0.0002709197        0.0000554850       -0.0001236349
        0.0001030801       -0.0001201749        0.0000646202
       -0.0001912049        0.0000827801       -0.0001025148
       -0.0009608699        0.0009142352        0.0000000152
