   10   24
        0.4240836103        0.0000711299        0.0198420801
       -0.0000002098       -0.0208821453        0.0000007850
       -0.0003264753       -0.0000000003        0.0555441997
       -0.0220667951        0.0000036400        0.0134811145
       -0.0000052702        0.0032084196        0.0000000048
       -0.0000411552        0.0000102295        0.0000036852
        0.0000000796       -0.0000000401        0.0000023701
        0.0000000750        0.0000026901       -0.0000000247
        0.0000711299        0.4045927301        0.0000000549
        0.0156323503        0.0000015999       -0.0167776702
        0.0000004749       -0.0059270951        0.0000013151
        0.0000006551       -0.0033272050       -0.0000036351
        0.0541547297       -0.0000013353       -0.0023237203
        0.0000036150       -0.0650728103        0.0000057503
        0.0000008950        0.0000014052        0.0000050900
        0.0000007751        0.0000057054        0.0000002700
        0.0198420801        0.0000000549        0.4989344501
        0.0000639602        0.0877659650        0.0000012898
        0.0121566950       -0.0000000051       -0.0223983653
        0.0263165001        0.0000038801        0.0439392448
       -0.0000010053       -0.0436343652        0.0000002899
        0.0008069097       -0.0000007901        0.0000021350
        0.0000020648        0.0000007751        0.0000003001
       -0.0000016999        0.0000016752        0.0000010252
       -0.0000002098        0.0156323503        0.0000639602
        0.5219794599        0.0000018599        0.0585489650
        0.0000000099        0.0120951850        0.0000000801
        0.0000024852        0.0255483448       -0.0000012901
        0.0764878101       -0.0000007600       -0.0396749252
       -0.0000017852       -0.0456844901       -0.0000007046
        0.0000008797       -0.0000008998       -0.0000017548
       -0.0000002152       -0.0000008748        0.0000006051
       -0.0208821453        0.0000015999        0.0877659650
        0.0000018599        0.8178313004        0.0001081048
        0.0202593648       -0.0000000205        0.0226459497
        0.0304020898        0.0000029047       -0.0039386754
       -0.0000002501        0.0418442997        0.0000005699
        0.0254920096       -0.0000002103        0.0000012051
        0.0000018647        0.0000012247        0.0000014600
       -0.0000012403        0.0000001052        0.0000019298
        0.0000007850       -0.0167776702        0.0000012898
        0.0585489650        0.0001081048        0.8587776205
       -0.0000000006        0.0224928249        0.0000039398
        0.0000032000        0.0572060847       -0.0000018704
       -0.0510751903       -0.0000003755        0.0366999549
        0.0000019347        0.1431957244       -0.0000010348
       -0.0000012804       -0.0000026702       -0.0000032250
       -0.0000013605       -0.0000021302        0.0000009899
       -0.0003264753        0.0000004749        0.0121566950
        0.0000000099        0.0202593648       -0.0000000006
        0.3660297205        0.0000370096       -0.0003168904
       -0.0206503753       -0.0000001552        0.0038904497
       -0.0000019705       -0.0062126804       -0.0000001603
       -0.0006643052       -0.0000003104       -0.0000001751
        0.0000000645        0.0000001350        0.0000000549
        0.0000001245       -0.0000003251       -0.0000000699
       -0.0000000003       -0.0059270951       -0.0000000051
        0.0120951850       -0.0000000205        0.0224928249
        0.0000370096        0.3657586905       -0.0000000253
       -0.0000002953       -0.0190765351       -0.0000014654
        0.0004241397       -0.0000012253       -0.0061505105
       -0.0000004252        0.0083629246       -0.0000002350
       -0.0000000253        0.0000000148       -0.0000000654
       -0.0000000301       -0.0000003351       -0.0000000199
        0.0555441997        0.0000013151       -0.0223983653
        0.0000000801        0.0226459497        0.0000039398
       -0.0003168904       -0.0000000253        0.0474217404
       -0.0033699754        0.0000023098        0.0051704447
        0.0000131047       -0.0073457954        0.0000000497
       -0.0045357353        0.0000650198        0.0000001751
        0.0000004596       -0.0000028251       -0.0000034302
        0.0000003149       -0.0000017150        0.0000002399
       -0.0220667951        0.0000006551        0.0263165001
        0.0000024852        0.0304020898        0.0000032000
       -0.0206503753       -0.0000002953       -0.0033699754
        0.4276566602        0.0000230597       -0.0181753751
       -0.0000017752        0.0055410098        0.0000019347
        0.0018514748        0.0000017945        0.0000022052
       -0.0000008203        0.0000015950        0.0000016249
       -0.0000019801        0.0000010249       -0.0000020350
        0.0000036400       -0.0033272050        0.0000038801
        0.0255483448        0.0000029047        0.0572060847
       -0.0000001552       -0.0190765351        0.0000023098
        0.0000230597        0.4713906503        0.0000001347
        0.0011934199        0.0000009595        0.0020584497
       -0.0000040504        0.0711964148       -0.0000018349
       -0.0000014904       -0.0000014651       -0.0000039449
       -0.0000029604       -0.0000038850       -0.0000025551
        0.0134811145       -0.0000036351        0.0439392448
       -0.0000012901       -0.0039386754       -0.0000018704
        0.0038904497       -0.0000014654        0.0051704447
       -0.0181753751        0.0000001347        0.1840966905
       -0.0000056355       -0.0122144607       -0.0000010800
        0.0084974045       -0.0000093303       -0.0000031901
       -0.0000023502       -0.0000003803        0.0000009248
       -0.0000011306        0.0000034447       -0.0000012301
       -0.0000052702        0.0541547297       -0.0000010053
        0.0764878101       -0.0000002501       -0.0510751903
       -0.0000019705        0.0004241397        0.0000131047
       -0.0000017752        0.0011934199       -0.0000056355
        0.3260842504       -0.0000024605       -0.0115837753
       -0.0000089202       -0.2008159603       -0.0000136998
       -0.0000016055       -0.0000115301       -0.0000195200
       -0.0000013304       -0.0000142501       -0.0000018500
        0.0032084196       -0.0000013353       -0.0436343652
       -0.0000007600        0.0418442997       -0.0000003755
       -0.0062126804       -0.0000012253       -0.0073457954
        0.0055410098        0.0000009595       -0.0122144607
       -0.0000024605        0.1524361107        0.0000009695
       -0.0019590806        0.0000002944       -0.0000008652
       -0.0000009007       -0.0000010851       -0.0000012051
       -0.0000010155        0.0000028547        0.0000017596
        0.0000000048       -0.0023237203        0.0000002899
       -0.0396749252        0.0000005699        0.0366999549
       -0.0000001603       -0.0061505105        0.0000000497
        0.0000019347        0.0020584497       -0.0000010800
       -0.0115837753        0.0000009695        0.1538316303
       -0.0000001802       -0.0071785104        0.0000006551
        0.0000003649       -0.0000001651       -0.0000003348
       -0.0000000051        0.0000044000        0.0000033148
       -0.0000411552        0.0000036150        0.0008069097
       -0.0000017852        0.0254920096        0.0000019347
       -0.0006643052       -0.0000004252       -0.0045357353
        0.0018514748       -0.0000040504        0.0084974045
       -0.0000089202       -0.0019590806       -0.0000001802
        0.0645835405        0.0000206146       -0.0000030050
       -0.0000009805       -0.0000032153       -0.0000032551
       -0.0000008603       -0.0000026500       -0.0000009550
        0.0000102295       -0.0650728103       -0.0000007901
       -0.0456844901       -0.0000002103        0.1431957244
       -0.0000003104        0.0083629246        0.0000650198
        0.0000017945        0.0711964148       -0.0000093303
       -0.2008159603        0.0000002944       -0.0071785104
        0.0000206146        0.5466521407       -0.0000195351
       -0.0000027555       -0.0000434051       -0.0000589253
       -0.0000013705       -0.0000383051       -0.0000068999
        0.0000036852        0.0000057503        0.0000021350
       -0.0000007046        0.0000012051       -0.0000010348
       -0.0000001751       -0.0000002350        0.0000001751
        0.0000022052       -0.0000018349       -0.0000031901
       -0.0000136998       -0.0000008652        0.0000006551
       -0.0000030050       -0.0000195351        0.1757221798
       -0.0000053700        0.0742744101        0.1221479303
       -0.0000053001        0.1481254401       -0.0000040296
        0.0000000796        0.0000008950        0.0000020648
        0.0000008797        0.0000018647       -0.0000012804
        0.0000000645       -0.0000000253        0.0000004596
       -0.0000008203       -0.0000014904       -0.0000023502
       -0.0000016055       -0.0000009007        0.0000003649
       -0.0000009805       -0.0000027555       -0.0000053700
        0.0520063406       -0.0000003254       -0.0000020404
        0.0102990293       -0.0000037403        0.0319811397
       -0.0000000401        0.0000014052        0.0000007751
       -0.0000008998        0.0000012247       -0.0000026702
        0.0000001350        0.0000000148       -0.0000028251
        0.0000015950       -0.0000014651       -0.0000003803
       -0.0000115301       -0.0000010851       -0.0000001651
       -0.0000032153       -0.0000434051        0.0742744101
       -0.0000003254        0.0402169701        0.0640995754
       -0.0000021851        0.0673961250       -0.0000007799
        0.0000023701        0.0000050900        0.0000003001
       -0.0000017548        0.0000014600       -0.0000032250
        0.0000000549       -0.0000000654       -0.0000034302
        0.0000016249       -0.0000039449        0.0000009248
       -0.0000195200       -0.0000012051       -0.0000003348
       -0.0000032551       -0.0000589253        0.1221479303
       -0.0000020404        0.0640995754        0.1085517800
       -0.0000041004        0.1106024004       -0.0000017099
        0.0000000750        0.0000007751       -0.0000016999
       -0.0000002152       -0.0000012403       -0.0000013605
        0.0000001245       -0.0000000301        0.0000003149
       -0.0000019801       -0.0000029604       -0.0000011306
       -0.0000013304       -0.0000010155       -0.0000000051
       -0.0000008603       -0.0000013705       -0.0000053001
        0.0102990293       -0.0000021851       -0.0000041004
        0.0096905205       -0.0000044503        0.0066518399
        0.0000026901        0.0000057054        0.0000016752
       -0.0000008748        0.0000001052       -0.0000021302
       -0.0000003251       -0.0000003351       -0.0000017150
        0.0000010249       -0.0000038850        0.0000034447
       -0.0000142501        0.0000028547        0.0000044000
       -0.0000026500       -0.0000383051        0.1481254401
       -0.0000037403        0.0673961250        0.1106024004
       -0.0000044503        0.2296438799       -0.0000039748
       -0.0000000247        0.0000002700        0.0000010252
        0.0000006051        0.0000019298        0.0000009899
       -0.0000000699       -0.0000000199        0.0000002399
       -0.0000020350       -0.0000025551       -0.0000012301
       -0.0000018500        0.0000017596        0.0000033148
       -0.0000009550       -0.0000068999       -0.0000040296
        0.0319811397       -0.0000007799       -0.0000017099
        0.0066518399       -0.0000039748        0.1214242400
