   10   24
        0.4240836103        0.0000711299        0.0198420801
       -0.0000002200       -0.0208821453        0.0000007950
       -0.0003264753       -0.0000000102        0.0555441997
       -0.0220668053        0.0000036349        0.0134811197
       -0.0000052702        0.0032084247        0.0000000148
       -0.0000411501        0.0000102347        0.0000036900
        0.0000000796       -0.0000000452        0.0000023800
        0.0000000699        0.0000026853       -0.0000000247
        0.0000711299        0.4045927301        0.0000000549
        0.0156323503        0.0000015947       -0.0167776602
        0.0000004749       -0.0059271051        0.0000013100
        0.0000006449       -0.0033272050       -0.0000036300
        0.0541547450       -0.0000013301       -0.0023237203
        0.0000035999       -0.0650728052        0.0000057651
        0.0000008851        0.0000014001        0.0000051000
        0.0000007600        0.0000056951        0.0000002700
        0.0198420801        0.0000000549        0.4989344501
        0.0000639602        0.0877659650        0.0000012997
        0.0121566950       -0.0000000102       -0.0223983602
        0.0263165001        0.0000038801        0.0439392500
       -0.0000010053       -0.0436343601        0.0000002899
        0.0008069148       -0.0000007950        0.0000021501
        0.0000020648        0.0000007699        0.0000003101
       -0.0000016999        0.0000016752        0.0000010252
       -0.0000002200        0.0156323503        0.0000639602
        0.5219794599        0.0000018599        0.0585489849
        0.0000000099        0.0120951799        0.0000000750
        0.0000024900        0.0255483499       -0.0000012849
        0.0764878101       -0.0000007549       -0.0396749201
       -0.0000017749       -0.0456844799       -0.0000006997
        0.0000008947       -0.0000009049       -0.0000017448
       -0.0000002152       -0.0000008848        0.0000006102
       -0.0208821453        0.0000015947        0.0877659650
        0.0000018599        0.8178313004        0.0001081148
        0.0202593648       -0.0000000304        0.0226459545
        0.0304020898        0.0000029098       -0.0039386703
       -0.0000002501        0.0418443048        0.0000005699
        0.0254920147       -0.0000002052        0.0000012099
        0.0000018647        0.0000012196        0.0000014748
       -0.0000012403        0.0000001052        0.0000019298
        0.0000007950       -0.0167776602        0.0000012997
        0.0585489849        0.0001081148        0.8587776006
        0.0000000145        0.0224928297        0.0000039597
        0.0000032099        0.0572060947       -0.0000018554
       -0.0510751755       -0.0000003655        0.0366999546
        0.0000019548        0.1431957347       -0.0000010201
       -0.0000012605       -0.0000026705       -0.0000032051
       -0.0000013506       -0.0000021251        0.0000010050
       -0.0003264753        0.0000004749        0.0121566950
        0.0000000099        0.0202593648        0.0000000145
        0.3660297205        0.0000369945       -0.0003168955
       -0.0206503753       -0.0000001552        0.0038904497
       -0.0000019753       -0.0062126753       -0.0000001603
       -0.0006642952       -0.0000003052       -0.0000001702
        0.0000000546        0.0000001347        0.0000000597
        0.0000001145       -0.0000003251       -0.0000000699
       -0.0000000102       -0.0059271051       -0.0000000102
        0.0120951799       -0.0000000304        0.0224928297
        0.0000369945        0.3657587104       -0.0000000153
       -0.0000003052       -0.0190765553       -0.0000014754
        0.0004241298       -0.0000012352       -0.0061505204
       -0.0000004300        0.0083629197       -0.0000002251
       -0.0000000603       -0.0000000003       -0.0000000452
       -0.0000000352       -0.0000003502       -0.0000000549
        0.0555441997        0.0000013100       -0.0223983602
        0.0000000750        0.0226459545        0.0000039597
       -0.0003168955       -0.0000000153        0.0474217404
       -0.0033699754        0.0000023098        0.0051704498
        0.0000131047       -0.0073457903        0.0000000497
       -0.0045357302        0.0000650249        0.0000001799
        0.0000004596       -0.0000028351       -0.0000034302
        0.0000003149       -0.0000017249        0.0000002399
       -0.0220668053        0.0000006449        0.0263165001
        0.0000024900        0.0304020898        0.0000032099
       -0.0206503753       -0.0000003052       -0.0033699754
        0.4276566602        0.0000230648       -0.0181753700
       -0.0000017752        0.0055410149        0.0000019347
        0.0018514800        0.0000018196        0.0000022149
       -0.0000008254        0.0000015748        0.0000016348
       -0.0000019801        0.0000010201       -0.0000020350
        0.0000036349       -0.0033272050        0.0000038801
        0.0255483499        0.0000029098        0.0572060947
       -0.0000001552       -0.0190765553        0.0000023098
        0.0000230648        0.4713906503        0.0000001398
        0.0011933997        0.0000009598        0.0020584497
       -0.0000040453        0.0711964199       -0.0000018201
       -0.0000014904       -0.0000014703       -0.0000039350
       -0.0000029604       -0.0000038850       -0.0000025551
        0.0134811197       -0.0000036300        0.0439392500
       -0.0000012849       -0.0039386703       -0.0000018554
        0.0038904497       -0.0000014754        0.0051704498
       -0.0181753700        0.0000001398        0.1840966803
       -0.0000056403       -0.0122144505       -0.0000010749
        0.0084974198       -0.0000093252       -0.0000031801
       -0.0000023203       -0.0000003803        0.0000009399
       -0.0000011255        0.0000034498       -0.0000012250
       -0.0000052702        0.0541547450       -0.0000010053
        0.0764878101       -0.0000002501       -0.0510751755
       -0.0000019753        0.0004241298        0.0000131047
       -0.0000017752        0.0011933997       -0.0000056403
        0.3260842504       -0.0000024554       -0.0115837753
       -0.0000089150       -0.2008159552       -0.0000137001
       -0.0000016055       -0.0000115404       -0.0000195101
       -0.0000013304       -0.0000142501       -0.0000018599
        0.0032084247       -0.0000013301       -0.0436343601
       -0.0000007549        0.0418443048       -0.0000003655
       -0.0062126753       -0.0000012352       -0.0073457903
        0.0055410149        0.0000009598       -0.0122144505
       -0.0000024554        0.1524361005        0.0000009746
       -0.0019590703        0.0000003047       -0.0000008552
       -0.0000009004       -0.0000010851       -0.0000011900
