   10   24
        0.4240836103        0.0000711398        0.0198420801
       -0.0000002248       -0.0208821504        0.0000007850
       -0.0003264802       -0.0000000153        0.0555441997
       -0.0220667951        0.0000036349        0.0134811248
       -0.0000052654        0.0032084247        0.0000000048
       -0.0000411552        0.0000102295        0.0000036852
        0.0000000696       -0.0000000401        0.0000023701
        0.0000000750        0.0000026901       -0.0000000247
        0.0000711398        0.4045927102        0.0000000648
        0.0156323603        0.0000016047       -0.0167776602
        0.0000004800       -0.0059271002        0.0000013199
        0.0000006651       -0.0033271851       -0.0000036201
        0.0541547550       -0.0000013202       -0.0023237104
        0.0000036249       -0.0650728003        0.0000057702
        0.0000009049        0.0000014151        0.0000051000
        0.0000007850        0.0000057051        0.0000002800
        0.0198420801        0.0000000648        0.4989344501
        0.0000639602        0.0877659599        0.0000012898
        0.0121566902       -0.0000000202       -0.0223983602
        0.0263165001        0.0000038801        0.0439392448
       -0.0000010053       -0.0436343601        0.0000002899
        0.0008069148       -0.0000008001        0.0000021350
        0.0000020600        0.0000007699        0.0000003001
       -0.0000016999        0.0000016752        0.0000010252
       -0.0000002248        0.0156323603        0.0000639602
        0.5219794599        0.0000018548        0.0585489698
        0.0000000051        0.0120951748        0.0000000801
        0.0000024951        0.0255483499       -0.0000012901
        0.0764878101       -0.0000007449       -0.0396749252
       -0.0000017951       -0.0456844901       -0.0000007046
        0.0000008947       -0.0000009047       -0.0000017496
       -0.0000002152       -0.0000008797        0.0000006051
       -0.0208821504        0.0000016047        0.0877659599
        0.0000018548        0.8178313107        0.0001080997
        0.0202593549       -0.0000000355        0.0226459494
        0.0304020847        0.0000028996       -0.0039386754
       -0.0000002552        0.0418442997        0.0000005647
        0.0254920045       -0.0000002154        0.0000012000
        0.0000018596        0.0000012196        0.0000014549
       -0.0000012454        0.0000001148        0.0000019247
        0.0000007850       -0.0167776602        0.0000012898
        0.0585489698        0.0001080997        0.8587776205
       -0.0000000102        0.0224928147        0.0000039498
        0.0000032000        0.0572060847       -0.0000018653
       -0.0510751903       -0.0000003703        0.0366999598
        0.0000019247        0.1431957196       -0.0000010348
       -0.0000012804       -0.0000026753       -0.0000032250
       -0.0000013605       -0.0000021302        0.0000009899
       -0.0003264802        0.0000004800        0.0121566902
        0.0000000051        0.0202593549       -0.0000000102
        0.3660297301        0.0000369897       -0.0003168952
       -0.0206503802       -0.0000001700        0.0038904500
       -0.0000019801       -0.0062126801       -0.0000001651
       -0.0006643100       -0.0000003152       -0.0000001799
        0.0000000597        0.0000001350        0.0000000449
        0.0000001097       -0.0000003300       -0.0000000747
       -0.0000000153       -0.0059271002       -0.0000000202
        0.0120951748       -0.0000000355        0.0224928147
        0.0000369897        0.3657587206       -0.0000000404
       -0.0000003104       -0.0190765502       -0.0000014754
        0.0004241247       -0.0000012403       -0.0061505256
       -0.0000004403        0.0083629143       -0.0000002501
       -0.0000000404       -0.0000000003       -0.0000000603
       -0.0000000455       -0.0000003553       -0.0000000350
        0.0555441997        0.0000013199       -0.0223983602
        0.0000000801        0.0226459494        0.0000039498
       -0.0003168952       -0.0000000404        0.0474217404
       -0.0033699703        0.0000023098        0.0051704498
        0.0000131047       -0.0073457903        0.0000000497
       -0.0045357353        0.0000650198        0.0000001751
        0.0000004596       -0.0000028251       -0.0000034302
        0.0000003197       -0.0000017150        0.0000002399
       -0.0220667951        0.0000006651        0.0263165001
        0.0000024951        0.0304020847        0.0000032000
       -0.0206503802       -0.0000003104       -0.0033699703
        0.4276566602        0.0000230449       -0.0181753651
       -0.0000017752        0.0055410098        0.0000019247
        0.0018514748        0.0000018048        0.0000022101
       -0.0000008203        0.0000015950        0.0000016249
       -0.0000019801        0.0000010201       -0.0000020350
        0.0000036349       -0.0033271851        0.0000038801
        0.0255483499        0.0000028996        0.0572060847
       -0.0000001700       -0.0190765502        0.0000023098
        0.0000230449        0.4713906503        0.0000001549
        0.0011934199        0.0000009697        0.0020584400
       -0.0000040504        0.0711964049       -0.0000018250
       -0.0000014904       -0.0000014651       -0.0000039449
       -0.0000029604       -0.0000038699       -0.0000025551
        0.0134811248       -0.0000036201        0.0439392448
       -0.0000012901       -0.0039386754       -0.0000018653
        0.0038904500       -0.0000014754        0.0051704498
       -0.0181753651        0.0000001549        0.1840966803
       -0.0000056403       -0.0122144505       -0.0000010749
        0.0084974198       -0.0000093252       -0.0000031898
       -0.0000023451       -0.0000003752        0.0000009300
       -0.0000011255        0.0000034498       -0.0000012250
       -0.0000052654        0.0541547550       -0.0000010053
        0.0764878101       -0.0000002552       -0.0510751903
       -0.0000019801        0.0004241247        0.0000131047
       -0.0000017752        0.0011934199       -0.0000056403
        0.3260842504       -0.0000024554       -0.0115837702
       -0.0000089202       -0.2008159603       -0.0000137049
       -0.0000016004       -0.0000115352       -0.0000195200
       -0.0000013304       -0.0000142353       -0.0000018500
        0.0032084247       -0.0000013202       -0.0436343601
       -0.0000007449        0.0418442997       -0.0000003703
       -0.0062126801       -0.0000012403       -0.0073457903
        0.0055410098        0.0000009697       -0.0122144505
       -0.0000024554        0.1524361005        0.0000009746
       -0.0019590755        0.0000002996       -0.0000008600
       -0.0000008905       -0.0000010752       -0.0000012000
       -0.0000010104        0.0000028649        0.0000017647
        0.0000000048       -0.0023237104        0.0000002899
       -0.0396749252        0.0000005647        0.0366999598
       -0.0000001651       -0.0061505256        0.0000000497
        0.0000019247        0.0020584400       -0.0000010749
       -0.0115837702        0.0000009746        0.1538316303
       -0.0000001802       -0.0071785104        0.0000006500
        0.0000003649       -0.0000001651       -0.0000003399
       -0.0000000051        0.0000044048        0.0000033148
       -0.0000411552        0.0000036249        0.0008069148
       -0.0000017951        0.0254920045        0.0000019247
       -0.0006643100       -0.0000004403       -0.0045357353
        0.0018514748       -0.0000040504        0.0084974198
       -0.0000089202       -0.0019590755       -0.0000001802
        0.0645835405        0.0000206146       -0.0000030050
       -0.0000009805       -0.0000032153       -0.0000032551
       -0.0000008603       -0.0000026500       -0.0000009550
        0.0000102295       -0.0650728003       -0.0000008001
       -0.0456844901       -0.0000002154        0.1431957196
