   13   33
        0.6334370701        0.0259131950        0.0123416450
       -0.0057774849        0.0003019949        0.0042442699
        0.0003033699        0.0002966549        0.0003608750
       -0.0002678199       -0.0000769151       -0.0000002800
        0.0085439849        0.0227850998       -0.0326388400
       -0.0016914251       -0.0001658350        0.0013239600
       -0.0262775301       -0.0006425701        0.0013212599
       -0.0047341400       -0.0000001651       -0.0006780002
        0.0000000648       -0.0000008602       -0.0000000750
       -0.0000000600        0.0000000350        0.0000001150
       -0.0000000249        0.0000005100       -0.0000012301
        0.0259131950        0.3696638001        0.0112980049
        0.0263071550        0.0021619050       -0.0001675402
       -0.0004077401       -0.0026658800        0.0020251599
       -0.0015336349        0.0011067699       -0.0000003048
        0.0405363900        0.0173746598        0.0448878600
        0.0229409601       -0.0029956550        0.0008710450
       -0.0012476549       -0.0061542451        0.0015456750
        0.0038252048       -0.0000010752        0.0017998750
       -0.0000011451       -0.0000004000       -0.0000004400
       -0.0000005949        0.0000002500       -0.0000007950
       -0.0000014749       -0.0000014300       -0.0000013250
        0.0123416450        0.0112980049        0.3323932901
       -0.0000440551       -0.0003843051        0.0000056698
        0.0001838949       -0.0001206101       -0.0004719701
        0.0061156899       -0.0026315351       -0.0000005349
       -0.0022901601       -0.0394632551       -0.0076753849
        0.0031612299       -0.0010803100       -0.0018055850
       -0.0007532701        0.0056965349        0.0392314750
        0.0058390948        0.0000001899       -0.0046490702
        0.0000000198        0.0000000998       -0.0000004451
       -0.0000002800        0.0000003300        0.0000008150
        0.0000000951       -0.0000000550       -0.0000013350
       -0.0057774849        0.0263071550       -0.0000440551
        0.6382493100        0.0047114750        0.0001950148
       -0.0004143401        0.0043614749       -0.0001283200
        0.0001532251       -0.0007160300       -0.0000003899
        0.0263241699        0.0043622200        0.0030710601
       -0.0246457300       -0.0259847650        0.0015911949
       -0.0002509350       -0.0015074950        0.0014639001
       -0.0028368700       -0.0000012500        0.0004732300
       -0.0000012102       -0.0000020050       -0.0000004000
       -0.0000004999       -0.0000007300       -0.0000012150
       -0.0000008200       -0.0000012301       -0.0000009800
        0.0003019949        0.0021619050       -0.0003843051
        0.0047114750        0.3835050001        0.0004337699
        0.0006514701        0.0004847300        0.0006404049
        0.0002159150        0.0002387850        0.0000000502
       -0.0186709750       -0.0066275551        0.0038970050
       -0.0008068899       -0.0012347699       -0.0053042351
       -0.0007033499        0.0001798850        0.0004382450
        0.0013867300        0.0000000399       -0.0001616550
        0.0000000247        0.0000000199        0.0000000149
       -0.0000000848        0.0000000151        0.0000000099
        0.0000000101        0.0000000250       -0.0000000199
        0.0042442699       -0.0001675402        0.0000056698
        0.0001950148        0.0004337699        0.3927607403
       -0.0007418151        0.0000646398        0.0000910397
        0.0002874549        0.0002338948       -0.0000002251
        0.0013216147        0.0000684348       -0.0010087551
        0.0003085798       -0.0001178000        0.0004828597
        0.0118180398        0.0001784248        0.0009042199
       -0.0005252102        0.0000000698       -0.0001226903
        0.0000000946       -0.0000006953       -0.0000000551
        0.0000000799        0.0000001999        0.0000000800
        0.0000000949        0.0000003349       -0.0000010451
        0.0003033699       -0.0004077401        0.0001838949
       -0.0004143401        0.0006514701       -0.0007418151
        0.3916076801       -0.0001396951        0.0000868299
       -0.0001169499       -0.0008696250       -0.0000004451
       -0.0009338700       -0.0116293251       -0.0064536000
        0.0010317899        0.0002659500        0.0000434899
       -0.0000155951        0.0165364149       -0.0001124850
       -0.0014988301       -0.0000000450       -0.0006371451
        0.0000000098       -0.0000000252       -0.0000004901
       -0.0000004350        0.0000001000        0.0000005350
       -0.0000000298       -0.0000000350       -0.0000013701
        0.0002966549       -0.0026658800       -0.0001206101
        0.0043614749        0.0004847300        0.0000646398
       -0.0001396951        0.3959149902        0.0006092398
        0.0003152000       -0.0003156801       -0.0000003149
       -0.0070093951        0.0038058998       -0.0047320651
       -0.0019724700        0.0125081249        0.0011354049
       -0.0000932100       -0.0003089900        0.0001481450
        0.0011370850        0.0000000098       -0.0004693102
       -0.0000000003       -0.0000007502       -0.0000000001
       -0.0000001950        0.0000001300       -0.0000000099
        0.0000001950       -0.0000000151       -0.0000011350
        0.0003608750        0.0020251599       -0.0004719701
       -0.0001283200        0.0006404049        0.0000910397
        0.0000868299        0.0006092398        0.3942661002
       -0.0004311300        0.0004826049       -0.0000004449
        0.0172850399       -0.0020921902        0.0042955651
        0.0039774200       -0.0007519749        0.0155010899
       -0.0001543999       -0.0002161701       -0.0002347051
       -0.0011320401       -0.0000000151        0.0001815049
       -0.0000000152       -0.0000010351       -0.0000004050
       -0.0000005750        0.0000000449       -0.0000000350
       -0.0000000749       -0.0000000151       -0.0000014201
       -0.0002678199       -0.0015336349        0.0061156899
        0.0001532251        0.0002159150        0.0002874549
       -0.0001169499        0.0003152000       -0.0004311300
        0.3721172999        0.0032679600        0.0000242602
       -0.0033512649       -0.0000360150       -0.0025183799
        0.0005761200       -0.0002829900        0.0005787801
       -0.0005283749        0.0004997351       -0.0140694648
       -0.0003012150       -0.0000002049        0.0006619500
       -0.0000002549       -0.0000000300       -0.0000003800
       -0.0000004049       -0.0000000699       -0.0000000249
       -0.0000000497       -0.0000000249       -0.0000011750
       -0.0000769151        0.0011067699       -0.0026315351
       -0.0007160300        0.0002387850        0.0002338948
       -0.0008696250       -0.0003156801        0.0004826049
        0.0032679600        0.3708635901        0.0000121750
        0.0012077949        0.0009277349        0.0128136401
        0.0004721601        0.0004472349       -0.0002131452
       -0.0003385901       -0.0004358301       -0.0001525250
