   11   33
        0.0551543620        0.0000000000        0.0000000000
       -0.0487993328        0.0000000000        0.0000000000
       -0.0487993328        0.0000000000        0.0000000000
        0.0115826719        0.0000000000        0.0000000000
        0.0115826719        0.0000000000        0.0000000000
        0.0067854003        0.0000000000        0.0000000000
        0.0067854003        0.0000000000        0.0000000000
        0.0105469707        0.0000000000        0.0000000000
        0.0105469707        0.0000000000        0.0000000000
       -0.0076870190        0.0000000000        0.0000000000
       -0.0076870190        0.0000000000        0.0000000000
        0.0000000000        0.6190378210        0.0000000009
       -0.0000000001       -0.2297546740        0.0980428708
        0.0000000000       -0.2297546777       -0.0980428717
        0.0000000000       -0.0683690057        0.0339845653
        0.0000000000       -0.0683690046       -0.0339845656
        0.0000000000       -0.0096592618        0.0085909601
        0.0000000001       -0.0096592615       -0.0085909606
        0.0000000000       -0.0049291029       -0.0042228518
        0.0000000000       -0.0049291026        0.0042228524
        0.0000000000        0.0031981122        0.0005867430
        0.0000000000        0.0031981119       -0.0005867424
        0.0000000000        0.0000000009        0.3769525126
        0.0000000003        0.0561100677       -0.1956100252
        0.0000000000       -0.0561100663       -0.1956100238
        0.0000000000       -0.0055257552        0.0271011844
        0.0000000000        0.0055257550        0.0271011844
        0.0000000000        0.0349886447       -0.0201142033
        0.0000000001       -0.0349886453       -0.0201142044
        0.0000000000       -0.0052417274       -0.0012305478
        0.0000000000        0.0052417288       -0.0012305464
        0.0000000000        0.0012998382        0.0013800481
        0.0000000000       -0.0012998380        0.0013800497
       -0.0487993328       -0.0000000001        0.0000000003
        0.1725705002       -0.0000000000       -0.0000000001
       -0.0079168869        0.0000000001       -0.0000000001
       -0.0731807330        0.0000000001        0.0000000000
        0.0005690017       -0.0000000001        0.0000000000
       -0.0523849447        0.0000000000       -0.0000000001
       -0.0001392365       -0.0000000000       -0.0000000001
       -0.0008865013       -0.0000000000        0.0000000000
        0.0028282299       -0.0000000000        0.0000000000
        0.0084818171       -0.0000000000       -0.0000000000
       -0.0011512077        0.0000000000        0.0000000000
        0.0000000000       -0.2297546740        0.0561100677
       -0.0000000000        0.8397893580        0.1673177460
        0.0000000000       -0.0766025655        0.0062053385
        0.0000000000       -0.4564929606       -0.1888777507
        0.0000000000        0.0082007326       -0.0003807036
        0.0000000000       -0.0750221008       -0.0358997714
        0.0000000010        0.0040227133        0.0066815936
        0.0000000000       -0.0177073371       -0.0147384078
        0.0000000000        0.0006282200        0.0002889609
        0.0000000000        0.0035377181        0.0031064378
        0.0000000000       -0.0006078927        0.0001908293
        0.0000000000        0.0980428708       -0.1956100252
       -0.0000000001        0.1673177460        0.7622253276
        0.0000000000       -0.0062053376        0.0267623880
        0.0000000000       -0.1868721980       -0.2476904519
        0.0000000000       -0.0096350192       -0.0072132875
        0.0000000000       -0.0424811907       -0.3377199795
       -0.0000000001       -0.0077205497       -0.0016534586
        0.0000000000        0.0230249562        0.0121700156
        0.0000000000       -0.0019592289        0.0010024528
        0.0000000000       -0.0341901487       -0.0124722323
       -0.0000000000        0.0006830346        0.0001948676
       -0.0487993328        0.0000000000        0.0000000000
       -0.0079168869        0.0000000000        0.0000000000
        0.1725705004        0.0000000000        0.0000000000
        0.0005690018        0.0000000000        0.0000000000
       -0.0731807331        0.0000000000        0.0000000000
       -0.0001392365        0.0000000000        0.0000000000
       -0.0523849444        0.0000000000        0.0000000000
        0.0028282299        0.0000000000        0.0000000000
       -0.0008865012        0.0000000000        0.0000000000
       -0.0011512077        0.0000000000        0.0000000000
        0.0084818169        0.0000000000        0.0000000000
        0.0000000000       -0.2297546777       -0.0561100663
        0.0000000001       -0.0766025655       -0.0062053376
        0.0000000000        0.8397893570       -0.1673177485
        0.0000000000        0.0082007322        0.0003807035
        0.0000000000       -0.4564929613        0.1888777507
        0.0000000000        0.0040227145       -0.0066815948
       -0.0000000010       -0.0750220990        0.0358997739
        0.0000000000        0.0006282185       -0.0002889597
        0.0000000000       -0.0177073390        0.0147384057
        0.0000000000       -0.0006078933       -0.0001908283
        0.0000000000        0.0035377174       -0.0031064402
        0.0000000000       -0.0980428717       -0.1956100238
       -0.0000000001        0.0062053385        0.0267623880
        0.0000000000       -0.1673177485        0.7622253260
        0.0000000000        0.0096350189       -0.0072132877
        0.0000000000        0.1868721985       -0.2476904520
        0.0000000000        0.0077205497       -0.0016534586
       -0.0000000001        0.0424811912       -0.3377199790
        0.0000000000        0.0019592285        0.0010024533
        0.0000000000       -0.0230249567        0.0121700152
        0.0000000000       -0.0006830347        0.0001948678
        0.0000000000        0.0341901486       -0.0124722330
        0.0115826719        0.0000000000        0.0000000000
       -0.0731807330        0.0000000000        0.0000000000
        0.0005690018        0.0000000000        0.0000000000
        0.1295587693        0.0000000000        0.0000000000
        0.0003387145        0.0000000000        0.0000000000
        0.0088672400        0.0000000000        0.0000000000
       -0.0000887461        0.0000000000        0.0000000000
       -0.0353311179        0.0000000000        0.0000000000
       -0.0001776727        0.0000000000        0.0000000000
       -0.0420723235        0.0000000000        0.0000000000
       -0.0000713819        0.0000000000        0.0000000000
        0.0000000000       -0.0683690057       -0.0055257552
        0.0000000001       -0.4564929606       -0.1868721980
        0.0000000000        0.0082007322        0.0096350189
        0.0000000000        0.8536491692        0.0681858404
        0.0000000000       -0.0038957481       -0.0020189556
        0.0000000000        0.0043102338        0.0020883919
       -0.0000000006       -0.0010019306       -0.0010115373
        0.0000000000       -0.2655752114        0.1406254812
        0.0000000000       -0.0006225872        0.0002712486
        0.0000000000       -0.0703998122       -0.0253776025
       -0.0000000000        0.0001946030        0.0000011231
        0.0000000000        0.0339845653        0.0271011844
        0.0000000000       -0.1888777507       -0.2476904519
        0.0000000000        0.0003807035       -0.0072132877
        0.0000000000        0.0681858404        0.7488053237
        0.0000000000        0.0020189556        0.0021147406
        0.0000000000       -0.0303727366       -0.0082194709
       -0.0000000002        0.0005835937        0.0013646793
        0.0000000000        0.1321080089       -0.1622551317
        0.0000000000        0.0004317912       -0.0002833478
        0.0000000000       -0.0181799971       -0.3537881276
        0.0000000000       -0.0002676835        0.0000646629
        0.0115826719        0.0000000000        0.0000000000
        0.0005690017        0.0000000000        0.0000000000
       -0.0731807331        0.0000000000        0.0000000000
        0.0003387145        0.0000000000        0.0000000000
        0.1295587692        0.0000000000        0.0000000000
       -0.0000887461        0.0000000000        0.0000000000
        0.0088672400        0.0000000000        0.0000000000
       -0.0001776727        0.0000000000        0.0000000000
       -0.0353311179        0.0000000000        0.0000000000
       -0.0000713819        0.0000000000        0.0000000000
       -0.0420723235        0.0000000000        0.0000000000
        0.0000000000       -0.0683690046        0.0055257550
       -0.0000000001        0.0082007326       -0.0096350192
        0.0000000000       -0.4564929613        0.1868721985
        0.0000000000       -0.0038957481        0.0020189556
        0.0000000000        0.8536491697       -0.0681858404
        0.0000000000       -0.0010019310        0.0010115376
        0.0000000005        0.0043102332       -0.0020883924
        0.0000000000       -0.0006225868       -0.0002712488
        0.0000000000       -0.2655752109       -0.1406254805
       -0.0000000000        0.0001946032       -0.0000011232
        0.0000000000       -0.0703998115        0.0253776032
        0.0000000000       -0.0339845656        0.0271011844
        0.0000000000       -0.0003807036       -0.0072132875
        0.0000000000        0.1888777507       -0.2476904520
        0.0000000000       -0.0020189556        0.0021147406
        0.0000000000       -0.0681858404        0.7488053237
        0.0000000000       -0.0005835935        0.0013646792
       -0.0000000002        0.0303727368       -0.0082194708
        0.0000000000       -0.0004317913       -0.0002833477
        0.0000000000       -0.1321080091       -0.1622551319
        0.0000000000        0.0002676833        0.0000646629
        0.0000000000        0.0181799968       -0.3537881279
        0.0067854003        0.0000000000        0.0000000000
       -0.0523849447        0.0000000000        0.0000000000
       -0.0001392365        0.0000000000        0.0000000000
        0.0088672400        0.0000000000        0.0000000000
       -0.0000887461        0.0000000000        0.0000000000
        0.0316643999        0.0000000000        0.0000000000
        0.0004687199        0.0000000000        0.0000000000
       -0.0068996459        0.0000000000        0.0000000000
       -0.0001195363        0.0000000000        0.0000000000
        0.0116834018        0.0000000000        0.0000000000
        0.0001662108        0.0000000000        0.0000000000
        0.0000000000       -0.0096592618        0.0349886447
        0.0000000000       -0.0750221008       -0.0424811907
        0.0000000000        0.0040227145        0.0077205497
        0.0000000000        0.0043102338       -0.0303727366
        0.0000000000       -0.0010019310       -0.0005835935
        0.0000000000        0.0834579630        0.0331703049
       -0.0000000002       -0.0018033466       -0.0004275767
        0.0000000000        0.0006916393        0.0004628106
        0.0000000000       -0.0001068467       -0.0000228183
        0.0000000000       -0.0049889350       -0.0021856745
        0.0000000000        0.0001018626       -0.0002681731
        0.0000000000        0.0085909601       -0.0201142033
       -0.0000000001       -0.0358997714       -0.3377199795
        0.0000000000       -0.0066815948       -0.0016534586
        0.0000000000        0.0020883919       -0.0082194709
        0.0000000000        0.0010115376        0.0013646792
        0.0000000000        0.0331703049        0.3626063282
        0.0000000003        0.0004275768        0.0023283062
        0.0000000000       -0.0006346958        0.0008766885
        0.0000000000        0.0001919532       -0.0000672247
        0.0000000000       -0.0018830320        0.0005178289
        0.0000000000       -0.0003845618        0.0000805828
        0.0067854003        0.0000000001        0.0000000001
       -0.0001392365        0.0000000010       -0.0000000001
       -0.0523849444       -0.0000000010       -0.0000000001
       -0.0000887461       -0.0000000006       -0.0000000002
        0.0088672400        0.0000000005       -0.0000000002
        0.0004687199       -0.0000000002        0.0000000003
        0.0316643999        0.0000000002        0.0000000002
       -0.0001195363        0.0000000001        0.0000000000
       -0.0068996459       -0.0000000001        0.0000000000
        0.0001662108        0.0000000000        0.0000000000
        0.0116834018       -0.0000000000       -0.0000000000
        0.0000000000       -0.0096592615       -0.0349886453
       -0.0000000000        0.0040227133       -0.0077205497
        0.0000000000       -0.0750220990        0.0424811912
        0.0000000000       -0.0010019306        0.0005835937
        0.0000000000        0.0043102332        0.0303727368
        0.0000000000       -0.0018033466        0.0004275768
        0.0000000002        0.0834579625       -0.0331703054
        0.0000000000       -0.0001068465        0.0000228180
        0.0000000000        0.0006916396       -0.0004628105
        0.0000000000        0.0001018628        0.0002681730
        0.0000000000       -0.0049889348        0.0021856749
        0.0000000000       -0.0085909606       -0.0201142044
       -0.0000000001        0.0066815936       -0.0016534586
        0.0000000000        0.0358997739       -0.3377199790
        0.0000000000       -0.0010115373        0.0013646793
        0.0000000000       -0.0020883924       -0.0082194708
        0.0000000000       -0.0004275767        0.0023283062
        0.0000000002       -0.0331703054        0.3626063283
        0.0000000000       -0.0001919531       -0.0000672248
        0.0000000000        0.0006346956        0.0008766882
        0.0000000000        0.0003845619        0.0000805830
