   11   33
        1.1280357095        0.0000000000        0.0000000000
       -0.4938560996        0.0000000000       -0.2414479555
       -0.4938560996        0.0000000000        0.2414479555
       -0.0635335129        0.0000000000        0.0000000000
       -0.0635335129        0.0000000000        0.0000000000
       -0.0012272159        0.0000000000        0.0000000000
       -0.0012272159        0.0000000000        0.0000000000
       -0.0027005132        0.0217311999       -0.0166329749
       -0.0027005132       -0.0217311999        0.0166329749
       -0.0027005132       -0.0217311999       -0.0166329749
       -0.0027005132        0.0217311999        0.0166329749
        0.0000000000        0.5007582687        0.0000000000
        0.0000000000       -0.0949504946        0.0000000000
        0.0000000000       -0.0949504946        0.0000000000
        0.0000000000       -0.1376051335        0.0442865099
        0.0000000000       -0.1376051335       -0.0442865099
        0.0000000000       -0.0243625331        0.0170217543
        0.0000000000       -0.0243625331       -0.0170217543
       -0.0003692605        0.0032695134       -0.0057969643
        0.0003692605        0.0032695134       -0.0057969643
        0.0003692605        0.0032695134        0.0057969643
       -0.0003692605        0.0032695134        0.0057969643
        0.0000000000        0.0000000000        0.6919189864
       -0.2266270155        0.0000000000       -0.2270445597
        0.2266270155        0.0000000000       -0.2270445597
        0.0000000000        0.0497549465       -0.1112206275
        0.0000000000       -0.0497549465       -0.1112206275
        0.0000000000       -0.0197351240        0.0124272501
        0.0000000000        0.0197351240        0.0124272501
        0.0011125219        0.0119041682       -0.0100607781
       -0.0011125219        0.0119041682       -0.0100607781
        0.0011125219       -0.0119041682       -0.0100607781
       -0.0011125219       -0.0119041682       -0.0100607781
       -0.4938560996        0.0000000000       -0.2266270155
        0.5139409811        0.0000000000        0.2639870418
       -0.0140843353        0.0000000000       -0.0247341893
       -0.0052369380       -0.0059611667       -0.0029520976
       -0.0052369380        0.0059611667       -0.0029520976
       -0.0006307296        0.0005327919        0.0003319178
       -0.0006307296       -0.0005327919        0.0003319178
        0.0022488677        0.0023084672       -0.0011624048
        0.0006185267        0.0015985402       -0.0025303340
        0.0022488677       -0.0023084672       -0.0011624048
        0.0006185267       -0.0015985402       -0.0025303340
        0.0000000000       -0.0949504946        0.0000000000
        0.0000000000        0.0574940182        0.0000000000
        0.0000000000        0.0210490386        0.0000000000
        0.0200673572        0.0093851005        0.0165534386
       -0.0200673572        0.0093851005       -0.0165534386
       -0.0003805646        0.0037495717       -0.0022083735
        0.0003805646        0.0037495717        0.0022083735
       -0.0000967326       -0.0050535719        0.0048464734
        0.0003774624        0.0001226187       -0.0002389474
        0.0000967326       -0.0050535719       -0.0048464734
       -0.0003774624        0.0001226187        0.0002389474
       -0.2414479555        0.0000000000       -0.2270445597
        0.2639870418        0.0000000000        0.2208030839
        0.0247341893        0.0000000000        0.0198744615
       -0.0228113961       -0.0019668191       -0.0055783062
       -0.0228113961        0.0019668191       -0.0055783062
       -0.0004751846        0.0013654268       -0.0004169809
       -0.0004751846       -0.0013654268       -0.0004169809
        0.0003856175        0.0060169646       -0.0022291480
       -0.0007356745       -0.0020750895        0.0014079422
        0.0003856175       -0.0060169646       -0.0022291480
       -0.0007356745        0.0020750895        0.0014079422
       -0.4938560996        0.0000000000        0.2266270155
       -0.0140843353        0.0000000000        0.0247341893
        0.5139409811        0.0000000000       -0.2639870418
       -0.0052369380        0.0059611667        0.0029520976
       -0.0052369380       -0.0059611667        0.0029520976
       -0.0006307296       -0.0005327919       -0.0003319178
       -0.0006307296        0.0005327919       -0.0003319178
        0.0006185267       -0.0015985402        0.0025303340
        0.0022488677       -0.0023084672        0.0011624048
        0.0006185267        0.0015985402        0.0025303340
        0.0022488677        0.0023084672        0.0011624048
        0.0000000000       -0.0949504946        0.0000000000
        0.0000000000        0.0210490386        0.0000000000
        0.0000000000        0.0574940182        0.0000000000
       -0.0200673572        0.0093851005        0.0165534386
        0.0200673572        0.0093851005       -0.0165534386
        0.0003805646        0.0037495717       -0.0022083735
       -0.0003805646        0.0037495717        0.0022083735
       -0.0003774624        0.0001226187       -0.0002389474
