   12   36
        0.1199279905       -0.0000197201       -0.0000107696
       -0.0033644000       -0.0000001052        0.0000001444
       -0.0240347299        0.0000001199       -0.0000041456
       -0.0575741905       -0.0000098953       -0.0000030207
       -0.0575742354       -0.0000098350       -0.0000029502
       -0.0009402203        0.0000000898        0.0000000449
        0.0019626651        0.0000001148       -0.0000002302
        0.0019625895        0.0000000597       -0.0000004508
        0.0018194646       -0.0000000750        0.0000000398
        0.0018193646       -0.0000000551        0.0000001205
        0.0080117150        0.0000000699        0.0000000097
        0.0080117701        0.0000000051        0.0000000000
       -0.0000197201        0.6725500100        0.0000257751
        0.0000000199       -0.0481330051       -0.0000004599
        0.0000004252       -0.0400569400       -0.0000057702
       -0.0000099556       -0.2983460701        0.0729848398
       -0.0000099698       -0.2983460848       -0.0729652749
        0.0000001398       -0.0022566599       -0.0000000250
       -0.0000004945        0.0228618751       -0.0576100297
       -0.0000004752        0.0228618103        0.0575988548
       -0.0000002598       -0.0174086853        0.0157420499
       -0.0000001603       -0.0174086404       -0.0157434295
       -0.0000001648        0.0018338795        0.0006407549
        0.0000000398        0.0018338346       -0.0006405799
       -0.0000107696        0.0000257751        0.5152427696
        0.0000002552       -0.0000003348        0.0014350348
       -0.0000053149       -0.0000052995       -0.1726285905
       -0.0000030752        0.1167806801       -0.1482688702
       -0.0000030599       -0.1167499147       -0.1482687446
        0.0000000102       -0.0000000097        0.0010618106
        0.0000001808       -0.0259097197       -0.0284279395
        0.0000002103        0.0259094202       -0.0284280247
       -0.0000002200       -0.0169492898        0.0085637254
       -0.0000002348        0.0169485099        0.0085637407
       -0.0000000949        0.0007984249       -0.0044229097
       -0.0000000148       -0.0007983647       -0.0044228796
       -0.0033644000        0.0000000199        0.0000002552
        0.1229609904       -0.0000176658       -0.0000237407
       -0.0010369354        0.0000001052       -0.0000001108
        0.0024585046        0.0000005446       -0.0000002410
        0.0024585000        0.0000004701       -0.0000001501
       -0.0337363650        0.0000011750       -0.0000157502
       -0.0543990899       -0.0000086453       -0.0000028047
