   10   30
        0.2409642350       -0.4194254807        0.0000000000
       -0.1487437795        0.3446445031        0.0000000000
       -0.0858230110        0.0630663825        0.0000000000
       -0.0074024237        0.0209881020       -0.0022002468
       -0.0074024237        0.0209881020        0.0022002468
        0.0107530298       -0.0249576805        0.0000000000
        0.0006479187       -0.0003793533       -0.0001675120
       -0.0046920746       -0.0042516227        0.0000000000
        0.0006479187       -0.0003793533        0.0001675120
        0.0010506103       -0.0002935990        0.0000000000
       -0.4194254807        1.3638937063        0.0000000000
        0.3467097418       -1.0518235361        0.0000000000
        0.0602599903       -0.2543700829        0.0000000000
        0.0053675887       -0.0117176655       -0.0021786279
        0.0053675887       -0.0117176655        0.0021786279
        0.0027105036       -0.0337292965        0.0000000000
        0.0013569867        0.0019273756       -0.0003041693
       -0.0042516227       -0.0044225556        0.0000000000
        0.0013569867        0.0019273756        0.0003041693
        0.0005477170        0.0000323446        0.0000000000
        0.0000000000        0.0000000000        0.0967213257
        0.0000000000        0.0000000000       -0.0322447864
        0.0000000000        0.0000000000       -0.0689021925
        0.0068992859       -0.0291928339        0.0024394877
       -0.0068992859        0.0291928339        0.0024394877
        0.0000000000        0.0000000000       -0.0013994398
       -0.0000829796       -0.0009069332       -0.0000244834
        0.0000000000        0.0000000000        0.0009337927
        0.0000829796        0.0009069332       -0.0000244834
        0.0000000000        0.0000000000        0.0000612918
       -0.1487437795        0.3467097418        0.0000000000
        0.1340425837       -0.3502912927        0.0000000000
        0.0141773038        0.0031865635        0.0000000000
        0.0011370555       -0.0014674757        0.0000201287
        0.0011370555       -0.0014674757       -0.0000201287
       -0.0030783401        0.0020668924        0.0000000000
        0.0001441173        0.0004037773        0.0001754281
        0.0010506103        0.0005477170        0.0000000000
        0.0001441173        0.0004037773       -0.0001754281
       -0.0000107238       -0.0000922251        0.0000000000
        0.3446445031       -1.0518235361        0.0000000000
       -0.3502912927        1.0465122172        0.0000000000
        0.0055118769        0.0051349937        0.0000000000
       -0.0005989111       -0.0010900533        0.0017880119
       -0.0005989111       -0.0010900533       -0.0017880119
        0.0023883858        0.0027088719        0.0000000000
       -0.0003349134       -0.0002671939       -0.0000187422
       -0.0002935990        0.0000323446        0.0000000000
       -0.0003349134       -0.0002671939        0.0000187422
       -0.0000922251        0.0001496030        0.0000000000
        0.0000000000        0.0000000000       -0.0322447864
        0.0000000000        0.0000000000        0.0155787482
        0.0000000000        0.0000000000        0.0166811028
       -0.0004362753        0.0034897083       -0.0002647773
        0.0004362753       -0.0034897083       -0.0002647773
        0.0000000000        0.0000000000        0.0004925013
        0.0001526249        0.0002863371       -0.0000075865
        0.0000000000        0.0000000000        0.0000612918
       -0.0001526249       -0.0002863371       -0.0000075865
        0.0000000000        0.0000000000       -0.0000241301
       -0.0858230110        0.0602599903        0.0000000000
        0.0141773038        0.0055118769        0.0000000000
        0.5016585307       -0.0455150385        0.0000000000
       -0.1288375807        0.0266063039        0.1228154440
       -0.1288375807        0.0266063039       -0.1228154440
       -0.1479712891       -0.0518368428        0.0000000000
       -0.0160205314       -0.0133657415        0.0021262659
        0.0107530298        0.0027105036        0.0000000000
       -0.0160205314       -0.0133657415       -0.0021262659
       -0.0030783401        0.0023883858        0.0000000000
        0.0630663825       -0.2543700829        0.0000000000
        0.0031865635        0.0051349937        0.0000000000
       -0.0455150385        0.4870735920        0.0000000000
        0.0243867775       -0.0535121075       -0.0351329879
        0.0243867775       -0.0535121075        0.0351329879
       -0.0518368428       -0.1046400607        0.0000000000
        0.0026080843        0.0024230988       -0.0002587678
       -0.0249576805       -0.0337292965        0.0000000000
        0.0026080843        0.0024230988        0.0002587678
        0.0020668924        0.0027088719        0.0000000000
        0.0000000000        0.0000000000       -0.0689021925
        0.0000000000        0.0000000000        0.0166811028
        0.0000000000        0.0000000000        0.5774225340
        0.1209731493       -0.0367025938       -0.2257947409
       -0.1209731493        0.0367025938       -0.2257947409
        0.0000000000        0.0000000000       -0.0766108680
       -0.0212174403       -0.0181960979        0.0019529220
        0.0000000000        0.0000000000       -0.0013994398
        0.0212174403        0.0181960979        0.0019529220
        0.0000000000        0.0000000000        0.0004925013
       -0.0074024237        0.0053675887        0.0068992859
        0.0011370555       -0.0005989111       -0.0004362753
       -0.1288375807        0.0243867775        0.1209731493
        0.1417981180       -0.0263123863       -0.1328269190
        0.0110931588       -0.0038073326       -0.0150241207
       -0.0160205314        0.0026080843        0.0212174403
        0.0006363087        0.0009774541       -0.0000172848
        0.0006479187        0.0013569867        0.0000829796
       -0.0031961411       -0.0036433478       -0.0007156304
        0.0001441173       -0.0003349134       -0.0001526249
        0.0209881020       -0.0117176655       -0.0291928339
       -0.0014674757       -0.0010900533        0.0034897083
        0.0266063039       -0.0535121075       -0.0367025938
       -0.0263123863        0.0634910876        0.0396305686
       -0.0038073326        0.0008616467        0.0046135645
       -0.0133657415        0.0024230988        0.0181960979
        0.0009774541        0.0005213129       -0.0002900140
       -0.0003793533        0.0019273756        0.0009069332
       -0.0036433478       -0.0026375014       -0.0003650937
        0.0004037773       -0.0002671939       -0.0002863371
       -0.0022002468       -0.0021786279        0.0024394877
        0.0000201287        0.0017880119       -0.0002647773
        0.1228154440       -0.0351329879       -0.2257947409
       -0.1328269190        0.0396305686        0.2402931197
        0.0150241207       -0.0046135645       -0.0203286971
       -0.0021262659        0.0002587678        0.0019529220
        0.0000172848        0.0002900140        0.0006185053
        0.0001675120        0.0003041693       -0.0000244834
       -0.0007156304       -0.0003650937        0.0011162506
       -0.0001754281        0.0000187422       -0.0000075865
       -0.0074024237        0.0053675887       -0.0068992859
        0.0011370555       -0.0005989111        0.0004362753
       -0.1288375807        0.0243867775       -0.1209731493
        0.0110931588       -0.0038073326        0.0150241207
        0.1417981180       -0.0263123863        0.1328269190
       -0.0160205314        0.0026080843       -0.0212174403
       -0.0031961411       -0.0036433478        0.0007156304
        0.0006479187        0.0013569867       -0.0000829796
        0.0006363087        0.0009774541        0.0000172848
        0.0001441173       -0.0003349134        0.0001526249
        0.0209881020       -0.0117176655        0.0291928339
       -0.0014674757       -0.0010900533       -0.0034897083
        0.0266063039       -0.0535121075        0.0367025938
       -0.0038073326        0.0008616467       -0.0046135645
       -0.0263123863        0.0634910876       -0.0396305686
       -0.0133657415        0.0024230988       -0.0181960979
       -0.0036433478       -0.0026375014        0.0003650937
       -0.0003793533        0.0019273756       -0.0009069332
        0.0009774541        0.0005213129        0.0002900140
        0.0004037773       -0.0002671939        0.0002863371
        0.0022002468        0.0021786279        0.0024394877
       -0.0000201287       -0.0017880119       -0.0002647773
       -0.1228154440        0.0351329879       -0.2257947409
       -0.0150241207        0.0046135645       -0.0203286971
        0.1328269190       -0.0396305686        0.2402931197
        0.0021262659       -0.0002587678        0.0019529220
        0.0007156304        0.0003650937        0.0011162506
       -0.0001675120       -0.0003041693       -0.0000244834
       -0.0000172848       -0.0002900140        0.0006185053
        0.0001754281       -0.0000187422       -0.0000075865
        0.0107530298        0.0027105036        0.0000000000
       -0.0030783401        0.0023883858        0.0000000000
       -0.1479712891       -0.0518368428        0.0000000000
       -0.0160205314       -0.0133657415       -0.0021262659
       -0.0160205314       -0.0133657415        0.0021262659
        0.5016585307       -0.0455150385        0.0000000000
       -0.1288375807        0.0266063039       -0.1228154440
       -0.0858230110        0.0602599903        0.0000000000
       -0.1288375807        0.0266063039        0.1228154440
        0.0141773038        0.0055118769        0.0000000000
       -0.0249576805       -0.0337292965        0.0000000000
        0.0020668924        0.0027088719        0.0000000000
       -0.0518368428       -0.1046400607        0.0000000000
        0.0026080843        0.0024230988        0.0002587678
        0.0026080843        0.0024230988       -0.0002587678
       -0.0455150385        0.4870735920        0.0000000000
        0.0243867775       -0.0535121075        0.0351329879
        0.0630663825       -0.2543700829        0.0000000000
        0.0243867775       -0.0535121075       -0.0351329879
        0.0031865635        0.0051349937        0.0000000000
        0.0000000000        0.0000000000       -0.0013994398
        0.0000000000        0.0000000000        0.0004925013
        0.0000000000        0.0000000000       -0.0766108680
        0.0212174403        0.0181960979        0.0019529220
       -0.0212174403       -0.0181960979        0.0019529220
        0.0000000000        0.0000000000        0.5774225340
       -0.1209731493        0.0367025938       -0.2257947409
        0.0000000000        0.0000000000       -0.0689021925
        0.1209731493       -0.0367025938       -0.2257947409
        0.0000000000        0.0000000000        0.0166811028
        0.0006479187        0.0013569867       -0.0000829796
        0.0001441173       -0.0003349134        0.0001526249
       -0.0160205314        0.0026080843       -0.0212174403
        0.0006363087        0.0009774541        0.0000172848
       -0.0031961411       -0.0036433478        0.0007156304
       -0.1288375807        0.0243867775       -0.1209731493
        0.1417981180       -0.0263123863        0.1328269190
       -0.0074024237        0.0053675887       -0.0068992859
        0.0110931588       -0.0038073326        0.0150241207
        0.0011370555       -0.0005989111        0.0004362753
       -0.0003793533        0.0019273756       -0.0009069332
        0.0004037773       -0.0002671939        0.0002863371
       -0.0133657415        0.0024230988       -0.0181960979
        0.0009774541        0.0005213129        0.0002900140
       -0.0036433478       -0.0026375014        0.0003650937
        0.0266063039       -0.0535121075        0.0367025938
       -0.0263123863        0.0634910876       -0.0396305686
        0.0209881020       -0.0117176655        0.0291928339
       -0.0038073326        0.0008616467       -0.0046135645
       -0.0014674757       -0.0010900533       -0.0034897083
       -0.0001675120       -0.0003041693       -0.0000244834
        0.0001754281       -0.0000187422       -0.0000075865
        0.0021262659       -0.0002587678        0.0019529220
       -0.0000172848       -0.0002900140        0.0006185053
        0.0007156304        0.0003650937        0.0011162506
       -0.1228154440        0.0351329879       -0.2257947409
        0.1328269190       -0.0396305686        0.2402931197
        0.0022002468        0.0021786279        0.0024394877
       -0.0150241207        0.0046135645       -0.0203286971
       -0.0000201287       -0.0017880119       -0.0002647773
       -0.0046920746       -0.0042516227        0.0000000000
        0.0010506103       -0.0002935990        0.0000000000
        0.0107530298       -0.0249576805        0.0000000000
        0.0006479187       -0.0003793533        0.0001675120
        0.0006479187       -0.0003793533       -0.0001675120
       -0.0858230110        0.0630663825        0.0000000000
       -0.0074024237        0.0209881020        0.0022002468
        0.2409642350       -0.4194254807        0.0000000000
       -0.0074024237        0.0209881020       -0.0022002468
       -0.1487437795        0.3446445031        0.0000000000
       -0.0042516227       -0.0044225556        0.0000000000
        0.0005477170        0.0000323446        0.0000000000
        0.0027105036       -0.0337292965        0.0000000000
        0.0013569867        0.0019273756        0.0003041693
        0.0013569867        0.0019273756       -0.0003041693
        0.0602599903       -0.2543700829        0.0000000000
        0.0053675887       -0.0117176655        0.0021786279
       -0.4194254807        1.3638937063        0.0000000000
        0.0053675887       -0.0117176655       -0.0021786279
        0.3467097418       -1.0518235361        0.0000000000
        0.0000000000        0.0000000000        0.0009337927
        0.0000000000        0.0000000000        0.0000612918
        0.0000000000        0.0000000000       -0.0013994398
        0.0000829796        0.0009069332       -0.0000244834
       -0.0000829796       -0.0009069332       -0.0000244834
        0.0000000000        0.0000000000       -0.0689021925
       -0.0068992859        0.0291928339        0.0024394877
        0.0000000000        0.0000000000        0.0967213257
        0.0068992859       -0.0291928339        0.0024394877
        0.0000000000        0.0000000000       -0.0322447864
        0.0006479187        0.0013569867        0.0000829796
        0.0001441173       -0.0003349134       -0.0001526249
       -0.0160205314        0.0026080843        0.0212174403
       -0.0031961411       -0.0036433478       -0.0007156304
        0.0006363087        0.0009774541       -0.0000172848
       -0.1288375807        0.0243867775        0.1209731493
        0.0110931588       -0.0038073326       -0.0150241207
       -0.0074024237        0.0053675887        0.0068992859
        0.1417981180       -0.0263123863       -0.1328269190
        0.0011370555       -0.0005989111       -0.0004362753
       -0.0003793533        0.0019273756        0.0009069332
        0.0004037773       -0.0002671939       -0.0002863371
       -0.0133657415        0.0024230988        0.0181960979
       -0.0036433478       -0.0026375014       -0.0003650937
        0.0009774541        0.0005213129       -0.0002900140
        0.0266063039       -0.0535121075       -0.0367025938
       -0.0038073326        0.0008616467        0.0046135645
        0.0209881020       -0.0117176655       -0.0291928339
       -0.0263123863        0.0634910876        0.0396305686
       -0.0014674757       -0.0010900533        0.0034897083
