    9   27
        0.1290391747        0.0390688536       -0.1264621867
       -0.1170243698       -0.0351633733        0.1194196369
       -0.0028163043       -0.0000432729        0.0027014481
       -0.0104500507       -0.0076238815        0.0260418331
        0.0102737914        0.0045048017       -0.0152131294
       -0.0087302868        0.0025579996       -0.0038614129
       -0.0003406242       -0.0015194486       -0.0027153744
        0.0000209624       -0.0016454917       -0.0000788011
        0.0000277072       -0.0001361869        0.0001679863
        0.0390688536        0.0655091197       -0.0624518227
       -0.0349169680       -0.0665773221        0.0561943078
       -0.0159594948       -0.0046853154        0.0260293804
        0.0106344746        0.0107749749       -0.0160948934
        0.0045048017        0.0010529780       -0.0070100834
       -0.0018333559       -0.0013139426        0.0020676411
       -0.0015587764       -0.0030520450        0.0013192693
       -0.0000745908       -0.0015274289        0.0000866636
        0.0001350559       -0.0001810185       -0.0001404627
       -0.1264621867       -0.0624518227        0.2358349873
        0.1165305029        0.0567540159       -0.2166831338
       -0.0022348067        0.0007027663        0.0014031028
       -0.0025462324       -0.0001837321        0.0008805737
        0.0152131294        0.0070100834       -0.0209700797
        0.0014838678        0.0029415954       -0.0006994378
       -0.0044475416       -0.0032394272        0.0001571569
        0.0034786904       -0.0014656713        0.0000558407
       -0.0010154230       -0.0000678077        0.0000209899
       -0.1170243698       -0.0349169680        0.1165305029
        0.4944321175        0.0493429838        0.0000000000
       -0.0558737097       -0.0449451387        0.0000000000
       -0.1626828794        0.0497875749        0.0000000000
       -0.1170243698       -0.0349169680       -0.1165305029
       -0.0465368227        0.0099335720        0.0000000000
        0.0011725820        0.0018369856        0.0000000000
        0.0098618234        0.0028159035        0.0000000000
       -0.0063243715        0.0010620549        0.0000000000
       -0.0351633733       -0.0665773221        0.0567540159
        0.0493429838        0.5841598080        0.0000000000
       -0.0508258951       -0.3150062524        0.0000000000
        0.0620817098       -0.1359706444        0.0000000000
       -0.0351633733       -0.0665773221       -0.0567540159
       -0.0174887163        0.0214478419        0.0000000000
        0.0295533412       -0.0199392784        0.0000000000
       -0.0021953231       -0.0016865377        0.0000000000
       -0.0001413537        0.0001497071        0.0000000000
        0.1194196369        0.0561943078       -0.2166831338
        0.0000000000        0.0000000000        0.5257381225
        0.0000000000        0.0000000000       -0.0480222491
        0.0000000000        0.0000000000       -0.0847700271
       -0.1194196369       -0.0561943078       -0.2166831338
        0.0000000000        0.0000000000        0.0251940744
        0.0000000000        0.0000000000        0.0161393484
        0.0000000000        0.0000000000       -0.0000456149
        0.0000000000        0.0000000000       -0.0008673864
       -0.0028163043       -0.0159594948       -0.0022348067
       -0.0558737097       -0.0508258951        0.0000000000
        0.0573212118        0.0495033701        0.0000000000
        0.0047007788        0.0327128121        0.0000000000
       -0.0028163043       -0.0159594948        0.0022348067
        0.0038459136       -0.0032490055        0.0000000000
       -0.0048539774        0.0028121710        0.0000000000
       -0.0000341877        0.0010163797        0.0000000000
        0.0005265792       -0.0000508428        0.0000000000
       -0.0000432729       -0.0046853154        0.0007027663
       -0.0449451387       -0.3150062524        0.0000000000
        0.0495033701        0.3406584061        0.0000000000
       -0.0063374470       -0.0187637452        0.0000000000
       -0.0000432729       -0.0046853154       -0.0007027663
        0.0024948873        0.0089676023        0.0000000000
       -0.0033934698       -0.0052895239        0.0000000000
        0.0043551241       -0.0012908578        0.0000000000
       -0.0015907803        0.0000950019        0.0000000000
        0.0027014481        0.0260293804        0.0014031028
        0.0000000000        0.0000000000       -0.0480222491
        0.0000000000        0.0000000000        0.0458612495
        0.0000000000        0.0000000000       -0.0014664539
       -0.0027014481       -0.0260293804        0.0014031028
        0.0000000000        0.0000000000       -0.0009311909
        0.0000000000        0.0000000000        0.0016856781
        0.0000000000        0.0000000000        0.0001754861
        0.0000000000        0.0000000000       -0.0001087252
       -0.0104500507        0.0106344746       -0.0025462324
       -0.1626828794        0.0620817098        0.0000000000
        0.0047007788       -0.0063374470        0.0000000000
        0.8261598313        0.1637478738        0.0000000000
       -0.0104500507        0.0106344746        0.0025462324
       -0.5953292410       -0.2603495237        0.0000000000
       -0.0632473920        0.0310116837        0.0000000000
        0.0012675435       -0.0172964871        0.0000000000
        0.0100314602        0.0058732413        0.0000000000
       -0.0076238815        0.0107749749       -0.0001837321
        0.0497875749       -0.1359706444        0.0000000000
        0.0327128121       -0.0187637452        0.0000000000
        0.1637478738        0.5790426823        0.0000000000
       -0.0076238815        0.0107749749        0.0001837321
       -0.2374534332       -0.2131806077        0.0000000000
        0.0083260164       -0.2364681472        0.0000000000
       -0.0012825874       -0.0024378574        0.0000000000
       -0.0005904936        0.0062283697        0.0000000000
        0.0260418331       -0.0160948934        0.0008805737
        0.0000000000        0.0000000000       -0.0847700271
        0.0000000000        0.0000000000       -0.0014664539
        0.0000000000        0.0000000000        0.2067519696
       -0.0260418331        0.0160948934        0.0008805737
        0.0000000000        0.0000000000       -0.0635584941
        0.0000000000        0.0000000000       -0.0654723057
        0.0000000000        0.0000000000        0.0005548042
        0.0000000000        0.0000000000        0.0061993596
        0.0102737914        0.0045048017        0.0152131294
       -0.1170243698       -0.0351633733       -0.1194196369
       -0.0028163043       -0.0000432729       -0.0027014481
       -0.0104500507       -0.0076238815       -0.0260418331
        0.1290391747        0.0390688536        0.1264621867
       -0.0087302868        0.0025579996        0.0038614129
       -0.0003406242       -0.0015194486        0.0027153744
        0.0000209624       -0.0016454917        0.0000788011
        0.0000277072       -0.0001361869       -0.0001679863
