   11   33
        0.0743719474       -0.0433220062       -0.0731631431
       -0.0736882438        0.0386459561        0.0661174790
       -0.0082523784        0.0159623265        0.0266489965
        0.0049315266       -0.0052618616       -0.0120536610
        0.0023948631       -0.0054951563       -0.0088942405
       -0.0008837920       -0.0015981196        0.0004283659
        0.0001548934        0.0007022458        0.0001761741
        0.0001579050       -0.0001411481        0.0002099331
        0.0010789966        0.0008539437        0.0007914885
       -0.0001544176       -0.0004258362       -0.0002601238
       -0.0001113002        0.0000796560       -0.0000012687
       -0.0433220062        0.1227051521        0.1173998398
        0.0402135314       -0.1086919993       -0.1086486006
        0.0000090564       -0.0011073644        0.0001103557
        0.0119422450       -0.0192671151       -0.0252166377
       -0.0054951563        0.0086639958        0.0137735356
       -0.0038132299       -0.0028090648        0.0009445262
       -0.0003095727        0.0009025330        0.0007471308
       -0.0000857756        0.0000678721       -0.0011006728
        0.0013116928        0.0004116986        0.0029377294
       -0.0002148178       -0.0008615121       -0.0006881147
       -0.0002359670       -0.0000141959       -0.0002590919
       -0.0731631431        0.1173998398        0.2335783508
        0.0668527828       -0.1073442296       -0.2147352853
       -0.0009840066        0.0017750808        0.0008755844
       -0.0009096923        0.0016152802        0.0024579002
        0.0088942405       -0.0137735356       -0.0219412534
       -0.0004749008        0.0006735359       -0.0002795264
       -0.0002394374       -0.0005265683        0.0002439169
       -0.0000401154        0.0000406194        0.0000242996
        0.0001345551        0.0001504095       -0.0004198587
       -0.0000454720       -0.0000133428        0.0001381254
       -0.0000248109        0.0000029107        0.0000577463
       -0.0736882438        0.0402135314        0.0668527828
        0.5754507778       -0.0225605185        0.0000000000
       -0.3153664426        0.0116382503        0.0000000000
       -0.1153581229       -0.0620441689        0.0000000000
       -0.0736882438        0.0402135314       -0.0668527828
        0.0127216193        0.0181213695        0.0000000000
       -0.0077393583       -0.0288546090        0.0000000000
        0.0011211266        0.0013013494        0.0000000000
       -0.0058730736       -0.0007455913        0.0000000000
        0.0013370393        0.0026055377        0.0000000000
        0.0010829220        0.0001113180        0.0000000000
        0.0386459561       -0.1086919993       -0.1073442296
       -0.0225605185        0.5020580173        0.0000000000
        0.0078135819       -0.0479833865        0.0000000000
       -0.0537827966       -0.2114766178        0.0000000000
        0.0386459561       -0.1086919993        0.1073442296
       -0.0126290796       -0.0295181933        0.0000000000
        0.0018311823        0.0011005555        0.0000000000
       -0.0009773681        0.0020306412        0.0000000000
        0.0039709708        0.0037649117        0.0000000000
       -0.0002114441       -0.0024081914        0.0000000000
       -0.0007464401       -0.0001837380        0.0000000000
        0.0661174790       -0.1086486006       -0.2147352853
        0.0000000000        0.0000000000        0.5305329197
        0.0000000000        0.0000000000       -0.0474122827
        0.0000000000        0.0000000000       -0.0716515269
       -0.0661174790        0.1086486006       -0.2147352853
        0.0000000000        0.0000000000        0.0105850146
        0.0000000000        0.0000000000        0.0031266624
        0.0000000000        0.0000000000       -0.0065461132
        0.0000000000        0.0000000000        0.0158587875
        0.0000000000        0.0000000000       -0.0036715163
        0.0000000000        0.0000000000       -0.0013513746
       -0.0082523784        0.0000090564       -0.0009840066
       -0.3153664426        0.0078135819        0.0000000000
        0.3421659117       -0.0076539036        0.0000000000
       -0.0132971286        0.0009633317        0.0000000000
       -0.0082523784        0.0000090564        0.0009840066
        0.0014767214        0.0015123100        0.0000000000
        0.0005930057       -0.0020602951        0.0000000000
        0.0004333646       -0.0008384678        0.0000000000
        0.0003776807        0.0001164346        0.0000000000
       -0.0000009210       -0.0001522444        0.0000000000
        0.0001225649        0.0002811398        0.0000000000
        0.0159623265       -0.0011073644        0.0017750808
        0.0116382503       -0.0479833865        0.0000000000
       -0.0076539036        0.0527315757        0.0000000000
       -0.0342309886        0.0006773091        0.0000000000
        0.0159623265       -0.0011073644       -0.0017750808
       -0.0010434384        0.0022886949        0.0000000000
       -0.0017787463       -0.0054298614        0.0000000000
        0.0009495884       -0.0000917497        0.0000000000
       -0.0005479589       -0.0000836595        0.0000000000
        0.0003579277        0.0000396738        0.0000000000
        0.0003846163        0.0000661324        0.0000000000
        0.0266489965        0.0001103557        0.0008755844
        0.0000000000        0.0000000000       -0.0474122827
        0.0000000000        0.0000000000        0.0455435907
        0.0000000000        0.0000000000       -0.0011901091
       -0.0266489965       -0.0001103557        0.0008755844
        0.0000000000        0.0000000000       -0.0005157984
        0.0000000000        0.0000000000        0.0017847516
        0.0000000000        0.0000000000        0.0001492315
        0.0000000000        0.0000000000       -0.0002702378
        0.0000000000        0.0000000000        0.0000380292
        0.0000000000        0.0000000000        0.0001216561
        0.0049315266        0.0119422450       -0.0009096923
       -0.1153581229       -0.0537827966        0.0000000000
       -0.0132971286       -0.0342309886        0.0000000000
        0.6753383842       -0.1062920273        0.0000000000
        0.0049315266        0.0119422450        0.0009096923
       -0.2388513384        0.1765500228        0.0000000000
       -0.3225597886       -0.0213824970        0.0000000000
       -0.0113235114        0.0278180434        0.0000000000
        0.0155609989        0.0018013205        0.0000000000
        0.0010091659       -0.0124874604        0.0000000000
       -0.0003817123       -0.0018781067        0.0000000000
       -0.0052618616       -0.0192671151        0.0016152802
       -0.0620441689       -0.2114766178        0.0000000000
        0.0009633317        0.0006773091        0.0000000000
       -0.1062920273        0.7321986556        0.0000000000
       -0.0052618616       -0.0192671151       -0.0016152802
        0.1867867782       -0.3848602824        0.0000000000
       -0.0177969811       -0.0597607626        0.0000000000
       -0.0040389584        0.0036491796        0.0000000000
        0.0187251264       -0.0458489604        0.0000000000
       -0.0066846715        0.0022185214        0.0000000000
        0.0009052943        0.0017371877        0.0000000000
       -0.0120536610       -0.0252166377        0.0024579002
        0.0000000000        0.0000000000       -0.0716515269
        0.0000000000        0.0000000000       -0.0011901091
        0.0000000000        0.0000000000        0.1512293941
        0.0120536610        0.0252166377        0.0024579002
        0.0000000000        0.0000000000       -0.0479720894
        0.0000000000        0.0000000000       -0.0408943143
        0.0000000000        0.0000000000        0.0045160589
        0.0000000000        0.0000000000       -0.0012966935
        0.0000000000        0.0000000000        0.0030873744
        0.0000000000        0.0000000000       -0.0007438947
        0.0023948631       -0.0054951563        0.0088942405
       -0.0736882438        0.0386459561       -0.0661174790
       -0.0082523784        0.0159623265       -0.0266489965
        0.0049315266       -0.0052618616        0.0120536610
        0.0743719474       -0.0433220062        0.0731631431
       -0.0008837920       -0.0015981196       -0.0004283659
        0.0001548934        0.0007022458       -0.0001761741
