   12   36
        0.5592796471        0.0175479418       -0.0357727473
       -0.0946399121        0.0181423703       -0.0369128399
        0.0030411599       -0.0016823301        0.0073799083
       -0.0007128782       -0.0017245501       -0.0011599794
       -0.0112651384        0.0156572952       -0.0295186412
        0.0056268159       -0.0055111350        0.0109510212
        0.0007566035       -0.0004375821        0.0010200469
       -0.0008818758        0.0013810471        0.0032012150
       -0.0000456793       -0.0002483487       -0.0004995634
       -0.3107168928       -0.0253160167       -0.0016482767
       -0.0635763692       -0.0625623153        0.0000807770
       -0.0868654806        0.0447536236        0.0828790796
        0.0175479418        0.5581827478        0.0436418041
        0.0198490923       -0.0947722669        0.0421567785
        0.0121829440       -0.0271411314        0.0325505081
       -0.0016316537        0.0003893952       -0.0032280548
       -0.0006392982        0.0017650121       -0.0017709884
       -0.0055111350        0.0083609622       -0.0114834402
       -0.0001933466       -0.0000858686        0.0001864076
        0.0014221205       -0.0014893522       -0.0038049206
       -0.0002322921        0.0005985671       -0.0008611318
       -0.0235638842       -0.0498205257       -0.0006818904
       -0.0638719123       -0.2970513519       -0.0025161266
        0.0446414236       -0.0989361876       -0.0941889457
       -0.0357727473        0.0436418041        0.5077711867
       -0.0353812671        0.0358797246       -0.1519993528
        0.0020010428        0.0090860264       -0.0011658199
       -0.0013546976       -0.0028980342       -0.0006990898
       -0.0005783728        0.0007539797       -0.0024136633
       -0.0109510212        0.0114834402       -0.0316153601
       -0.0007314443        0.0009645775        0.0021129746
        0.0019853795       -0.0020734953       -0.0038596458
       -0.0006851150        0.0011627772        0.0018210926
       -0.0040830409       -0.0010516492       -0.0469240901
        0.0006946271        0.0001682584       -0.0469982746
        0.0848566568       -0.0971174094       -0.2260299575
       -0.0946399121        0.0198490923       -0.0353812671
        0.5671856566        0.0179157685        0.0000000000
       -0.0785024561       -0.0406335779        0.0000000000
        0.0157702187       -0.0038437089        0.0000000000
       -0.3036268564       -0.0245642574        0.0000000000
       -0.0946399121        0.0198490923        0.0353812671
       -0.0121879699        0.0163533367        0.0294943009
        0.0043631394       -0.0069202417       -0.0110655816
        0.0020514612       -0.0037192994       -0.0069212686
       -0.0121879699        0.0163533367       -0.0294943009
        0.0020514612       -0.0037192994        0.0069212686
        0.0043631394       -0.0069202417        0.0110655816
        0.0181423703       -0.0947722669        0.0358797246
        0.0179157685        0.4942923116        0.0000000000
       -0.0410389676       -0.2439845142        0.0000000000
       -0.0023001604        0.0056200750        0.0000000000
       -0.0227688612       -0.0497688120        0.0000000000
        0.0181423703       -0.0947722669       -0.0358797246
       -0.0010126531       -0.0002958011        0.0020380076
       -0.0065499516        0.0055521585        0.0121334114
        0.0135163448       -0.0135636207       -0.0274227711
       -0.0010126531       -0.0002958011       -0.0020380076
        0.0135163448       -0.0135636207        0.0274227711
       -0.0065499516        0.0055521585       -0.0121334114
       -0.0369128399        0.0421567785       -0.1519993528
        0.0000000000        0.0000000000        0.4463265450
        0.0000000000        0.0000000000       -0.0641200562
        0.0000000000        0.0000000000        0.0159519840
        0.0000000000        0.0000000000       -0.0438350786
        0.0369128399       -0.0421567785       -0.1519993528
       -0.0001253797       -0.0013352860       -0.0026089953
        0.0119772824       -0.0142550358       -0.0204863555
        0.0010850171        0.0011209369       -0.0020669935
        0.0001253797        0.0013352860       -0.0026089953
       -0.0010850171       -0.0011209369       -0.0020669935
       -0.0119772824        0.0142550358       -0.0204863555
        0.0030411599        0.0121829440        0.0020010428
       -0.0785024561       -0.0410389676        0.0000000000
        0.1683031766        0.2932849367        0.0000000000
       -0.0884097001       -0.2430859612        0.0000000000
       -0.0075400690       -0.0382045882        0.0000000000
        0.0030411599        0.0121829440       -0.0020010428
        0.0001194856        0.0012764607        0.0001165626
        0.0002206479       -0.0004974431       -0.0003841233
       -0.0003067690        0.0015603285        0.0023830041
        0.0001194856        0.0012764607       -0.0001165626
       -0.0003067690        0.0015603285       -0.0023830041
        0.0002206479       -0.0004974431        0.0003841233
       -0.0016823301       -0.0271411314        0.0090860264
       -0.0406335779       -0.2439845142        0.0000000000
        0.2932849367        1.4132088919        0.0000000000
       -0.2446571382       -1.1085436821        0.0000000000
       -0.0057266261       -0.0105230830        0.0000000000
       -0.0016823301       -0.0271411314       -0.0090860264
       -0.0003430794        0.0014723300        0.0016117627
       -0.0003264020        0.0015397792        0.0012628892
        0.0012180143       -0.0009497841       -0.0026170854
       -0.0003430794        0.0014723300       -0.0016117627
        0.0012180143       -0.0009497841        0.0026170854
       -0.0003264020        0.0015397792       -0.0012628892
        0.0073799083        0.0325505081       -0.0011658199
        0.0000000000        0.0000000000       -0.0641200562
        0.0000000000        0.0000000000        0.1088360539
        0.0000000000        0.0000000000       -0.0333385302
        0.0000000000        0.0000000000       -0.0012251816
       -0.0073799083       -0.0325505081       -0.0011658199
       -0.0001732159        0.0005706259        0.0009079207
       -0.0005239932       -0.0003470223        0.0003383412
        0.0028011427       -0.0025850806       -0.0051565850
        0.0001732159       -0.0005706259        0.0009079207
       -0.0028011427        0.0025850806       -0.0051565850
        0.0005239932        0.0003470223        0.0003383412
       -0.0007128782       -0.0016316537       -0.0013546976
        0.0157702187       -0.0023001604        0.0000000000
       -0.0884097001       -0.2446571382        0.0000000000
        0.0721166872        0.2473666772        0.0000000000
        0.0008959210        0.0038172829        0.0000000000
       -0.0007128782       -0.0016316537        0.0013546976
        0.0002113759       -0.0003914692       -0.0002484493
       -0.0001265926        0.0000600779        0.0000160842
        0.0004415315       -0.0001502858       -0.0005730585
        0.0002113759       -0.0003914692        0.0002484493
        0.0004415315       -0.0001502858        0.0005730585
       -0.0001265926        0.0000600779       -0.0000160842
